,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,DL Maddy,SE Bond,VS Solanki,1,0,1,1,163,1,1,0,1,0,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
1,VS Solanki,SE Bond,DL Maddy,4,0,4,5,159,4,1,0,2,0,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
2,VS Solanki,SE Bond,DL Maddy,0,0,0,5,159,4,2,0,3,0,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
3,VS Solanki,SE Bond,DL Maddy,0,0,0,5,159,4,3,0,4,0,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
4,VS Solanki,SE Bond,DL Maddy,0,0,0,5,159,4,4,0,5,0,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
5,VS Solanki,SE Bond,DL Maddy,1,0,1,6,158,5,5,0,6,0,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
6,VS Solanki,MR Gillespie,DL Maddy,0,0,0,6,158,5,6,0,1,1,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
7,VS Solanki,MR Gillespie,DL Maddy,1,0,1,7,157,6,7,0,2,1,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
8,DL Maddy,MR Gillespie,VS Solanki,1,0,1,8,156,2,2,0,3,1,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
9,VS Solanki,MR Gillespie,DL Maddy,2,0,2,10,154,8,8,0,4,1,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
10,VS Solanki,MR Gillespie,DL Maddy,0,0,0,10,154,8,9,0,5,1,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
11,VS Solanki,MR Gillespie,DL Maddy,4,0,4,14,150,12,10,0,6,1,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
12,DL Maddy,SE Bond,VS Solanki,1,0,1,15,149,3,3,0,1,2,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
13,VS Solanki,SE Bond,DL Maddy,0,0,0,15,149,12,11,0,2,2,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
14,VS Solanki,SE Bond,DL Maddy,0,0,0,15,149,12,12,0,3,2,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
15,VS Solanki,SE Bond,DL Maddy,1,0,1,16,148,13,13,0,4,2,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
16,DL Maddy,SE Bond,VS Solanki,0,0,0,16,148,3,4,0,5,2,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
17,DL Maddy,SE Bond,VS Solanki,1,0,1,17,147,4,5,0,6,2,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
18,DL Maddy,MR Gillespie,VS Solanki,2,0,2,19,145,6,6,0,1,3,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
19,DL Maddy,MR Gillespie,VS Solanki,0,0,0,19,145,6,7,0,2,3,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
20,DL Maddy,MR Gillespie,VS Solanki,4,0,4,23,141,10,8,0,3,3,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
21,DL Maddy,MR Gillespie,VS Solanki,0,0,0,23,141,10,9,0,4,3,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
22,DL Maddy,MR Gillespie,VS Solanki,1,0,1,24,140,11,10,0,5,3,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
23,VS Solanki,MR Gillespie,DL Maddy,4,0,4,28,136,17,14,0,6,3,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
24,DL Maddy,SE Bond,VS Solanki,6,0,6,34,130,17,11,0,1,4,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
25,DL Maddy,SE Bond,VS Solanki,1,0,1,35,129,18,12,0,2,4,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
26,VS Solanki,SE Bond,DL Maddy,0,0,0,35,129,17,15,0,3,4,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
27,VS Solanki,SE Bond,DL Maddy,0,0,0,35,129,17,16,0,4,4,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
28,VS Solanki,SE Bond,DL Maddy,0,0,0,35,129,17,17,0,5,4,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
29,VS Solanki,SE Bond,DL Maddy,0,0,0,35,129,17,18,0,6,4,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
30,DL Maddy,JDP Oram,VS Solanki,1,0,1,36,128,19,13,0,1,5,0,,,-,field,England,2,Kingsmead,2007,09,England_New Zealand_2007-09-18,New Zealand,England,New Zealand,False,159
