,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,AJ Finch,M Theekshana,DA Warner,2,0,2,2,122,2,1,0,1,0,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
1,AJ Finch,M Theekshana,DA Warner,0,0,0,2,122,2,2,0,2,0,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
2,AJ Finch,M Theekshana,DA Warner,4,0,4,6,118,6,3,0,3,0,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
3,AJ Finch,M Theekshana,DA Warner,0,0,0,6,118,6,4,0,4,0,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
4,AJ Finch,M Theekshana,DA Warner,0,0,0,6,118,6,5,0,5,0,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
5,AJ Finch,M Theekshana,DA Warner,1,0,1,7,117,7,6,0,6,0,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
6,AJ Finch,PVD Chameera,DA Warner,4,0,4,11,113,11,7,0,1,1,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
7,AJ Finch,PVD Chameera,DA Warner,4,0,4,15,109,15,8,0,2,1,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
8,AJ Finch,PVD Chameera,DA Warner,1,0,1,16,108,16,9,0,3,1,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
9,DA Warner,PVD Chameera,AJ Finch,6,0,6,22,102,6,1,0,4,1,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
10,DA Warner,PVD Chameera,AJ Finch,0,1,1,23,101,6,2,0,5,1,wides,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
11,DA Warner,PVD Chameera,AJ Finch,0,0,0,23,101,6,3,0,6,1,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
12,DA Warner,PVD Chameera,AJ Finch,2,0,2,25,99,8,4,0,7,1,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
13,AJ Finch,PWH de Silva,DA Warner,2,0,2,27,97,18,10,0,1,2,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
14,AJ Finch,PWH de Silva,DA Warner,4,0,4,31,93,22,11,0,2,2,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
15,AJ Finch,PWH de Silva,DA Warner,2,0,2,33,91,24,12,0,3,2,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
16,AJ Finch,PWH de Silva,DA Warner,0,0,0,33,91,24,13,1,4,2,-,caught,AJ Finch,MD Gunathilaka,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
17,MR Marsh,PWH de Silva,DA Warner,0,0,0,33,91,0,1,1,5,2,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
18,MR Marsh,PWH de Silva,DA Warner,0,0,0,33,91,0,2,1,6,2,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
19,DA Warner,M Theekshana,MR Marsh,4,0,4,37,87,12,5,1,1,3,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
20,DA Warner,M Theekshana,MR Marsh,1,0,1,38,86,13,6,1,2,3,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
21,MR Marsh,M Theekshana,DA Warner,1,0,1,39,85,1,3,1,3,3,-,0,,,,field,Australia,2,"R Premadasa Stadium, Colombo",2022,06,Sri Lanka_Australia_2022-06-08,Australia,Australia,Sri Lanka,True,126
