,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Mohammad Rizwan,TM Head,Babar Azam,1,0,1,1,206,1,1,0,1,1,-,0,,,,field,Australia,1,"Gaddafi Stadium, Lahore",2022,04,Pakistan_Australia_2022-04-05,Australia,Pakistan,Australia,162
1,Babar Azam,TM Head,Mohammad Rizwan,0,0,0,1,206,0,1,0,2,1,-,0,,,,field,Australia,1,"Gaddafi Stadium, Lahore",2022,04,Pakistan_Australia_2022-04-05,Australia,Pakistan,Australia,162
2,Babar Azam,TM Head,Mohammad Rizwan,1,0,1,2,205,1,2,0,3,1,-,0,,,,field,Australia,1,"Gaddafi Stadium, Lahore",2022,04,Pakistan_Australia_2022-04-05,Australia,Pakistan,Australia,162
3,Mohammad Rizwan,TM Head,Babar Azam,1,0,1,3,204,2,2,0,4,1,-,0,,,,field,Australia,1,"Gaddafi Stadium, Lahore",2022,04,Pakistan_Australia_2022-04-05,Australia,Pakistan,Australia,162
4,Babar Azam,TM Head,Mohammad Rizwan,1,0,1,4,203,2,3,0,5,1,-,0,,,,field,Australia,1,"Gaddafi Stadium, Lahore",2022,04,Pakistan_Australia_2022-04-05,Australia,Pakistan,Australia,162
5,Mohammad Rizwan,TM Head,Babar Azam,6,0,6,10,197,8,3,0,6,1,-,0,,,,field,Australia,1,"Gaddafi Stadium, Lahore",2022,04,Pakistan_Australia_2022-04-05,Australia,Pakistan,Australia,162
6,Babar Azam,BJ Dwarshuis,Mohammad Rizwan,4,0,4,14,193,6,4,0,1,2,-,0,,,,field,Australia,1,"Gaddafi Stadium, Lahore",2022,04,Pakistan_Australia_2022-04-05,Australia,Pakistan,Australia,162
7,Babar Azam,BJ Dwarshuis,Mohammad Rizwan,0,0,0,14,193,6,5,0,2,2,-,0,,,,field,Australia,1,"Gaddafi Stadium, Lahore",2022,04,Pakistan_Australia_2022-04-05,Australia,Pakistan,Australia,162
8,Babar Azam,BJ Dwarshuis,Mohammad Rizwan,1,0,1,15,192,7,6,0,3,2,-,0,,,,field,Australia,1,"Gaddafi Stadium, Lahore",2022,04,Pakistan_Australia_2022-04-05,Australia,Pakistan,Australia,162
9,Mohammad Rizwan,BJ Dwarshuis,Babar Azam,1,0,1,16,191,9,4,0,4,2,-,0,,,,field,Australia,1,"Gaddafi Stadium, Lahore",2022,04,Pakistan_Australia_2022-04-05,Australia,Pakistan,Australia,162
