,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,RR Hendricks,Mohammed Siraj,MP Breetzke,0,0,0,0,201,0,1,0,1,1,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
1,RR Hendricks,Mohammed Siraj,MP Breetzke,0,0,0,0,201,0,2,0,2,1,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
2,RR Hendricks,Mohammed Siraj,MP Breetzke,0,0,0,0,201,0,3,0,3,1,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
3,RR Hendricks,Mohammed Siraj,MP Breetzke,0,0,0,0,201,0,4,0,4,1,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
4,RR Hendricks,Mohammed Siraj,MP Breetzke,0,0,0,0,201,0,5,0,5,1,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
5,RR Hendricks,Mohammed Siraj,MP Breetzke,0,0,0,0,201,0,6,0,6,1,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
6,MP Breetzke,Mukesh Kumar,RR Hendricks,0,0,0,0,201,0,1,0,1,2,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
7,MP Breetzke,Mukesh Kumar,RR Hendricks,4,0,4,4,197,4,2,0,2,2,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
8,MP Breetzke,Mukesh Kumar,RR Hendricks,0,0,0,4,197,4,3,1,3,2,bowled,MP Breetzke,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
9,AK Markram,Mukesh Kumar,RR Hendricks,0,0,0,4,197,0,1,1,4,2,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
10,AK Markram,Mukesh Kumar,RR Hendricks,6,0,6,10,191,6,2,1,5,2,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
11,AK Markram,Mukesh Kumar,RR Hendricks,4,0,4,14,187,10,3,1,6,2,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
12,RR Hendricks,Mohammed Siraj,AK Markram,0,0,0,14,187,0,7,1,1,3,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
13,RR Hendricks,Mohammed Siraj,AK Markram,0,0,0,14,187,0,8,1,2,3,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
14,RR Hendricks,Mohammed Siraj,AK Markram,2,0,2,16,185,2,9,1,3,3,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
15,RR Hendricks,Mohammed Siraj,AK Markram,0,0,0,16,185,2,10,1,4,3,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
16,RR Hendricks,Mohammed Siraj,AK Markram,4,0,4,20,181,6,11,1,5,3,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
17,RR Hendricks,Mohammed Siraj,AK Markram,2,0,2,22,179,8,12,1,6,3,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
18,AK Markram,Arshdeep Singh,RR Hendricks,1,0,1,23,178,11,4,1,1,4,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
19,RR Hendricks,Arshdeep Singh,AK Markram,0,0,0,23,178,8,13,2,2,4,run out,RR Hendricks,Mohammed Siraj,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
20,AK Markram,Arshdeep Singh,H Klaasen,4,0,4,27,174,15,5,2,3,4,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
21,AK Markram,Arshdeep Singh,H Klaasen,0,0,0,27,174,15,6,2,4,4,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
22,AK Markram,Arshdeep Singh,H Klaasen,4,0,4,31,170,19,7,2,5,4,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
23,AK Markram,Arshdeep Singh,H Klaasen,0,0,0,31,170,19,8,2,6,4,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
24,H Klaasen,Mukesh Kumar,AK Markram,1,0,1,32,169,1,1,2,1,5,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
25,AK Markram,Mukesh Kumar,H Klaasen,0,0,0,32,169,19,9,2,2,5,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
26,AK Markram,Mukesh Kumar,H Klaasen,0,0,0,32,169,19,10,2,3,5,0,,,-,,field,South Africa,2,"The Wanderers Stadium, Johannesburg",2023,12,India_South Africa_2023-12-14,India,South Africa,India,95
