,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Tamim Iqbal,T Panyangara,Imrul Kayes,0,0,0,0,131,0,1,0,1,1,-,0,,,bat,Bangladesh,1,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-15,Zimbabwe,Bangladesh,Zimbabwe,135
1,Tamim Iqbal,T Panyangara,Imrul Kayes,0,0,0,0,131,0,2,0,2,1,-,0,,,bat,Bangladesh,1,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-15,Zimbabwe,Bangladesh,Zimbabwe,135
2,Tamim Iqbal,T Panyangara,Imrul Kayes,1,0,1,1,130,1,3,0,3,1,-,0,,,bat,Bangladesh,1,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-15,Zimbabwe,Bangladesh,Zimbabwe,135
3,Imrul Kayes,T Panyangara,Tamim Iqbal,0,0,0,1,130,0,1,0,4,1,-,0,,,bat,Bangladesh,1,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-15,Zimbabwe,Bangladesh,Zimbabwe,135
4,Imrul Kayes,T Panyangara,Tamim Iqbal,0,0,0,1,130,0,2,0,5,1,-,0,,,bat,Bangladesh,1,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-15,Zimbabwe,Bangladesh,Zimbabwe,135
5,Imrul Kayes,T Panyangara,Tamim Iqbal,4,0,4,5,126,4,3,0,6,1,-,0,,,bat,Bangladesh,1,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-15,Zimbabwe,Bangladesh,Zimbabwe,135
6,Tamim Iqbal,N Madziva,Imrul Kayes,0,0,0,5,126,1,4,0,1,2,-,0,,,bat,Bangladesh,1,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-15,Zimbabwe,Bangladesh,Zimbabwe,135
7,Tamim Iqbal,N Madziva,Imrul Kayes,0,0,0,5,126,1,5,0,2,2,-,0,,,bat,Bangladesh,1,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-15,Zimbabwe,Bangladesh,Zimbabwe,135
8,Tamim Iqbal,N Madziva,Imrul Kayes,1,0,1,6,125,2,6,0,3,2,-,0,,,bat,Bangladesh,1,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-15,Zimbabwe,Bangladesh,Zimbabwe,135
9,Imrul Kayes,N Madziva,Tamim Iqbal,0,0,0,6,125,4,4,0,4,2,-,0,,,bat,Bangladesh,1,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-15,Zimbabwe,Bangladesh,Zimbabwe,135
10,Imrul Kayes,N Madziva,Tamim Iqbal,0,0,0,6,125,4,5,0,5,2,-,0,,,bat,Bangladesh,1,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-15,Zimbabwe,Bangladesh,Zimbabwe,135
11,Imrul Kayes,N Madziva,Tamim Iqbal,1,1,2,8,123,5,6,0,6,2,noballs,0,,,bat,Bangladesh,1,Shere Bangla National Stadium,2015,11,Bangladesh_Zimbabwe_2015-11-15,Zimbabwe,Bangladesh,Zimbabwe,135
