,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
10,DP Conway,Washington Sundar,FH Allen,0,0,0,8,,7,9,0,5,1,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
11,DP Conway,Washington Sundar,FH Allen,2,0,2,10,,9,10,0,6,1,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
12,FH Allen,HH Pandya,DP Conway,4,0,4,14,,5,3,0,1,2,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
13,FH Allen,HH Pandya,DP Conway,4,0,4,18,,9,4,0,2,2,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
14,FH Allen,HH Pandya,DP Conway,1,0,1,19,,10,5,0,3,2,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
15,DP Conway,HH Pandya,FH Allen,1,0,1,20,,10,11,0,4,2,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
16,FH Allen,HH Pandya,DP Conway,0,0,0,20,,10,6,0,5,2,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
17,FH Allen,HH Pandya,DP Conway,1,0,1,21,,11,7,0,6,2,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
18,FH Allen,YS Chahal,DP Conway,0,0,0,21,,11,8,0,1,3,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
19,FH Allen,YS Chahal,DP Conway,0,0,0,21,,11,9,0,2,3,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
20,FH Allen,YS Chahal,DP Conway,0,0,0,21,,11,10,1,3,3,bowled,FH Allen,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
21,MS Chapman,YS Chahal,DP Conway,0,0,0,21,,0,1,1,4,3,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
22,MS Chapman,YS Chahal,DP Conway,0,0,0,21,,0,2,1,5,3,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
23,MS Chapman,YS Chahal,DP Conway,0,0,0,21,,0,3,1,6,3,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
24,DP Conway,Washington Sundar,MS Chapman,0,0,0,21,,10,12,1,1,4,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
25,DP Conway,Washington Sundar,MS Chapman,1,0,1,22,,11,13,1,2,4,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
26,MS Chapman,Washington Sundar,DP Conway,1,0,1,23,,1,4,1,3,4,0,,,,-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
27,DP Conway,Washington Sundar,MS Chapman,0,5,5,28,,11,14,1,4,4,0,,,,wides,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
28,DP Conway,Washington Sundar,MS Chapman,0,0,0,28,,11,15,2,5,4,caught,DP Conway,Ishan Kishan,"{'by': 'New Zealand', 'umpire': 'Nitin Menon', 'batter': 'DP Conway', 'decision': 'struck down'}",-,bat,New Zealand,1,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,01,New Zealand_India_2023-01-29,India,New Zealand,India,False,99
