,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,MDKJ Perera,Nasum Ahmed,P Nissanka,0,0,0,0,171,0,1,0,1,0,,,1,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021,10,Bangladesh_Sri Lanka_2021-10-24,Sri Lanka,Sri Lanka,Bangladesh
1,MDKJ Perera,Nasum Ahmed,P Nissanka,1,0,1,1,170,1,2,0,2,0,,,1,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021,10,Bangladesh_Sri Lanka_2021-10-24,Sri Lanka,Sri Lanka,Bangladesh
2,P Nissanka,Nasum Ahmed,MDKJ Perera,1,0,1,2,169,1,1,0,3,0,,,1,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021,10,Bangladesh_Sri Lanka_2021-10-24,Sri Lanka,Sri Lanka,Bangladesh
3,MDKJ Perera,Nasum Ahmed,P Nissanka,0,0,0,2,169,1,3,1,4,bowled,MDKJ Perera,,1,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021,10,Bangladesh_Sri Lanka_2021-10-24,Sri Lanka,Sri Lanka,Bangladesh
4,KIC Asalanka,Nasum Ahmed,P Nissanka,1,0,1,3,168,1,1,1,5,0,,,1,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021,10,Bangladesh_Sri Lanka_2021-10-24,Sri Lanka,Sri Lanka,Bangladesh
5,P Nissanka,Nasum Ahmed,KIC Asalanka,1,0,1,4,167,2,2,1,6,0,,,1,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021,10,Bangladesh_Sri Lanka_2021-10-24,Sri Lanka,Sri Lanka,Bangladesh
6,P Nissanka,Mahedi Hasan,KIC Asalanka,0,0,0,4,167,2,3,1,1,0,,,2,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021,10,Bangladesh_Sri Lanka_2021-10-24,Sri Lanka,Sri Lanka,Bangladesh
7,P Nissanka,Mahedi Hasan,KIC Asalanka,1,0,1,5,166,3,4,1,2,0,,,2,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021,10,Bangladesh_Sri Lanka_2021-10-24,Sri Lanka,Sri Lanka,Bangladesh
8,KIC Asalanka,Mahedi Hasan,P Nissanka,0,0,0,5,166,1,2,1,3,0,,,2,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021,10,Bangladesh_Sri Lanka_2021-10-24,Sri Lanka,Sri Lanka,Bangladesh
9,KIC Asalanka,Mahedi Hasan,P Nissanka,4,0,4,9,162,5,3,1,4,0,,,2,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021,10,Bangladesh_Sri Lanka_2021-10-24,Sri Lanka,Sri Lanka,Bangladesh
10,KIC Asalanka,Mahedi Hasan,P Nissanka,0,0,0,9,162,5,4,1,5,0,,,2,-,,field,Sri Lanka,2,Sharjah Cricket Stadium,2021,10,Bangladesh_Sri Lanka_2021-10-24,Sri Lanka,Sri Lanka,Bangladesh
