,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,N Dickwella,R Ashwin,TM Dilshan,1,0,1,1,195,1,1,0,1,-,0,,,1,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
1,TM Dilshan,R Ashwin,N Dickwella,1,0,1,2,194,1,1,0,2,-,0,,,1,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
2,N Dickwella,R Ashwin,TM Dilshan,0,0,0,2,194,1,2,1,3,-,stumped,N Dickwella,MS Dhoni,1,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
3,LD Chandimal,R Ashwin,TM Dilshan,0,0,0,2,194,0,1,1,4,-,0,,,1,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
4,LD Chandimal,R Ashwin,TM Dilshan,0,1,1,3,193,0,2,1,5,legbyes,0,,,1,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
5,TM Dilshan,R Ashwin,LD Chandimal,0,0,0,3,193,1,2,2,6,-,lbw,TM Dilshan,,1,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
6,LD Chandimal,A Nehra,DAS Gunaratne,0,0,0,3,193,0,3,2,1,-,0,,,2,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
7,LD Chandimal,A Nehra,DAS Gunaratne,0,0,0,3,193,0,4,2,2,-,0,,,2,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
8,LD Chandimal,A Nehra,DAS Gunaratne,4,0,4,7,189,4,5,2,3,-,0,,,2,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
9,LD Chandimal,A Nehra,DAS Gunaratne,0,0,0,7,189,4,6,2,4,-,0,,,2,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
10,LD Chandimal,A Nehra,DAS Gunaratne,4,0,4,11,185,8,7,2,5,-,0,,,2,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
11,LD Chandimal,A Nehra,DAS Gunaratne,0,1,1,12,184,8,8,2,6,legbyes,0,,,2,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
12,LD Chandimal,R Ashwin,DAS Gunaratne,0,0,0,12,184,8,9,3,1,-,caught,LD Chandimal,HH Pandya,3,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
13,DAS Gunaratne,R Ashwin,TAM Siriwardana,0,0,0,12,184,0,1,3,2,-,0,,,3,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
14,DAS Gunaratne,R Ashwin,TAM Siriwardana,0,0,0,12,184,0,2,3,3,-,0,,,3,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
15,DAS Gunaratne,R Ashwin,TAM Siriwardana,0,0,0,12,184,0,3,3,4,-,0,,,3,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
16,DAS Gunaratne,R Ashwin,TAM Siriwardana,2,0,2,14,182,2,4,3,5,-,0,,,3,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
17,DAS Gunaratne,R Ashwin,TAM Siriwardana,1,0,1,15,181,3,5,3,6,-,0,,,3,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
18,DAS Gunaratne,JJ Bumrah,TAM Siriwardana,0,0,0,15,181,3,6,3,1,-,0,,,4,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
19,DAS Gunaratne,JJ Bumrah,TAM Siriwardana,0,0,0,15,181,3,7,3,2,-,0,,,4,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
20,DAS Gunaratne,JJ Bumrah,TAM Siriwardana,0,0,0,15,181,3,8,3,3,-,0,,,4,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
21,DAS Gunaratne,JJ Bumrah,TAM Siriwardana,0,0,0,15,181,3,9,3,4,-,0,,,4,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
22,DAS Gunaratne,JJ Bumrah,TAM Siriwardana,1,0,1,16,180,4,10,3,5,-,0,,,4,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
23,TAM Siriwardana,JJ Bumrah,DAS Gunaratne,4,0,4,20,176,4,1,3,6,-,0,,,4,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
24,DAS Gunaratne,R Ashwin,TAM Siriwardana,0,0,0,20,176,4,11,3,1,-,0,,,5,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
25,DAS Gunaratne,R Ashwin,TAM Siriwardana,0,0,0,20,176,4,12,4,2,-,caught,DAS Gunaratne,SK Raina,5,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
26,MD Shanaka,R Ashwin,TAM Siriwardana,0,0,0,20,176,0,1,4,3,-,0,,,5,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
27,MD Shanaka,R Ashwin,TAM Siriwardana,0,0,0,20,176,0,2,4,4,-,0,,,5,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
28,MD Shanaka,R Ashwin,TAM Siriwardana,0,0,0,20,176,0,3,4,5,-,0,,,5,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
29,MD Shanaka,R Ashwin,TAM Siriwardana,0,0,0,20,176,0,4,4,6,-,0,,,5,field,India,1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2016,02,India_Sri Lanka_2016-02-14,India,Sri Lanka,India
