,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,KL Rahul,TG Southee,RG Sharma,4,0,4,4,4,1,1,-,1,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
1,KL Rahul,TG Southee,RG Sharma,2,0,2,6,6,2,2,-,1,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
2,KL Rahul,TG Southee,RG Sharma,0,1,1,7,6,3,3,wides,1,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
3,KL Rahul,TG Southee,RG Sharma,0,0,0,7,6,4,4,-,1,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
4,KL Rahul,TG Southee,RG Sharma,0,0,0,7,6,5,5,-,1,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
5,KL Rahul,TG Southee,RG Sharma,0,0,0,7,6,6,6,-,1,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
6,KL Rahul,TG Southee,RG Sharma,1,0,1,8,7,7,7,-,1,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
7,KL Rahul,TA Boult,RG Sharma,4,0,4,12,11,8,1,-,2,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
8,KL Rahul,TA Boult,RG Sharma,0,0,0,12,11,9,2,-,2,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
9,KL Rahul,TA Boult,RG Sharma,0,0,0,12,11,10,3,-,2,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
10,KL Rahul,TA Boult,RG Sharma,0,0,0,12,11,11,4,-,2,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
11,KL Rahul,TA Boult,RG Sharma,0,0,0,12,11,12,5,-,2,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
12,KL Rahul,TA Boult,RG Sharma,4,0,4,16,15,13,6,-,2,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
13,RG Sharma,MJ Santner,KL Rahul,1,0,1,17,1,1,1,-,3,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
14,KL Rahul,MJ Santner,RG Sharma,0,0,0,17,15,14,2,-,3,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
15,KL Rahul,MJ Santner,RG Sharma,0,0,0,17,15,15,3,-,3,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
16,KL Rahul,MJ Santner,RG Sharma,1,0,1,18,16,16,4,-,3,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
17,RG Sharma,MJ Santner,KL Rahul,0,0,0,18,1,2,5,-,3,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
18,RG Sharma,MJ Santner,KL Rahul,0,0,0,18,1,3,6,-,3,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
19,KL Rahul,AF Milne,RG Sharma,0,0,0,18,16,17,1,-,4,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
20,KL Rahul,AF Milne,RG Sharma,0,1,1,19,16,18,2,wides,4,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
21,KL Rahul,AF Milne,RG Sharma,4,0,4,23,20,19,3,-,4,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
22,KL Rahul,AF Milne,RG Sharma,1,0,1,24,21,20,4,-,4,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
23,RG Sharma,AF Milne,KL Rahul,6,0,6,30,7,4,5,-,4,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
24,RG Sharma,AF Milne,KL Rahul,1,0,1,31,8,5,6,-,4,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
25,KL Rahul,AF Milne,RG Sharma,1,0,1,32,22,21,7,-,4,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
26,KL Rahul,TG Southee,RG Sharma,1,0,1,33,23,22,1,-,5,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
27,RG Sharma,TG Southee,KL Rahul,0,0,0,33,8,6,2,-,5,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
28,RG Sharma,TG Southee,KL Rahul,0,0,0,33,8,7,3,-,5,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
29,RG Sharma,TG Southee,KL Rahul,1,0,1,34,9,8,4,-,5,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
30,KL Rahul,TG Southee,RG Sharma,0,0,0,34,23,23,5,-,5,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
31,KL Rahul,TG Southee,RG Sharma,1,0,1,35,24,24,6,-,5,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
32,KL Rahul,TA Boult,RG Sharma,6,0,6,41,30,25,1,-,6,0,,,,field,India,2,"JSCA International Stadium Complex, Ranchi",2021-11-19,India,New Zealand
