,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,AC Gilchrist,E Chigumbura,ML Hayden,2,0,2,2,2,1,1,0,,,1,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
1,AC Gilchrist,E Chigumbura,ML Hayden,1,0,1,3,3,2,2,0,,,1,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
2,ML Hayden,E Chigumbura,AC Gilchrist,4,0,4,7,4,1,3,0,,,1,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
3,ML Hayden,E Chigumbura,AC Gilchrist,0,0,0,7,4,2,4,caught,ML Hayden,BRM Taylor,1,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
4,RT Ponting,E Chigumbura,AC Gilchrist,0,0,0,7,0,1,5,0,,,1,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
5,RT Ponting,E Chigumbura,AC Gilchrist,0,0,0,7,0,2,6,0,,,1,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
6,AC Gilchrist,GB Brent,RT Ponting,0,0,0,7,3,3,1,0,,,2,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
7,AC Gilchrist,GB Brent,RT Ponting,0,1,1,8,3,4,2,0,,,2,wides,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
8,AC Gilchrist,GB Brent,RT Ponting,0,1,1,9,3,5,3,0,,,2,wides,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
9,AC Gilchrist,GB Brent,RT Ponting,0,0,0,9,3,6,4,0,,,2,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
10,AC Gilchrist,GB Brent,RT Ponting,1,0,1,10,4,7,5,0,,,2,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
11,RT Ponting,GB Brent,AC Gilchrist,0,0,0,10,0,3,6,0,,,2,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
12,RT Ponting,GB Brent,AC Gilchrist,0,0,0,10,0,4,7,0,,,2,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
13,RT Ponting,GB Brent,AC Gilchrist,1,0,1,11,1,5,8,0,,,2,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
14,RT Ponting,E Chigumbura,AC Gilchrist,1,0,1,12,2,6,1,0,,,3,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
15,AC Gilchrist,E Chigumbura,RT Ponting,0,0,0,12,4,8,2,caught,AC Gilchrist,S Matsikenyeri,3,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
16,RT Ponting,E Chigumbura,A Symonds,0,0,0,12,2,7,3,0,,,3,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
17,RT Ponting,E Chigumbura,A Symonds,0,0,0,12,2,8,4,0,,,3,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
18,RT Ponting,E Chigumbura,A Symonds,0,0,0,12,2,9,5,0,,,3,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
19,RT Ponting,E Chigumbura,A Symonds,2,0,2,14,4,10,6,0,,,3,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
20,A Symonds,GB Brent,RT Ponting,1,0,1,15,1,1,1,0,,,4,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
21,RT Ponting,GB Brent,A Symonds,0,0,0,15,4,11,2,0,,,4,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
22,RT Ponting,GB Brent,A Symonds,4,0,4,19,8,12,3,0,,,4,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
23,RT Ponting,GB Brent,A Symonds,0,0,0,19,8,13,4,0,,,4,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
24,RT Ponting,GB Brent,A Symonds,0,0,0,19,8,14,5,0,,,4,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
25,RT Ponting,GB Brent,A Symonds,0,0,0,19,8,15,6,caught,RT Ponting,E Chigumbura,4,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
26,MEK Hussey,T Mupariwa,A Symonds,0,0,0,19,0,1,1,0,,,5,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
27,MEK Hussey,T Mupariwa,A Symonds,0,1,1,20,0,2,2,0,,,5,wides,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
28,MEK Hussey,T Mupariwa,A Symonds,0,0,0,20,0,3,3,0,,,5,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
29,MEK Hussey,T Mupariwa,A Symonds,0,0,0,20,0,4,4,0,,,5,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
30,MEK Hussey,T Mupariwa,A Symonds,0,0,0,20,0,5,5,0,,,5,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
31,MEK Hussey,T Mupariwa,A Symonds,0,0,0,20,0,6,6,0,,,5,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
32,MEK Hussey,T Mupariwa,A Symonds,1,0,1,21,1,7,7,0,,,5,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
33,MEK Hussey,GB Brent,A Symonds,0,0,0,21,1,8,1,0,,,6,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
34,MEK Hussey,GB Brent,A Symonds,0,0,0,21,1,9,2,0,,,6,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
35,MEK Hussey,GB Brent,A Symonds,0,0,0,21,1,10,3,0,,,6,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
36,MEK Hussey,GB Brent,A Symonds,1,0,1,22,2,11,4,0,,,6,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
37,A Symonds,GB Brent,MEK Hussey,0,0,0,22,1,2,5,0,,,6,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
38,A Symonds,GB Brent,MEK Hussey,0,0,0,22,1,3,6,0,,,6,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
39,MEK Hussey,T Mupariwa,A Symonds,1,0,1,23,3,12,1,0,,,7,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
40,A Symonds,T Mupariwa,MEK Hussey,2,0,2,25,3,4,2,0,,,7,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
41,A Symonds,T Mupariwa,MEK Hussey,0,0,0,25,3,5,3,0,,,7,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
42,A Symonds,T Mupariwa,MEK Hussey,1,0,1,26,4,6,4,0,,,7,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
43,MEK Hussey,T Mupariwa,A Symonds,1,0,1,27,4,13,5,0,,,7,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
44,A Symonds,T Mupariwa,MEK Hussey,0,1,1,28,4,7,6,0,,,7,wides,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
45,A Symonds,T Mupariwa,MEK Hussey,4,0,4,32,8,8,7,0,,,7,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
46,MEK Hussey,CJ Chibhabha,A Symonds,0,0,0,32,4,14,1,0,,,8,-,bat,Australia,1,Newlands,2007-09-12,Zimbabwe,Australia,Zimbabwe
