,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,YBK Jaiswal,OC McCoy,Shubman Gill,4,0,4,4,174,4,1,0,1,1,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
1,YBK Jaiswal,OC McCoy,Shubman Gill,0,0,0,4,174,4,2,0,2,1,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
2,YBK Jaiswal,OC McCoy,Shubman Gill,2,0,2,6,172,6,3,0,3,1,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
3,YBK Jaiswal,OC McCoy,Shubman Gill,0,0,0,6,172,6,4,0,4,1,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
4,YBK Jaiswal,OC McCoy,Shubman Gill,0,0,0,6,172,6,5,0,5,1,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
5,YBK Jaiswal,OC McCoy,Shubman Gill,4,0,4,10,168,10,6,0,6,1,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
6,Shubman Gill,AJ Hosein,YBK Jaiswal,2,0,2,12,166,2,1,0,1,2,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
7,Shubman Gill,AJ Hosein,YBK Jaiswal,1,0,1,13,165,3,2,0,2,2,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
8,YBK Jaiswal,AJ Hosein,Shubman Gill,0,0,0,13,165,10,7,0,3,2,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
9,YBK Jaiswal,AJ Hosein,Shubman Gill,1,0,1,14,164,11,8,0,4,2,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
10,Shubman Gill,AJ Hosein,YBK Jaiswal,1,0,1,15,163,4,3,0,5,2,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
11,YBK Jaiswal,AJ Hosein,Shubman Gill,1,0,1,16,162,12,9,0,6,2,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
12,YBK Jaiswal,JO Holder,Shubman Gill,4,0,4,20,158,16,10,0,1,3,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
13,YBK Jaiswal,JO Holder,Shubman Gill,0,0,0,20,158,16,11,0,2,3,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
14,YBK Jaiswal,JO Holder,Shubman Gill,0,0,0,20,158,16,12,0,3,3,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
15,YBK Jaiswal,JO Holder,Shubman Gill,0,0,0,20,158,16,13,0,4,3,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
16,YBK Jaiswal,JO Holder,Shubman Gill,4,0,4,24,154,20,14,0,5,3,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
17,YBK Jaiswal,JO Holder,Shubman Gill,4,0,4,28,150,24,15,0,6,3,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
18,Shubman Gill,OC McCoy,YBK Jaiswal,1,0,1,29,149,5,4,0,1,4,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
19,YBK Jaiswal,OC McCoy,Shubman Gill,1,0,1,30,148,25,16,0,2,4,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
20,Shubman Gill,OC McCoy,YBK Jaiswal,0,0,0,30,148,5,5,0,3,4,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
21,Shubman Gill,OC McCoy,YBK Jaiswal,0,0,0,30,148,5,6,0,4,4,-,,0,,,bat,West Indies,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,West Indies_India_2023-08-12,India,India,West Indies,179
