,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,N Dickwella,JL Denly,BKG Mendis,1,0,1,1,1,1,1,-,0,,,1,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
1,BKG Mendis,JL Denly,N Dickwella,1,0,1,2,1,1,2,-,0,,,1,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
2,N Dickwella,JL Denly,BKG Mendis,0,4,4,6,1,2,3,byes,0,,,1,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
3,N Dickwella,JL Denly,BKG Mendis,1,0,1,7,2,3,4,-,0,,,1,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
4,BKG Mendis,JL Denly,N Dickwella,0,0,0,7,1,2,5,-,0,,,1,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
5,BKG Mendis,JL Denly,N Dickwella,0,0,0,7,1,3,6,-,bowled,BKG Mendis,,1,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
6,N Dickwella,TK Curran,LD Chandimal,0,0,0,7,2,4,1,-,0,,,2,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
7,N Dickwella,TK Curran,LD Chandimal,1,0,1,8,3,5,2,-,0,,,2,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
8,LD Chandimal,TK Curran,N Dickwella,4,0,4,12,4,1,3,-,0,,,2,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
9,LD Chandimal,TK Curran,N Dickwella,0,0,0,12,4,2,4,-,0,,,2,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
10,LD Chandimal,TK Curran,N Dickwella,0,0,0,12,4,3,5,-,0,,,2,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
11,LD Chandimal,TK Curran,N Dickwella,1,0,1,13,5,4,6,-,0,,,2,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
12,LD Chandimal,JL Denly,N Dickwella,1,0,1,14,6,5,1,-,0,,,3,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
13,N Dickwella,JL Denly,LD Chandimal,0,1,1,15,3,6,2,byes,0,,,3,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
14,LD Chandimal,JL Denly,N Dickwella,0,0,0,15,6,6,3,-,0,,,3,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
15,LD Chandimal,JL Denly,N Dickwella,1,0,1,16,7,7,4,-,0,,,3,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
16,N Dickwella,JL Denly,LD Chandimal,0,0,0,16,3,7,5,-,bowled,N Dickwella,,3,,field,Sri Lanka,2,"R.Premadasa Stadium, Khettarama",2018-10-27,England,Sri Lanka,England
