,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,DA Warner,Mohammad Amir,AJ Finch,0,0,0,0,106,0,1,0,1,0,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
1,DA Warner,Mohammad Amir,AJ Finch,0,0,0,0,106,0,2,0,2,0,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
2,DA Warner,Mohammad Amir,AJ Finch,6,0,6,6,100,6,3,0,3,0,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
3,DA Warner,Mohammad Amir,AJ Finch,0,0,0,6,100,6,4,0,4,0,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
4,DA Warner,Mohammad Amir,AJ Finch,0,0,0,6,100,6,5,0,5,0,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
5,DA Warner,Mohammad Amir,AJ Finch,0,0,0,6,100,6,6,0,6,0,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
6,AJ Finch,Muhammad Musa,DA Warner,0,0,0,6,100,0,1,0,1,1,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
7,AJ Finch,Muhammad Musa,DA Warner,0,0,0,6,100,0,2,0,2,1,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
8,AJ Finch,Muhammad Musa,DA Warner,4,0,4,10,96,4,3,0,3,1,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
9,AJ Finch,Muhammad Musa,DA Warner,0,0,0,10,96,4,4,0,4,1,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
10,AJ Finch,Muhammad Musa,DA Warner,0,0,0,10,96,4,5,0,5,1,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
11,AJ Finch,Muhammad Musa,DA Warner,4,0,4,14,92,8,6,0,6,1,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
12,DA Warner,Mohammad Amir,AJ Finch,4,0,4,18,88,10,7,0,1,2,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
13,DA Warner,Mohammad Amir,AJ Finch,1,0,1,19,87,11,8,0,2,2,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
14,AJ Finch,Mohammad Amir,DA Warner,0,1,1,20,86,8,7,0,3,2,wides,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
15,AJ Finch,Mohammad Amir,DA Warner,0,0,0,20,86,8,8,0,4,2,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
16,AJ Finch,Mohammad Amir,DA Warner,0,1,1,21,85,8,9,0,5,2,wides,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
17,AJ Finch,Mohammad Amir,DA Warner,1,0,1,22,84,9,10,0,6,2,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
18,DA Warner,Mohammad Amir,AJ Finch,0,0,0,22,84,11,9,0,7,2,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
19,DA Warner,Mohammad Amir,AJ Finch,0,0,0,22,84,11,10,0,8,2,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
20,AJ Finch,Muhammad Musa,DA Warner,0,0,0,22,84,9,11,0,1,3,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
21,AJ Finch,Muhammad Musa,DA Warner,1,0,1,23,83,10,12,0,2,3,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
22,DA Warner,Muhammad Musa,AJ Finch,1,0,1,24,82,12,11,0,3,3,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
23,AJ Finch,Muhammad Musa,DA Warner,6,0,6,30,76,16,13,0,4,3,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
24,AJ Finch,Muhammad Musa,DA Warner,4,0,4,34,72,20,14,0,5,3,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
25,AJ Finch,Muhammad Musa,DA Warner,1,0,1,35,71,21,15,0,6,3,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
26,AJ Finch,Mohammad Hasnain,DA Warner,0,0,0,35,71,21,16,0,1,4,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
27,AJ Finch,Mohammad Hasnain,DA Warner,0,0,0,35,71,21,17,0,2,4,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
28,AJ Finch,Mohammad Hasnain,DA Warner,2,0,2,37,69,23,18,0,3,4,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
29,AJ Finch,Mohammad Hasnain,DA Warner,6,0,6,43,63,29,19,0,4,4,-,0,field,Australia,2,Perth Stadium,2019,11,Australia_Pakistan_2019-11-08,Australia,Australia,Pakistan,True,109
