,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,review,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
75,Towhid Hridoy,D Madushanka,Nazmul Hossain Shanto,4,0,4,104,61,7,6,2,-,5.0,11,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Left arm Fast
76,Towhid Hridoy,D Madushanka,Nazmul Hossain Shanto,1,0,1,105,60,8,7,2,-,6.0,11,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Left arm Fast
77,Towhid Hridoy,B Fernando,Nazmul Hossain Shanto,1,0,1,106,59,9,8,2,-,1.0,12,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Left arm Medium
78,Nazmul Hossain Shanto,B Fernando,Towhid Hridoy,4,0,4,110,55,24,22,2,-,2.0,12,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Medium
79,Nazmul Hossain Shanto,B Fernando,Towhid Hridoy,1,0,1,111,54,25,23,2,-,3.0,12,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Medium
80,Towhid Hridoy,B Fernando,Nazmul Hossain Shanto,2,0,2,113,52,11,9,2,-,4.0,12,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Left arm Medium
81,Towhid Hridoy,B Fernando,Nazmul Hossain Shanto,0,1,1,114,51,11,10,2,legbyes,5.0,12,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Left arm Medium
82,Nazmul Hossain Shanto,B Fernando,Towhid Hridoy,1,0,1,115,50,26,24,2,-,6.0,12,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Medium
83,Nazmul Hossain Shanto,M Theekshana,Towhid Hridoy,1,0,1,116,49,27,25,2,-,1.0,13,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Offbreak
84,Towhid Hridoy,M Theekshana,Nazmul Hossain Shanto,0,0,0,116,49,11,11,2,-,2.0,13,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Offbreak
85,Towhid Hridoy,M Theekshana,Nazmul Hossain Shanto,1,0,1,117,48,12,12,2,-,3.0,13,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Offbreak
86,Nazmul Hossain Shanto,M Theekshana,Towhid Hridoy,1,0,1,118,47,28,26,2,-,4.0,13,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Offbreak
87,Towhid Hridoy,M Theekshana,Nazmul Hossain Shanto,4,0,4,122,43,16,13,2,-,5.0,13,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Offbreak
88,Towhid Hridoy,M Theekshana,Nazmul Hossain Shanto,1,0,1,123,42,17,14,2,-,6.0,13,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Offbreak
89,Towhid Hridoy,D Madushanka,Nazmul Hossain Shanto,1,0,1,124,41,18,15,2,-,1.0,14,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Left arm Fast
90,Nazmul Hossain Shanto,D Madushanka,Towhid Hridoy,1,0,1,125,40,29,27,2,-,2.0,14,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Fast
91,Towhid Hridoy,D Madushanka,Nazmul Hossain Shanto,1,0,1,126,39,19,16,2,-,3.0,14,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Left arm Fast
92,Nazmul Hossain Shanto,D Madushanka,Towhid Hridoy,1,0,1,127,38,30,28,2,-,4.0,14,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Fast
93,Towhid Hridoy,D Madushanka,Nazmul Hossain Shanto,1,0,1,128,37,20,17,2,-,5.0,14,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Left arm Fast
94,Nazmul Hossain Shanto,D Madushanka,Towhid Hridoy,0,0,0,128,37,30,29,2,-,6.0,14,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Fast
95,Towhid Hridoy,M Pathirana,Nazmul Hossain Shanto,0,5,5,133,32,20,18,2,wides,0.0,15,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Fast
96,Towhid Hridoy,M Pathirana,Nazmul Hossain Shanto,1,0,1,134,31,21,19,2,-,1.0,15,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Fast
97,Nazmul Hossain Shanto,M Pathirana,Towhid Hridoy,1,0,1,135,30,31,30,2,-,2.0,15,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Fast
98,Towhid Hridoy,M Pathirana,Nazmul Hossain Shanto,1,0,1,136,29,22,20,2,-,3.0,15,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Fast
99,Nazmul Hossain Shanto,M Pathirana,Towhid Hridoy,1,0,1,137,28,32,31,2,-,4.0,15,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Fast
100,Towhid Hridoy,AD Mathews,Nazmul Hossain Shanto,1,0,1,138,27,23,21,2,-,5.0,15,,0,,,"{'role': [{'in': 'AD Mathews', 'out': 'M Pathirana', 'reason': 'injury', 'role': 'bowler'}]}",field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Medium
101,Nazmul Hossain Shanto,AD Mathews,Towhid Hridoy,1,0,1,139,26,33,32,2,-,6.0,15,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Medium
102,Nazmul Hossain Shanto,MD Shanaka,Towhid Hridoy,4,0,4,143,22,37,33,2,-,1.0,16,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Medium
103,Nazmul Hossain Shanto,MD Shanaka,Towhid Hridoy,6,0,6,149,16,43,34,2,-,2.0,16,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Medium
104,Nazmul Hossain Shanto,MD Shanaka,Towhid Hridoy,1,0,1,150,15,44,35,2,-,3.0,16,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Medium
105,Towhid Hridoy,MD Shanaka,Nazmul Hossain Shanto,1,0,1,151,14,24,22,2,-,4.0,16,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Medium
106,Nazmul Hossain Shanto,MD Shanaka,Towhid Hridoy,1,0,1,152,13,45,36,2,-,5.0,16,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Medium
107,Towhid Hridoy,MD Shanaka,Nazmul Hossain Shanto,0,0,0,152,13,24,23,2,-,6.0,16,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Medium
108,Nazmul Hossain Shanto,M Theekshana,Towhid Hridoy,1,0,1,153,12,46,37,2,-,1.0,17,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Offbreak
109,Towhid Hridoy,M Theekshana,Nazmul Hossain Shanto,1,0,1,154,11,25,24,2,-,2.0,17,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Offbreak
110,Nazmul Hossain Shanto,M Theekshana,Towhid Hridoy,1,0,1,155,10,47,38,2,-,3.0,17,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Offbreak
111,Towhid Hridoy,M Theekshana,Nazmul Hossain Shanto,1,0,1,156,9,26,25,2,-,4.0,17,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Offbreak
112,Nazmul Hossain Shanto,M Theekshana,Towhid Hridoy,0,1,1,157,8,47,39,2,wides,4.0,17,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Offbreak
113,Nazmul Hossain Shanto,M Theekshana,Towhid Hridoy,0,1,1,158,7,47,40,2,legbyes,5.0,17,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Offbreak
114,Towhid Hridoy,M Theekshana,Nazmul Hossain Shanto,6,0,6,164,1,32,26,2,-,6.0,17,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Offbreak
115,Nazmul Hossain Shanto,MD Shanaka,Towhid Hridoy,6,0,6,170,-5,53,41,2,-,1.0,18,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Medium
