,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,review,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
10,Soumya Sarkar,D Madushanka,Liton Das,0,0,0,14,151,9,7,0,-,5.0,1,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Fast
11,Soumya Sarkar,D Madushanka,Liton Das,4,0,4,18,147,13,8,0,-,6.0,1,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Fast
12,Liton Das,AD Mathews,Soumya Sarkar,4,0,4,22,143,9,5,0,-,1.0,2,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Medium
13,Liton Das,AD Mathews,Soumya Sarkar,4,0,4,26,139,13,6,0,-,2.0,2,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Medium
14,Liton Das,AD Mathews,Soumya Sarkar,0,0,0,26,139,13,7,0,-,3.0,2,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Medium
15,Liton Das,AD Mathews,Soumya Sarkar,1,0,1,27,138,14,8,0,-,4.0,2,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Medium
16,Soumya Sarkar,AD Mathews,Liton Das,1,0,1,28,137,14,9,0,-,5.0,2,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Medium
17,Liton Das,AD Mathews,Soumya Sarkar,0,0,0,28,137,14,9,0,-,6.0,2,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Medium
18,Soumya Sarkar,B Fernando,Liton Das,0,0,0,28,137,14,10,0,-,1.0,3,"{'by': 'Bangladesh', 'umpire': 'Gazi Sohel', 'batter': 'Soumya Sarkar', 'decision': 'upheld', 'type': 'wicket'}",0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Medium
19,Soumya Sarkar,B Fernando,Liton Das,4,0,4,32,133,18,11,0,-,2.0,3,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Medium
20,Soumya Sarkar,B Fernando,Liton Das,0,0,0,32,133,18,12,0,-,3.0,3,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Medium
21,Soumya Sarkar,B Fernando,Liton Das,0,0,0,32,133,18,13,0,-,4.0,3,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Medium
22,Soumya Sarkar,B Fernando,Liton Das,4,0,4,36,129,22,14,0,-,5.0,3,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Medium
23,Soumya Sarkar,B Fernando,Liton Das,0,2,2,38,127,22,15,0,wides,5.0,3,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Left arm Medium
24,Liton Das,B Fernando,Soumya Sarkar,0,0,0,38,127,14,10,0,-,6.0,3,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Left arm Medium
25,Soumya Sarkar,M Theekshana,Liton Das,0,0,0,38,127,22,16,0,-,1.0,4,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Offbreak
26,Soumya Sarkar,M Theekshana,Liton Das,1,0,1,39,126,23,17,0,-,2.0,4,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Left hand Bat,Right hand Bat,Right arm Offbreak
27,Liton Das,M Theekshana,Soumya Sarkar,4,0,4,43,122,18,11,0,-,3.0,4,,0,,,,field,Bangladesh,2,Sylhet International Cricket Stadium,2024,03,Sri Lanka_Bangladesh_2024-03-06,Bangladesh,Bangladesh,Sri Lanka,True,170,Right hand Bat,Left hand Bat,Right arm Offbreak
