,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Mohammad Naim,Shaheen Shah Afridi,Saif Hassan,,0,0,0,0,,0,1,0,1,0,,,0,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
1,Mohammad Naim,Shaheen Shah Afridi,Saif Hassan,,0,0,0,0,,0,2,0,2,0,,,0,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
2,Mohammad Naim,Shaheen Shah Afridi,Saif Hassan,,0,0,0,0,,0,3,0,3,0,,,0,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
3,Mohammad Naim,Shaheen Shah Afridi,Saif Hassan,,1,0,1,1,,1,4,0,4,0,,,0,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
4,Saif Hassan,Shaheen Shah Afridi,Mohammad Naim,"{'by': 'Pakistan', 'umpire': 'Tanvir Ahmed', 'batter': 'Saif Hassan', 'decision': 'upheld'}",0,0,0,1,,0,1,1,5,lbw,Saif Hassan,,0,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
5,Nazmul Hossain Shanto,Shaheen Shah Afridi,Mohammad Naim,,1,0,1,2,,1,1,1,6,0,,,0,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
6,Nazmul Hossain Shanto,Mohammad Wasim,Mohammad Naim,,0,1,1,3,,1,2,1,1,0,,,1,legbyes,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
7,Mohammad Naim,Mohammad Wasim,Nazmul Hossain Shanto,,1,0,1,4,,2,5,1,2,0,,,1,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
8,Nazmul Hossain Shanto,Mohammad Wasim,Mohammad Naim,,1,0,1,5,,2,3,1,3,0,,,1,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
9,Mohammad Naim,Mohammad Wasim,Nazmul Hossain Shanto,,0,0,0,5,,2,6,1,4,0,,,1,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
10,Mohammad Naim,Mohammad Wasim,Nazmul Hossain Shanto,,0,0,0,5,,2,7,1,5,0,,,1,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
11,Mohammad Naim,Mohammad Wasim,Nazmul Hossain Shanto,,0,0,0,5,,2,8,2,6,caught,Mohammad Naim,Fakhar Zaman,1,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
12,Nazmul Hossain Shanto,Shaheen Shah Afridi,Afif Hossain,,1,0,1,6,,3,4,2,1,0,,,2,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
13,Afif Hossain,Shaheen Shah Afridi,Nazmul Hossain Shanto,,6,0,6,12,,6,1,2,2,0,,,2,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
14,Afif Hossain,Shaheen Shah Afridi,Nazmul Hossain Shanto,,0,0,0,12,,6,2,2,3,0,,,2,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
15,Afif Hossain,Shaheen Shah Afridi,Nazmul Hossain Shanto,,0,4,4,16,,6,3,2,4,0,,,2,legbyes,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
16,Afif Hossain,Shaheen Shah Afridi,Nazmul Hossain Shanto,,0,0,0,16,,6,4,2,5,0,,,2,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
17,Afif Hossain,Shaheen Shah Afridi,Nazmul Hossain Shanto,,1,0,1,17,,7,5,2,6,0,,,2,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
18,Afif Hossain,Mohammad Wasim,Nazmul Hossain Shanto,,0,0,0,17,,7,6,2,1,0,,,3,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
19,Afif Hossain,Mohammad Wasim,Nazmul Hossain Shanto,,1,0,1,18,,8,7,2,2,0,,,3,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
20,Nazmul Hossain Shanto,Mohammad Wasim,Afif Hossain,,1,0,1,19,,4,5,2,3,0,,,3,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
21,Afif Hossain,Mohammad Wasim,Nazmul Hossain Shanto,,0,0,0,19,,8,8,2,4,0,,,3,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
22,Afif Hossain,Mohammad Wasim,Nazmul Hossain Shanto,,4,0,4,23,,12,9,2,5,0,,,3,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
23,Afif Hossain,Mohammad Wasim,Nazmul Hossain Shanto,,0,0,0,23,,12,10,2,6,0,,,3,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
24,Nazmul Hossain Shanto,Shoaib Malik,Afif Hossain,,0,0,0,23,,4,6,2,1,0,,,4,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
25,Nazmul Hossain Shanto,Shoaib Malik,Afif Hossain,,0,0,0,23,,4,7,2,2,0,,,4,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
26,Nazmul Hossain Shanto,Shoaib Malik,Afif Hossain,,4,0,4,27,,8,8,2,3,0,,,4,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
27,Nazmul Hossain Shanto,Shoaib Malik,Afif Hossain,,2,0,2,29,,10,9,2,4,0,,,4,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
28,Nazmul Hossain Shanto,Shoaib Malik,Afif Hossain,,1,0,1,30,,11,10,2,5,0,,,4,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
29,Afif Hossain,Shoaib Malik,Nazmul Hossain Shanto,,0,0,0,30,,12,11,2,6,0,,,4,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
30,Nazmul Hossain Shanto,Haris Rauf,Afif Hossain,,0,0,0,30,,11,11,2,1,0,,,5,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
31,Nazmul Hossain Shanto,Haris Rauf,Afif Hossain,,0,0,0,30,,11,12,2,2,0,,,5,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
32,Nazmul Hossain Shanto,Haris Rauf,Afif Hossain,,1,0,1,31,,12,13,2,3,0,,,5,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
33,Afif Hossain,Haris Rauf,Nazmul Hossain Shanto,,0,0,0,31,,12,12,2,4,0,,,5,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
34,Afif Hossain,Haris Rauf,Nazmul Hossain Shanto,,1,0,1,32,,13,13,2,5,0,,,5,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
35,Nazmul Hossain Shanto,Haris Rauf,Afif Hossain,,4,0,4,36,,16,14,2,6,0,,,5,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
36,Afif Hossain,Shadab Khan,Nazmul Hossain Shanto,,1,0,1,37,,14,14,2,1,0,,,6,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
37,Nazmul Hossain Shanto,Shadab Khan,Afif Hossain,,1,0,1,38,,17,15,2,2,0,,,6,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
38,Afif Hossain,Shadab Khan,Nazmul Hossain Shanto,,1,0,1,39,,15,15,2,3,0,,,6,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
39,Nazmul Hossain Shanto,Shadab Khan,Afif Hossain,,0,1,1,40,,17,16,2,4,0,,,6,wides,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
40,Nazmul Hossain Shanto,Shadab Khan,Afif Hossain,,1,0,1,41,,18,17,2,5,0,,,6,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
41,Afif Hossain,Shadab Khan,Nazmul Hossain Shanto,,0,0,0,41,,15,16,2,6,0,,,6,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
42,Afif Hossain,Shadab Khan,Nazmul Hossain Shanto,,1,0,1,42,,16,17,2,7,0,,,6,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
43,Afif Hossain,Shoaib Malik,Nazmul Hossain Shanto,,2,0,2,44,,18,18,2,1,0,,,7,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
44,Afif Hossain,Shoaib Malik,Nazmul Hossain Shanto,,1,0,1,45,,19,19,2,2,0,,,7,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
45,Nazmul Hossain Shanto,Shoaib Malik,Afif Hossain,,0,0,0,45,,18,18,2,3,0,,,7,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
46,Nazmul Hossain Shanto,Shoaib Malik,Afif Hossain,,1,0,1,46,,19,19,2,4,0,,,7,-,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2021,11,Bangladesh_Pakistan_2021-11-20,Pakistan,Bangladesh,Pakistan,False,108
