,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,extra_type,wicket_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
31,Mohammad Rizwan,B Kumar,Babar Azam,2,0,2,38,23,18,2,6,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
32,Mohammad Rizwan,B Kumar,Babar Azam,1,0,1,39,24,19,3,6,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
33,Babar Azam,B Kumar,Mohammad Rizwan,1,0,1,40,15,15,4,6,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
34,Mohammad Rizwan,B Kumar,Babar Azam,1,0,1,41,25,20,5,6,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
35,Babar Azam,B Kumar,Mohammad Rizwan,2,0,2,43,17,16,6,6,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
36,Babar Azam,B Kumar,Mohammad Rizwan,0,0,0,43,17,17,7,6,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
37,Mohammad Rizwan,RA Jadeja,Babar Azam,1,0,1,44,26,21,1,7,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
38,Babar Azam,RA Jadeja,Mohammad Rizwan,0,0,0,44,17,18,2,7,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
39,Babar Azam,RA Jadeja,Mohammad Rizwan,0,0,0,44,17,19,3,7,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
40,Babar Azam,RA Jadeja,Mohammad Rizwan,0,0,0,44,17,20,4,7,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
41,Babar Azam,RA Jadeja,Mohammad Rizwan,1,0,1,45,18,21,5,7,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
42,Mohammad Rizwan,RA Jadeja,Babar Azam,1,0,1,46,27,22,6,7,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
43,Mohammad Rizwan,CV Varun,Babar Azam,1,0,1,47,28,23,1,8,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
44,Babar Azam,CV Varun,Mohammad Rizwan,1,0,1,48,19,22,2,8,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
45,Mohammad Rizwan,CV Varun,Babar Azam,0,1,1,49,28,24,3,8,{'wides': 1},wides,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
46,Mohammad Rizwan,CV Varun,Babar Azam,0,0,0,49,28,25,4,8,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
47,Mohammad Rizwan,CV Varun,Babar Azam,1,0,1,50,29,26,5,8,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
48,Babar Azam,CV Varun,Mohammad Rizwan,1,0,1,51,20,23,6,8,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
49,Mohammad Rizwan,CV Varun,Babar Azam,1,0,1,52,30,27,7,8,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
50,Mohammad Rizwan,RA Jadeja,Babar Azam,1,0,1,53,31,28,1,9,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
51,Babar Azam,RA Jadeja,Mohammad Rizwan,1,0,1,54,21,24,2,9,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
52,Mohammad Rizwan,RA Jadeja,Babar Azam,1,0,1,55,32,29,3,9,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
53,Babar Azam,RA Jadeja,Mohammad Rizwan,0,0,0,55,21,25,4,9,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
54,Babar Azam,RA Jadeja,Mohammad Rizwan,6,0,6,61,27,26,5,9,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
55,Babar Azam,RA Jadeja,Mohammad Rizwan,1,0,1,62,28,27,6,9,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
56,Babar Azam,CV Varun,Mohammad Rizwan,4,0,4,66,32,28,1,10,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
57,Babar Azam,CV Varun,Mohammad Rizwan,1,0,1,67,33,29,2,10,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
58,Mohammad Rizwan,CV Varun,Babar Azam,2,0,2,69,34,30,3,10,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
59,Mohammad Rizwan,CV Varun,Babar Azam,1,0,1,70,35,31,4,10,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
60,Babar Azam,CV Varun,Mohammad Rizwan,1,0,1,71,34,30,5,10,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
61,Mohammad Rizwan,CV Varun,Babar Azam,0,0,0,71,35,32,6,10,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
62,Babar Azam,JJ Bumrah,Mohammad Rizwan,2,0,2,73,36,31,1,11,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
63,Babar Azam,JJ Bumrah,Mohammad Rizwan,4,0,4,77,40,32,2,11,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
64,Babar Azam,JJ Bumrah,Mohammad Rizwan,0,0,0,77,40,33,3,11,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
65,Babar Azam,JJ Bumrah,Mohammad Rizwan,0,0,0,77,40,34,4,11,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
66,Babar Azam,JJ Bumrah,Mohammad Rizwan,2,0,2,79,42,35,5,11,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
67,Babar Azam,JJ Bumrah,Mohammad Rizwan,1,0,1,80,43,36,6,11,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
68,Babar Azam,RA Jadeja,Mohammad Rizwan,1,0,1,81,44,37,1,12,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
69,Mohammad Rizwan,RA Jadeja,Babar Azam,0,0,0,81,35,33,2,12,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
70,Mohammad Rizwan,RA Jadeja,Babar Azam,1,0,1,82,36,34,3,12,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
71,Babar Azam,RA Jadeja,Mohammad Rizwan,0,1,1,83,44,38,4,12,{'legbyes': 1},legbyes,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
72,Mohammad Rizwan,RA Jadeja,Babar Azam,2,0,2,85,38,35,5,12,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
73,Mohammad Rizwan,RA Jadeja,Babar Azam,0,0,0,85,38,36,6,12,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
74,Babar Azam,CV Varun,Mohammad Rizwan,1,0,1,86,45,39,1,13,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
75,Mohammad Rizwan,CV Varun,Babar Azam,6,0,6,92,44,37,2,13,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
76,Mohammad Rizwan,CV Varun,Babar Azam,1,0,1,93,45,38,3,13,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
77,Babar Azam,CV Varun,Mohammad Rizwan,6,0,6,99,51,40,4,13,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
78,Babar Azam,CV Varun,Mohammad Rizwan,1,0,1,100,52,41,5,13,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
79,Mohammad Rizwan,CV Varun,Babar Azam,1,0,1,101,46,39,6,13,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
80,Mohammad Rizwan,RA Jadeja,Babar Azam,1,0,1,102,47,40,1,14,,-,0,field,Pakistan,2,Dubai International Cricket Stadium,2021-10-24,Pakistan,India
