,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,SD Hope,DJ Willey,JD Campbell,0,0,0,0,182,0,1,1,1,caught,SD Hope,AD Hales,1,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
1,SO Hetmyer,DJ Willey,JD Campbell,1,0,1,1,181,1,1,1,2,0,,,1,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
2,JD Campbell,DJ Willey,SO Hetmyer,0,0,0,1,181,0,1,1,3,0,,,1,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
3,JD Campbell,DJ Willey,SO Hetmyer,0,0,0,1,181,0,2,1,4,0,,,1,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
4,JD Campbell,DJ Willey,SO Hetmyer,0,0,0,1,181,0,3,1,5,0,,,1,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
5,JD Campbell,DJ Willey,SO Hetmyer,0,0,0,1,181,0,4,1,6,0,,,1,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
6,SO Hetmyer,TK Curran,JD Campbell,4,0,4,5,177,5,2,1,1,0,,,2,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
7,SO Hetmyer,TK Curran,JD Campbell,0,0,0,5,177,5,3,1,2,0,,,2,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
8,SO Hetmyer,TK Curran,JD Campbell,1,0,1,6,176,6,4,1,3,0,,,2,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
9,JD Campbell,TK Curran,SO Hetmyer,1,0,1,7,175,1,5,1,4,0,,,2,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
10,SO Hetmyer,TK Curran,JD Campbell,2,0,2,9,173,8,5,1,5,0,,,2,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
11,SO Hetmyer,TK Curran,JD Campbell,0,0,0,9,173,8,6,1,6,0,,,2,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
12,JD Campbell,DJ Willey,SO Hetmyer,0,0,0,9,173,1,6,1,1,0,,,3,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
13,JD Campbell,DJ Willey,SO Hetmyer,0,0,0,9,173,1,7,1,2,0,,,3,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
14,JD Campbell,DJ Willey,SO Hetmyer,1,0,1,10,172,2,8,1,3,0,,,3,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
15,SO Hetmyer,DJ Willey,JD Campbell,0,0,0,10,172,8,7,2,4,caught,SO Hetmyer,CJ Jordan,3,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
16,DM Bravo,DJ Willey,JD Campbell,0,0,0,10,172,0,1,2,5,0,,,3,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
17,DM Bravo,DJ Willey,JD Campbell,4,0,4,14,168,4,2,2,6,0,,,3,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
18,JD Campbell,CJ Jordan,DM Bravo,0,0,0,14,168,2,9,2,1,0,,,4,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
19,JD Campbell,CJ Jordan,DM Bravo,4,0,4,18,164,6,10,2,2,0,,,4,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
20,JD Campbell,CJ Jordan,DM Bravo,0,0,0,18,164,6,11,2,3,0,,,4,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
21,JD Campbell,CJ Jordan,DM Bravo,4,0,4,22,160,10,12,2,4,0,,,4,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
22,JD Campbell,CJ Jordan,DM Bravo,1,0,1,23,159,11,13,2,5,0,,,4,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
23,DM Bravo,CJ Jordan,JD Campbell,0,1,1,24,158,4,3,2,6,0,,,4,wides,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
24,DM Bravo,CJ Jordan,JD Campbell,0,0,0,24,158,4,4,2,7,0,,,4,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
25,JD Campbell,DJ Willey,DM Bravo,0,0,0,24,158,11,14,3,1,caught,JD Campbell,JL Denly,5,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
26,DM Bravo,DJ Willey,JO Holder,0,0,0,24,158,4,5,3,2,0,,,5,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
27,DM Bravo,DJ Willey,JO Holder,0,0,0,24,158,4,6,4,3,caught,DM Bravo,JM Bairstow,5,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
28,N Pooran,DJ Willey,JO Holder,0,0,0,24,158,0,1,4,4,0,,,5,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
29,N Pooran,DJ Willey,JO Holder,1,0,1,25,157,1,2,4,5,0,,,5,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
30,JO Holder,DJ Willey,N Pooran,0,0,0,25,157,0,1,4,6,0,,,5,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
31,N Pooran,CJ Jordan,JO Holder,1,0,1,26,156,2,3,4,1,0,,,6,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
32,JO Holder,CJ Jordan,N Pooran,0,1,1,27,155,0,2,4,2,0,,,6,byes,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
33,N Pooran,CJ Jordan,JO Holder,0,0,0,27,155,2,4,4,3,0,,,6,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
34,N Pooran,CJ Jordan,JO Holder,1,0,1,28,154,3,5,4,4,0,,,6,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
35,JO Holder,CJ Jordan,N Pooran,1,0,1,29,153,1,3,4,5,0,,,6,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
36,N Pooran,CJ Jordan,JO Holder,1,0,1,30,152,4,6,4,6,0,,,6,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
37,N Pooran,JL Denly,JO Holder,1,0,1,31,151,5,7,4,1,0,,,7,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
38,JO Holder,JL Denly,N Pooran,1,0,1,32,150,2,4,4,2,0,,,7,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
39,N Pooran,JL Denly,JO Holder,0,0,0,32,150,5,8,4,3,0,,,7,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
40,N Pooran,JL Denly,JO Holder,1,0,1,33,149,6,9,4,4,0,,,7,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
41,JO Holder,JL Denly,N Pooran,0,0,0,33,149,2,5,4,5,0,,,7,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
42,JO Holder,JL Denly,N Pooran,1,0,1,34,148,3,6,4,6,0,,,7,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
43,JO Holder,MA Wood,N Pooran,0,0,0,34,148,3,7,4,1,0,,,8,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
44,JO Holder,MA Wood,N Pooran,0,0,0,34,148,3,8,4,2,0,,,8,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
45,JO Holder,MA Wood,N Pooran,0,0,0,34,148,3,9,4,3,0,,,8,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
46,JO Holder,MA Wood,N Pooran,1,0,1,35,147,4,10,4,4,0,,,8,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
47,N Pooran,MA Wood,JO Holder,0,0,0,35,147,6,10,4,5,0,,,8,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
48,N Pooran,MA Wood,JO Holder,1,0,1,36,146,7,11,4,6,0,,,8,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
49,N Pooran,JL Denly,JO Holder,1,0,1,37,145,8,12,4,1,0,,,9,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
50,JO Holder,JL Denly,N Pooran,1,0,1,38,144,5,11,4,2,0,,,9,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
51,N Pooran,JL Denly,JO Holder,1,0,1,39,143,9,13,4,3,0,,,9,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
52,JO Holder,JL Denly,N Pooran,6,0,6,45,137,11,12,4,4,0,,,9,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
53,JO Holder,JL Denly,N Pooran,0,0,0,45,137,11,13,5,5,caught,JO Holder,CJ Jordan,9,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
54,N Pooran,JL Denly,FA Allen,1,0,1,46,136,10,14,5,6,0,,,9,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
55,N Pooran,MA Wood,FA Allen,1,0,1,47,135,11,15,5,1,0,,,10,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
56,FA Allen,MA Wood,N Pooran,1,0,1,48,134,1,1,5,2,0,,,10,-,bat,West Indies,1,"Warner Park, St Kitts",2019,03,West Indies_England_2019-03-10,England,West Indies,England,71
