,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,PR Stirling,BC Fortuin,KJ O'Brien,,0,0,0,0,0,1,1,-,0,,,1,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
1,PR Stirling,BC Fortuin,KJ O'Brien,,0,0,0,0,0,2,2,-,0,,,1,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
2,PR Stirling,BC Fortuin,KJ O'Brien,,0,0,0,0,0,3,3,-,0,,,1,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
3,PR Stirling,BC Fortuin,KJ O'Brien,{'legbyes': 1},0,1,1,1,0,4,4,legbyes,0,,,1,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
4,KJ O'Brien,BC Fortuin,PR Stirling,,0,0,0,1,0,1,5,-,0,,,1,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
5,KJ O'Brien,BC Fortuin,PR Stirling,,0,0,0,1,0,2,6,-,caught and bowled,KJ O'Brien,,1,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
6,PR Stirling,L Ngidi,A Balbirnie,,0,0,0,1,0,5,1,-,0,,,2,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
7,PR Stirling,L Ngidi,A Balbirnie,,4,0,4,5,4,6,2,-,0,,,2,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
8,PR Stirling,L Ngidi,A Balbirnie,,1,0,1,6,5,7,3,-,0,,,2,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
9,A Balbirnie,L Ngidi,PR Stirling,,1,0,1,7,1,1,4,-,0,,,2,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
10,PR Stirling,L Ngidi,A Balbirnie,,1,0,1,8,6,8,5,-,0,,,2,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
11,A Balbirnie,L Ngidi,PR Stirling,,0,0,0,8,1,2,6,-,0,,,2,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
12,PR Stirling,BC Fortuin,A Balbirnie,,0,0,0,8,6,9,1,-,0,,,3,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
13,PR Stirling,BC Fortuin,A Balbirnie,,0,0,0,8,6,10,2,-,0,,,3,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
14,PR Stirling,BC Fortuin,A Balbirnie,,6,0,6,14,12,11,3,-,0,,,3,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
15,PR Stirling,BC Fortuin,A Balbirnie,,0,0,0,14,12,12,4,-,0,,,3,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
16,PR Stirling,BC Fortuin,A Balbirnie,,1,0,1,15,13,13,5,-,0,,,3,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
17,A Balbirnie,BC Fortuin,PR Stirling,,0,0,0,15,1,3,6,-,0,,,3,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
18,PR Stirling,L Ngidi,A Balbirnie,,1,0,1,16,14,14,1,-,0,,,4,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
19,A Balbirnie,L Ngidi,PR Stirling,{'legbyes': 1},0,1,1,17,1,4,2,legbyes,0,,,4,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
20,PR Stirling,L Ngidi,A Balbirnie,,1,0,1,18,15,15,3,-,0,,,4,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
21,A Balbirnie,L Ngidi,PR Stirling,,1,0,1,19,2,5,4,-,0,,,4,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
22,PR Stirling,L Ngidi,A Balbirnie,,0,0,0,19,15,16,5,-,0,,,4,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
23,PR Stirling,L Ngidi,A Balbirnie,,0,0,0,19,15,17,6,-,0,,,4,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
24,A Balbirnie,BE Hendricks,PR Stirling,,4,0,4,23,6,6,1,-,0,,,5,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
25,A Balbirnie,BE Hendricks,PR Stirling,,0,0,0,23,6,7,2,-,caught,A Balbirnie,Q de Kock,5,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
26,PR Stirling,BE Hendricks,GH Dockrell,,1,0,1,24,16,18,3,-,0,,,5,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
27,GH Dockrell,BE Hendricks,PR Stirling,,0,0,0,24,0,1,4,-,0,,,5,bat,South Africa,2,"Civil Service Cricket Club, Stormont, Belfast",2021-07-22,Ireland,South Africa
