,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Mohammad Naim,Fazalhaq Farooqi,Anamul Haque,0,0,0,0,147,0,1,0,1,0,0,,,,-,bat,Bangladesh,1,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Bangladesh,Afghanistan,127
1,Mohammad Naim,Fazalhaq Farooqi,Anamul Haque,0,0,0,0,147,0,2,0,2,0,0,,,,-,bat,Bangladesh,1,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Bangladesh,Afghanistan,127
2,Mohammad Naim,Fazalhaq Farooqi,Anamul Haque,4,0,4,4,143,4,3,0,3,0,0,,,,-,bat,Bangladesh,1,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Bangladesh,Afghanistan,127
3,Mohammad Naim,Fazalhaq Farooqi,Anamul Haque,0,0,0,4,143,4,4,0,4,0,0,,,,-,bat,Bangladesh,1,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Bangladesh,Afghanistan,127
4,Mohammad Naim,Fazalhaq Farooqi,Anamul Haque,0,0,0,4,143,4,5,0,5,0,0,,,,-,bat,Bangladesh,1,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Bangladesh,Afghanistan,127
5,Mohammad Naim,Fazalhaq Farooqi,Anamul Haque,1,0,1,5,142,5,6,0,6,0,0,,,,-,bat,Bangladesh,1,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Bangladesh,Afghanistan,127
6,Mohammad Naim,Mujeeb Ur Rahman,Anamul Haque,1,0,1,6,141,6,7,0,1,1,0,,,,-,bat,Bangladesh,1,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Bangladesh,Afghanistan,127
7,Anamul Haque,Mujeeb Ur Rahman,Mohammad Naim,0,0,0,6,141,0,1,0,2,1,0,,,,-,bat,Bangladesh,1,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Bangladesh,Afghanistan,127
8,Anamul Haque,Mujeeb Ur Rahman,Mohammad Naim,0,0,0,6,141,0,2,0,3,1,0,,,,-,bat,Bangladesh,1,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Bangladesh,Afghanistan,127
9,Anamul Haque,Mujeeb Ur Rahman,Mohammad Naim,0,0,0,6,141,0,3,0,4,1,0,,,,-,bat,Bangladesh,1,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Bangladesh,Afghanistan,127
10,Anamul Haque,Mujeeb Ur Rahman,Mohammad Naim,1,0,1,7,140,1,4,0,5,1,0,,,,-,bat,Bangladesh,1,Sharjah Cricket Stadium,2022,08,Bangladesh_Afghanistan_2022-08-30,Afghanistan,Bangladesh,Afghanistan,127
