,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,Imrul Kayes,D Paterson,Soumya Sarkar,4,0,4,4,4,1,1,1,-,0,,,,bat,South Africa,2,Mangaung Oval,2017-10-26,South Africa,Bangladesh,South Africa
1,Imrul Kayes,D Paterson,Soumya Sarkar,0,0,0,4,4,2,2,1,-,0,,,,bat,South Africa,2,Mangaung Oval,2017-10-26,South Africa,Bangladesh,South Africa
2,Imrul Kayes,D Paterson,Soumya Sarkar,1,0,1,5,5,3,3,1,-,0,,,,bat,South Africa,2,Mangaung Oval,2017-10-26,South Africa,Bangladesh,South Africa
3,Soumya Sarkar,D Paterson,Imrul Kayes,3,0,3,8,3,1,4,1,-,0,,,,bat,South Africa,2,Mangaung Oval,2017-10-26,South Africa,Bangladesh,South Africa
4,Imrul Kayes,D Paterson,Soumya Sarkar,0,0,0,8,5,4,5,1,-,0,,,,bat,South Africa,2,Mangaung Oval,2017-10-26,South Africa,Bangladesh,South Africa
5,Imrul Kayes,D Paterson,Soumya Sarkar,1,0,1,9,6,5,6,1,-,0,,,,bat,South Africa,2,Mangaung Oval,2017-10-26,South Africa,Bangladesh,South Africa
6,Imrul Kayes,BE Hendricks,Soumya Sarkar,0,0,0,9,6,6,1,2,-,0,,,,bat,South Africa,2,Mangaung Oval,2017-10-26,South Africa,Bangladesh,South Africa
7,Imrul Kayes,BE Hendricks,Soumya Sarkar,1,0,1,10,7,7,2,2,-,0,,,,bat,South Africa,2,Mangaung Oval,2017-10-26,South Africa,Bangladesh,South Africa
8,Soumya Sarkar,BE Hendricks,Imrul Kayes,0,0,0,10,3,2,3,2,-,0,,,,bat,South Africa,2,Mangaung Oval,2017-10-26,South Africa,Bangladesh,South Africa
9,Soumya Sarkar,BE Hendricks,Imrul Kayes,6,0,6,16,9,3,4,2,-,0,,,,bat,South Africa,2,Mangaung Oval,2017-10-26,South Africa,Bangladesh,South Africa
10,Soumya Sarkar,BE Hendricks,Imrul Kayes,0,2,2,18,9,4,5,2,wides,0,,,,bat,South Africa,2,Mangaung Oval,2017-10-26,South Africa,Bangladesh,South Africa
11,Imrul Kayes,BE Hendricks,Soumya Sarkar,1,0,1,19,8,8,6,2,-,0,,,,bat,South Africa,2,Mangaung Oval,2017-10-26,South Africa,Bangladesh,South Africa
12,Soumya Sarkar,BE Hendricks,Imrul Kayes,0,1,1,20,9,5,7,2,legbyes,0,,,,bat,South Africa,2,Mangaung Oval,2017-10-26,South Africa,Bangladesh,South Africa
