,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,C Zhuwao,B Stanlake,SF Mire,0,0,0,0,0,1,1,caught,C Zhuwao,AT Carey,1,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
1,H Masakadza,B Stanlake,SF Mire,0,0,0,0,0,1,2,0,,,1,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
2,H Masakadza,B Stanlake,SF Mire,0,0,0,0,0,2,3,0,,,1,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
3,H Masakadza,B Stanlake,SF Mire,0,0,0,0,0,3,4,0,,,1,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
4,H Masakadza,B Stanlake,SF Mire,0,0,0,0,0,4,5,0,,,1,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
5,H Masakadza,B Stanlake,SF Mire,0,0,0,0,0,5,6,0,,,1,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
6,SF Mire,JA Richardson,H Masakadza,1,0,1,1,1,1,1,0,,,2,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
7,H Masakadza,JA Richardson,SF Mire,0,0,0,1,0,6,2,0,,,2,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
8,H Masakadza,JA Richardson,SF Mire,1,0,1,2,1,7,3,0,,,2,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
9,SF Mire,JA Richardson,H Masakadza,0,0,0,2,1,2,4,0,,,2,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
10,SF Mire,JA Richardson,H Masakadza,1,0,1,3,2,3,5,0,,,2,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
11,H Masakadza,JA Richardson,SF Mire,1,0,1,4,2,8,6,0,,,2,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
12,H Masakadza,B Stanlake,SF Mire,4,0,4,8,6,9,1,0,,,3,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
13,H Masakadza,B Stanlake,SF Mire,1,0,1,9,7,10,2,0,,,3,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
14,SF Mire,B Stanlake,H Masakadza,0,0,0,9,2,4,3,0,,,3,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
15,SF Mire,B Stanlake,H Masakadza,0,0,0,9,2,5,4,0,,,3,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
16,SF Mire,B Stanlake,H Masakadza,4,0,4,13,6,6,5,0,,,3,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
17,SF Mire,B Stanlake,H Masakadza,1,0,1,14,7,7,6,0,,,3,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
18,SF Mire,JA Richardson,H Masakadza,1,0,1,15,8,8,1,0,,,4,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
19,H Masakadza,JA Richardson,SF Mire,6,0,6,21,13,11,2,0,,,4,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
20,H Masakadza,JA Richardson,SF Mire,0,0,0,21,13,12,3,bowled,H Masakadza,,4,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
21,TK Musakanda,JA Richardson,SF Mire,0,5,5,26,0,1,4,0,,,4,wides,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
22,TK Musakanda,JA Richardson,SF Mire,0,0,0,26,0,2,5,0,,,4,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
23,TK Musakanda,JA Richardson,SF Mire,0,0,0,26,0,3,6,0,,,4,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
24,TK Musakanda,JA Richardson,SF Mire,0,0,0,26,0,4,7,0,,,4,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
25,SF Mire,MP Stoinis,TK Musakanda,1,0,1,27,9,9,1,0,,,5,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
26,TK Musakanda,MP Stoinis,SF Mire,1,0,1,28,1,5,2,0,,,5,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
27,SF Mire,MP Stoinis,TK Musakanda,0,0,0,28,9,10,3,0,,,5,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
28,SF Mire,MP Stoinis,TK Musakanda,1,0,1,29,10,11,4,0,,,5,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
29,TK Musakanda,MP Stoinis,SF Mire,1,0,1,30,2,6,5,0,,,5,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
30,SF Mire,MP Stoinis,TK Musakanda,4,0,4,34,14,12,6,0,,,5,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
31,TK Musakanda,B Stanlake,SF Mire,0,0,0,34,2,7,1,0,,,6,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
32,TK Musakanda,B Stanlake,SF Mire,4,0,4,38,6,8,2,0,,,6,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
33,TK Musakanda,B Stanlake,SF Mire,0,0,0,38,6,9,3,0,,,6,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
34,TK Musakanda,B Stanlake,SF Mire,6,0,6,44,12,10,4,0,,,6,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
35,TK Musakanda,B Stanlake,SF Mire,0,0,0,44,12,11,5,caught,TK Musakanda,JD Wildermuth,6,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
36,SF Mire,B Stanlake,PJ Moor,0,0,0,44,14,13,6,0,,,6,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
37,PJ Moor,AC Agar,SF Mire,0,0,0,44,0,1,1,0,,,7,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
38,PJ Moor,AC Agar,SF Mire,1,0,1,45,1,2,2,0,,,7,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
39,SF Mire,AC Agar,PJ Moor,0,0,0,45,14,14,3,0,,,7,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
40,SF Mire,AC Agar,PJ Moor,1,0,1,46,15,15,4,0,,,7,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
41,PJ Moor,AC Agar,SF Mire,2,0,2,48,3,3,5,0,,,7,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
42,PJ Moor,AC Agar,SF Mire,1,0,1,49,4,4,6,0,,,7,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
43,PJ Moor,AJ Tye,SF Mire,0,0,0,49,4,5,1,0,,,8,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
44,PJ Moor,AJ Tye,SF Mire,1,0,1,50,5,6,2,0,,,8,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
45,SF Mire,AJ Tye,PJ Moor,0,0,0,50,15,16,3,0,,,8,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
46,SF Mire,AJ Tye,PJ Moor,1,0,1,51,16,17,4,0,,,8,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
47,PJ Moor,AJ Tye,SF Mire,1,0,1,52,6,7,5,0,,,8,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
48,SF Mire,AJ Tye,PJ Moor,1,0,1,53,17,18,6,0,,,8,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
49,SF Mire,AC Agar,PJ Moor,1,0,1,54,18,19,1,0,,,9,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
50,PJ Moor,AC Agar,SF Mire,0,0,0,54,6,8,2,0,,,9,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
51,PJ Moor,AC Agar,SF Mire,2,0,2,56,8,9,3,0,,,9,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
52,PJ Moor,AC Agar,SF Mire,1,0,1,57,9,10,4,0,,,9,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
53,SF Mire,AC Agar,PJ Moor,1,0,1,58,19,20,5,0,,,9,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
54,PJ Moor,AC Agar,SF Mire,0,0,0,58,9,11,6,0,,,9,-,bat,Zimbabwe,1,Harare Sports Club,2018-07-06,Zimbabwe,Australia
