,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MN van Wyk,DBL Powell,HH Gibbs,0,0,0,0,0,1,1,-,1,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
1,MN van Wyk,DBL Powell,HH Gibbs,0,0,0,0,0,2,2,-,1,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
2,MN van Wyk,DBL Powell,HH Gibbs,1,0,1,1,1,3,3,-,1,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
3,HH Gibbs,DBL Powell,MN van Wyk,0,0,0,1,0,1,4,-,1,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
4,HH Gibbs,DBL Powell,MN van Wyk,0,0,0,1,0,2,5,-,1,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
5,HH Gibbs,DBL Powell,MN van Wyk,0,4,4,5,0,3,6,legbyes,1,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
6,MN van Wyk,JE Taylor,HH Gibbs,0,0,0,5,1,4,1,-,2,lbw,MN van Wyk,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
7,JP Duminy,JE Taylor,HH Gibbs,0,0,0,5,0,1,2,-,2,bowled,JP Duminy,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
8,AB de Villiers,JE Taylor,HH Gibbs,0,0,0,5,0,1,3,-,2,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
9,AB de Villiers,JE Taylor,HH Gibbs,0,0,0,5,0,2,4,-,2,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
10,AB de Villiers,JE Taylor,HH Gibbs,0,0,0,5,0,3,5,-,2,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
11,AB de Villiers,JE Taylor,HH Gibbs,0,0,0,5,0,4,6,-,2,bowled,AB de Villiers,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
12,HH Gibbs,DBL Powell,GH Bodi,0,0,0,5,0,4,1,-,3,caught,HH Gibbs,S Chanderpaul,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
13,SM Pollock,DBL Powell,GH Bodi,1,0,1,6,1,1,2,-,3,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
14,GH Bodi,DBL Powell,SM Pollock,0,1,1,7,0,1,3,wides,3,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
15,GH Bodi,DBL Powell,SM Pollock,0,0,0,7,0,2,4,-,3,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
16,GH Bodi,DBL Powell,SM Pollock,1,0,1,8,1,3,5,-,3,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
17,SM Pollock,DBL Powell,GH Bodi,0,0,0,8,1,2,6,-,3,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
18,SM Pollock,DBL Powell,GH Bodi,0,0,0,8,1,3,7,-,3,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
19,GH Bodi,JE Taylor,SM Pollock,1,0,1,9,2,4,1,-,4,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
20,SM Pollock,JE Taylor,GH Bodi,0,0,0,9,1,4,2,-,4,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
21,SM Pollock,JE Taylor,GH Bodi,1,0,1,10,2,5,3,-,4,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
22,GH Bodi,JE Taylor,SM Pollock,0,0,0,10,2,5,4,-,4,run out,SM Pollock,RS Morton,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
23,JA Morkel,JE Taylor,GH Bodi,0,0,0,10,0,1,5,-,4,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
24,JA Morkel,JE Taylor,GH Bodi,0,0,0,10,0,2,6,-,4,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
25,GH Bodi,DBL Powell,JA Morkel,0,0,0,10,2,6,1,-,5,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
26,GH Bodi,DBL Powell,JA Morkel,0,0,0,10,2,7,2,-,5,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
27,GH Bodi,DBL Powell,JA Morkel,0,0,0,10,2,8,3,-,5,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
28,GH Bodi,DBL Powell,JA Morkel,1,0,1,11,3,9,4,-,5,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
29,JA Morkel,DBL Powell,GH Bodi,1,0,1,12,1,3,5,-,5,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
30,GH Bodi,DBL Powell,JA Morkel,0,0,0,12,3,10,6,-,5,0,,,field,West Indies,1,St George's Park,2007-12-16,South Africa,West Indies
