,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Tamim Iqbal,A Nehra,Mohammad Mithun,4,0,4,4,4,1,1,1,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
1,Tamim Iqbal,A Nehra,Mohammad Mithun,0,0,0,4,4,2,2,1,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
2,Tamim Iqbal,A Nehra,Mohammad Mithun,0,0,0,4,4,3,3,1,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
3,Tamim Iqbal,A Nehra,Mohammad Mithun,2,0,2,6,6,4,4,1,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
4,Tamim Iqbal,A Nehra,Mohammad Mithun,0,0,0,6,6,5,5,1,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
5,Tamim Iqbal,A Nehra,Mohammad Mithun,1,0,1,7,7,6,6,1,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
6,Tamim Iqbal,JJ Bumrah,Mohammad Mithun,0,0,0,7,7,7,1,2,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
7,Tamim Iqbal,JJ Bumrah,Mohammad Mithun,0,0,0,7,7,8,2,2,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
8,Tamim Iqbal,JJ Bumrah,Mohammad Mithun,1,0,1,8,8,9,3,2,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
9,Mohammad Mithun,JJ Bumrah,Tamim Iqbal,0,0,0,8,0,1,4,2,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
10,Mohammad Mithun,JJ Bumrah,Tamim Iqbal,1,0,1,9,1,2,5,2,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
11,Tamim Iqbal,JJ Bumrah,Mohammad Mithun,1,0,1,10,9,10,6,2,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
12,Tamim Iqbal,R Ashwin,Mohammad Mithun,1,0,1,11,10,11,1,3,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
13,Mohammad Mithun,R Ashwin,Tamim Iqbal,0,0,0,11,1,3,2,3,caught,Mohammad Mithun,HH Pandya,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
14,Sabbir Rahman,R Ashwin,Tamim Iqbal,1,0,1,12,1,1,3,3,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
15,Tamim Iqbal,R Ashwin,Sabbir Rahman,0,0,0,12,10,12,4,3,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
16,Tamim Iqbal,R Ashwin,Sabbir Rahman,0,0,0,12,10,13,5,3,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
17,Tamim Iqbal,R Ashwin,Sabbir Rahman,0,0,0,12,10,14,6,3,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
18,Sabbir Rahman,A Nehra,Tamim Iqbal,3,0,3,15,4,2,1,4,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
19,Tamim Iqbal,A Nehra,Sabbir Rahman,0,0,0,15,10,15,2,4,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
20,Tamim Iqbal,A Nehra,Sabbir Rahman,2,0,2,17,12,16,3,4,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
21,Tamim Iqbal,A Nehra,Sabbir Rahman,1,0,1,18,13,17,4,4,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
22,Sabbir Rahman,A Nehra,Tamim Iqbal,1,0,1,19,5,3,5,4,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
23,Tamim Iqbal,A Nehra,Sabbir Rahman,1,0,1,20,14,18,6,4,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
24,Tamim Iqbal,R Ashwin,Sabbir Rahman,0,0,0,20,14,19,1,5,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
25,Tamim Iqbal,R Ashwin,Sabbir Rahman,1,0,1,21,15,20,2,5,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
26,Sabbir Rahman,R Ashwin,Tamim Iqbal,1,0,1,22,6,4,3,5,0,,,,-,field,Bangladesh,2,M Chinnaswamy Stadium,2016-03-23,Bangladesh,India
