,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Q de Kock,B Kumar,T Bavuma,0,0,0,0,133,0,1,0,1,1,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
1,Q de Kock,B Kumar,T Bavuma,1,0,1,1,132,1,2,0,2,1,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
2,T Bavuma,B Kumar,Q de Kock,0,0,0,1,132,0,1,0,3,1,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
3,T Bavuma,B Kumar,Q de Kock,0,0,0,1,132,0,2,0,4,1,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
4,T Bavuma,B Kumar,Q de Kock,2,0,2,3,130,2,3,0,5,1,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
5,T Bavuma,B Kumar,Q de Kock,0,0,0,3,130,2,4,0,6,1,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
6,Q de Kock,Arshdeep Singh,T Bavuma,0,0,0,3,130,1,3,1,1,2,,caught,Q de Kock,KL Rahul,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
7,RR Rossouw,Arshdeep Singh,T Bavuma,0,0,0,3,130,0,1,1,2,2,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
8,RR Rossouw,Arshdeep Singh,T Bavuma,0,0,0,3,130,0,2,2,3,2,"{'by': 'India', 'umpire': 'RA Kettleborough', 'batter': 'RR Rossouw', 'decision': 'upheld'}",lbw,RR Rossouw,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
9,AK Markram,Arshdeep Singh,T Bavuma,4,0,4,7,126,4,1,2,4,2,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
10,AK Markram,Arshdeep Singh,T Bavuma,0,0,0,7,126,4,2,2,5,2,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
11,AK Markram,Arshdeep Singh,T Bavuma,0,0,0,7,126,4,3,2,6,2,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
12,T Bavuma,B Kumar,AK Markram,0,0,0,7,126,2,5,2,1,3,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
13,T Bavuma,B Kumar,AK Markram,1,0,1,8,125,3,6,2,2,3,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
14,AK Markram,B Kumar,T Bavuma,0,0,0,8,125,4,4,2,3,3,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
15,AK Markram,B Kumar,T Bavuma,1,0,1,9,124,5,5,2,4,3,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
16,T Bavuma,B Kumar,AK Markram,0,0,0,9,124,3,7,2,5,3,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
17,T Bavuma,B Kumar,AK Markram,0,0,0,9,124,3,8,2,6,3,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
18,AK Markram,Arshdeep Singh,T Bavuma,0,0,0,9,124,5,6,2,1,4,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
19,AK Markram,Arshdeep Singh,T Bavuma,0,0,0,9,124,5,7,2,2,4,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
20,AK Markram,Arshdeep Singh,T Bavuma,4,0,4,13,120,9,8,2,3,4,,0,,,-,bat,India,2,Perth Stadium,2022,10,India_South Africa_2022-10-30,South Africa,South Africa,India
