,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,JJ Roy,UT Yadav,JC Buttler,0,0,0,0,0,1,1,1,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
1,JJ Roy,UT Yadav,JC Buttler,4,0,4,4,4,2,2,1,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
2,JJ Roy,UT Yadav,JC Buttler,0,0,0,4,4,3,3,1,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
3,JJ Roy,UT Yadav,JC Buttler,4,0,4,8,8,4,4,1,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
4,JJ Roy,UT Yadav,JC Buttler,0,0,0,8,8,5,5,1,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
5,JJ Roy,UT Yadav,JC Buttler,6,0,6,14,14,6,6,1,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
6,JC Buttler,B Kumar,JJ Roy,1,0,1,15,1,1,1,2,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
7,JJ Roy,B Kumar,JC Buttler,0,0,0,15,14,7,2,2,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
8,JJ Roy,B Kumar,JC Buttler,0,0,0,15,14,8,3,2,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
9,JJ Roy,B Kumar,JC Buttler,0,0,0,15,14,9,4,2,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
10,JJ Roy,B Kumar,JC Buttler,0,0,0,15,14,10,5,2,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
11,JJ Roy,B Kumar,JC Buttler,1,0,1,16,15,11,6,2,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
12,JJ Roy,UT Yadav,JC Buttler,0,0,0,16,15,12,1,3,bowled,JJ Roy,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
13,JE Root,UT Yadav,JC Buttler,1,0,1,17,1,1,2,3,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
14,JC Buttler,UT Yadav,JE Root,0,0,0,17,1,2,3,3,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
15,JC Buttler,UT Yadav,JE Root,4,0,4,21,5,3,4,3,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
16,JC Buttler,UT Yadav,JE Root,0,0,0,21,5,4,5,3,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
17,JC Buttler,UT Yadav,JE Root,4,0,4,25,9,5,6,3,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
18,JE Root,B Kumar,JC Buttler,1,0,1,26,2,2,1,4,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
19,JC Buttler,B Kumar,JE Root,0,0,0,26,9,6,2,4,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
20,JC Buttler,B Kumar,JE Root,0,0,0,26,9,7,3,4,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
21,JC Buttler,B Kumar,JE Root,1,0,1,27,10,8,4,4,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
22,JE Root,B Kumar,JC Buttler,0,0,0,27,2,3,5,4,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
23,JE Root,B Kumar,JC Buttler,1,0,1,28,3,4,6,4,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
24,JE Root,UT Yadav,JC Buttler,0,0,0,28,3,5,1,5,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
25,JE Root,UT Yadav,JC Buttler,1,0,1,29,4,6,2,5,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
26,JC Buttler,UT Yadav,JE Root,0,0,0,29,10,9,3,5,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
27,JC Buttler,UT Yadav,JE Root,4,0,4,33,14,10,4,5,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
28,JC Buttler,UT Yadav,JE Root,0,0,0,33,14,11,5,5,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
29,JC Buttler,UT Yadav,JE Root,0,0,0,33,14,12,6,5,caught,JC Buttler,V Kohli,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
30,JE Root,HH Pandya,AD Hales,1,0,1,34,5,7,1,6,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
31,AD Hales,HH Pandya,JE Root,0,0,0,34,0,1,2,6,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
32,AD Hales,HH Pandya,JE Root,1,0,1,35,1,2,3,6,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
33,JE Root,HH Pandya,AD Hales,3,0,3,38,8,8,4,6,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
34,AD Hales,HH Pandya,JE Root,0,0,0,38,1,3,5,6,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
35,AD Hales,HH Pandya,JE Root,4,0,4,42,5,4,6,6,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
36,JE Root,YS Chahal,AD Hales,1,0,1,43,9,9,1,7,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
37,AD Hales,YS Chahal,JE Root,0,0,0,43,5,5,2,7,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
38,AD Hales,YS Chahal,JE Root,0,0,0,43,5,6,3,7,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
39,AD Hales,YS Chahal,JE Root,1,0,1,44,6,7,4,7,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
40,JE Root,YS Chahal,AD Hales,0,0,0,44,9,10,5,7,bowled,JE Root,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
41,EJG Morgan,YS Chahal,AD Hales,0,0,0,44,0,1,6,7,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
42,AD Hales,HH Pandya,EJG Morgan,1,0,1,45,7,8,1,8,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
43,EJG Morgan,HH Pandya,AD Hales,0,0,0,45,0,2,2,8,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
44,EJG Morgan,HH Pandya,AD Hales,1,0,1,46,1,3,3,8,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
45,AD Hales,HH Pandya,EJG Morgan,1,0,1,47,8,9,4,8,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
46,EJG Morgan,HH Pandya,AD Hales,1,0,1,48,2,4,5,8,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
47,AD Hales,HH Pandya,EJG Morgan,1,0,1,49,9,10,6,8,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
48,AD Hales,YS Chahal,EJG Morgan,2,0,2,51,11,11,1,9,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
49,AD Hales,YS Chahal,EJG Morgan,1,0,1,52,12,12,2,9,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
50,EJG Morgan,YS Chahal,AD Hales,0,0,0,52,2,5,3,9,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
51,EJG Morgan,YS Chahal,AD Hales,0,1,1,53,2,6,4,9,0,,,wides,,field,England,2,Sophia Gardens,2018-07-06,England,India
52,EJG Morgan,YS Chahal,AD Hales,0,0,0,53,2,7,5,9,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
53,EJG Morgan,YS Chahal,AD Hales,1,0,1,54,3,8,6,9,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
54,AD Hales,YS Chahal,EJG Morgan,1,0,1,55,13,13,7,9,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
55,AD Hales,Kuldeep Yadav,EJG Morgan,1,0,1,56,14,14,1,10,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
56,EJG Morgan,Kuldeep Yadav,AD Hales,0,0,0,56,3,9,2,10,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
57,EJG Morgan,Kuldeep Yadav,AD Hales,0,1,1,57,3,10,3,10,0,,,legbyes,,field,England,2,Sophia Gardens,2018-07-06,England,India
58,AD Hales,Kuldeep Yadav,EJG Morgan,0,0,0,57,14,15,4,10,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
59,AD Hales,Kuldeep Yadav,EJG Morgan,0,1,1,58,14,16,5,10,0,,,legbyes,"{'by': 'India', 'batter': 'AD Hales', 'decision': 'struck down'}",field,England,2,Sophia Gardens,2018-07-06,England,India
60,EJG Morgan,Kuldeep Yadav,AD Hales,0,1,1,59,3,11,6,10,0,,,legbyes,,field,England,2,Sophia Gardens,2018-07-06,England,India
61,EJG Morgan,YS Chahal,AD Hales,0,0,0,59,3,12,1,11,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
62,EJG Morgan,YS Chahal,AD Hales,1,0,1,60,4,13,2,11,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
63,AD Hales,YS Chahal,EJG Morgan,6,0,6,66,20,17,3,11,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
64,AD Hales,YS Chahal,EJG Morgan,2,0,2,68,22,18,4,11,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
65,AD Hales,YS Chahal,EJG Morgan,4,0,4,72,26,19,5,11,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
66,AD Hales,YS Chahal,EJG Morgan,0,0,0,72,26,20,6,11,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
67,EJG Morgan,Kuldeep Yadav,AD Hales,2,0,2,74,6,14,1,12,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
68,EJG Morgan,Kuldeep Yadav,AD Hales,4,0,4,78,10,15,2,12,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
69,EJG Morgan,Kuldeep Yadav,AD Hales,1,0,1,79,11,16,3,12,0,,,-,,field,England,2,Sophia Gardens,2018-07-06,England,India
