,batter,bowler,non_striker,extras,replacements,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
18,AJ Finch,C Karunaratne,DA Warner,,,1,0,1,18,4,12,6,-,3,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
19,DA Warner,C Karunaratne,AJ Finch,,,1,0,1,19,8,8,7,-,3,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
20,DA Warner,CBRLS Kumara,AJ Finch,,,3,0,3,22,11,9,1,-,4,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
21,AJ Finch,CBRLS Kumara,DA Warner,,,0,0,0,22,4,13,2,-,4,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
22,AJ Finch,CBRLS Kumara,DA Warner,,,0,0,0,22,4,14,3,-,4,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
23,AJ Finch,CBRLS Kumara,DA Warner,,,0,0,0,22,4,15,4,-,4,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
24,AJ Finch,CBRLS Kumara,DA Warner,{'byes': 4},,0,4,4,26,4,16,5,byes,4,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
25,AJ Finch,CBRLS Kumara,DA Warner,,,0,0,0,26,4,17,6,-,4,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
26,DA Warner,M Theekshana,AJ Finch,,,0,0,0,26,11,10,1,-,5,caught,DA Warner,MD Shanaka,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
27,MR Marsh,M Theekshana,AJ Finch,,,0,0,0,26,0,1,2,-,5,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
28,MR Marsh,M Theekshana,AJ Finch,,,1,0,1,27,1,2,3,-,5,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
29,AJ Finch,M Theekshana,MR Marsh,,,1,0,1,28,5,18,4,-,5,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
30,MR Marsh,M Theekshana,AJ Finch,,,0,0,0,28,1,3,5,-,5,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
31,MR Marsh,M Theekshana,AJ Finch,,,0,0,0,28,1,4,6,-,5,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
32,AJ Finch,C Karunaratne,MR Marsh,,,3,0,3,31,8,19,1,-,6,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
33,MR Marsh,C Karunaratne,AJ Finch,,,0,0,0,31,1,5,2,-,6,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
34,MR Marsh,C Karunaratne,AJ Finch,{'legbyes': 1},,0,1,1,32,1,6,3,legbyes,6,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
35,AJ Finch,C Karunaratne,MR Marsh,,,1,0,1,33,9,20,4,-,6,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
36,MR Marsh,C Karunaratne,AJ Finch,,,0,0,0,33,1,7,5,-,6,0,,,"{'by': 'Sri Lanka', 'umpire': 'M Erasmus', 'batter': 'MR Marsh', 'decision': 'struck down'}",field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
37,MR Marsh,C Karunaratne,AJ Finch,,,0,0,0,33,1,8,6,-,6,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
38,AJ Finch,DM de Silva,MR Marsh,,,1,0,1,34,10,21,1,-,7,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
39,MR Marsh,DM de Silva,AJ Finch,,,0,0,0,34,1,9,2,-,7,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
40,MR Marsh,DM de Silva,AJ Finch,,,2,0,2,36,3,10,3,-,7,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
41,MR Marsh,DM de Silva,AJ Finch,,,0,0,0,36,3,11,4,-,7,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
42,MR Marsh,DM de Silva,AJ Finch,,,1,0,1,37,4,12,5,-,7,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
43,AJ Finch,DM de Silva,MR Marsh,,,1,0,1,38,11,22,6,-,7,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
44,AJ Finch,PWH de Silva,MR Marsh,,,1,0,1,39,12,23,1,-,8,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
45,MR Marsh,PWH de Silva,AJ Finch,,,4,0,4,43,8,13,2,-,8,0,,,,field,Australia,2,Perth Stadium,2022-10-25,Australia,Sri Lanka
