,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Liton Das,SM Curran,Rony Talukdar,1,0,1,1,116,1,1,0,1,0,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
1,Rony Talukdar,SM Curran,Liton Das,0,0,0,1,116,0,1,0,2,0,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
2,Rony Talukdar,SM Curran,Liton Das,4,0,4,5,112,4,2,0,3,0,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
3,Rony Talukdar,SM Curran,Liton Das,0,0,0,5,112,4,3,0,4,0,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
4,Rony Talukdar,SM Curran,Liton Das,1,0,1,6,111,5,4,0,5,0,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
5,Liton Das,SM Curran,Rony Talukdar,1,0,1,7,110,2,2,0,6,0,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
6,Liton Das,CR Woakes,Rony Talukdar,0,0,0,7,110,2,3,0,1,1,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
7,Liton Das,CR Woakes,Rony Talukdar,0,0,0,7,110,2,4,0,2,1,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
8,Liton Das,CR Woakes,Rony Talukdar,4,0,4,11,106,6,5,0,3,1,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
9,Liton Das,CR Woakes,Rony Talukdar,2,0,2,13,104,8,6,0,4,1,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
10,Liton Das,CR Woakes,Rony Talukdar,1,0,1,14,103,9,7,0,5,1,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
11,Rony Talukdar,CR Woakes,Liton Das,0,1,1,15,102,5,5,0,6,1,legbyes,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
12,Rony Talukdar,SM Curran,Liton Das,1,0,1,16,101,6,6,0,1,2,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
13,Liton Das,SM Curran,Rony Talukdar,0,0,0,16,101,9,8,0,2,2,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
14,Liton Das,SM Curran,Rony Talukdar,0,0,0,16,101,9,9,1,3,2,-,caught,Liton Das,PD Salt,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
15,Nazmul Hossain Shanto,SM Curran,Rony Talukdar,0,0,0,16,101,0,1,1,4,2,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
16,Nazmul Hossain Shanto,SM Curran,Rony Talukdar,1,0,1,17,100,1,2,1,5,2,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
17,Rony Talukdar,SM Curran,Nazmul Hossain Shanto,0,0,0,17,100,6,7,1,6,2,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
18,Nazmul Hossain Shanto,JC Archer,Rony Talukdar,0,0,0,17,100,1,3,1,1,3,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
19,Nazmul Hossain Shanto,JC Archer,Rony Talukdar,1,0,1,18,99,2,4,1,2,3,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
20,Rony Talukdar,JC Archer,Nazmul Hossain Shanto,1,0,1,19,98,7,8,1,3,3,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
21,Nazmul Hossain Shanto,JC Archer,Rony Talukdar,1,0,1,20,97,3,5,1,4,3,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
22,Rony Talukdar,JC Archer,Nazmul Hossain Shanto,0,0,0,20,97,7,9,1,5,3,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
23,Rony Talukdar,JC Archer,Nazmul Hossain Shanto,0,1,1,21,96,7,10,1,6,3,legbyes,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
24,Rony Talukdar,SM Curran,Nazmul Hossain Shanto,1,0,1,22,95,8,11,1,1,4,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
25,Nazmul Hossain Shanto,SM Curran,Rony Talukdar,2,0,2,24,93,5,6,1,2,4,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
26,Nazmul Hossain Shanto,SM Curran,Rony Talukdar,1,0,1,25,92,6,7,1,3,4,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
27,Rony Talukdar,SM Curran,Nazmul Hossain Shanto,0,0,0,25,92,8,12,1,4,4,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
28,Rony Talukdar,SM Curran,Nazmul Hossain Shanto,1,0,1,26,91,9,13,1,5,4,-,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2023,03,England_Bangladesh_2023-03-12,Bangladesh,Bangladesh,England,True,120
