,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,EMDY Munaweera,KD Mills,TM Dilshan,1,0,1,1,73,1,1,0,1,0,0,0,field,Sri Lanka,2,Pallekele International Cricket Stadium,2012,10,Sri Lanka_New Zealand_2012-10-30,no result,Sri Lanka,New Zealand,,6
1,TM Dilshan,KD Mills,EMDY Munaweera,1,0,1,2,72,1,1,0,2,0,0,0,field,Sri Lanka,2,Pallekele International Cricket Stadium,2012,10,Sri Lanka_New Zealand_2012-10-30,no result,Sri Lanka,New Zealand,,6
2,EMDY Munaweera,KD Mills,TM Dilshan,1,0,1,3,71,2,2,0,3,0,0,0,field,Sri Lanka,2,Pallekele International Cricket Stadium,2012,10,Sri Lanka_New Zealand_2012-10-30,no result,Sri Lanka,New Zealand,,6
3,TM Dilshan,KD Mills,EMDY Munaweera,0,0,0,3,71,1,2,0,4,0,0,0,field,Sri Lanka,2,Pallekele International Cricket Stadium,2012,10,Sri Lanka_New Zealand_2012-10-30,no result,Sri Lanka,New Zealand,,6
4,TM Dilshan,KD Mills,EMDY Munaweera,0,0,0,3,71,1,3,0,5,0,0,0,field,Sri Lanka,2,Pallekele International Cricket Stadium,2012,10,Sri Lanka_New Zealand_2012-10-30,no result,Sri Lanka,New Zealand,,6
5,TM Dilshan,KD Mills,EMDY Munaweera,0,0,0,3,71,1,4,0,6,0,0,0,field,Sri Lanka,2,Pallekele International Cricket Stadium,2012,10,Sri Lanka_New Zealand_2012-10-30,no result,Sri Lanka,New Zealand,,6
6,EMDY Munaweera,JDP Oram,TM Dilshan,1,0,1,4,70,3,3,0,1,1,0,0,field,Sri Lanka,2,Pallekele International Cricket Stadium,2012,10,Sri Lanka_New Zealand_2012-10-30,no result,Sri Lanka,New Zealand,,6
7,TM Dilshan,JDP Oram,EMDY Munaweera,0,0,0,4,70,1,5,0,2,1,0,0,field,Sri Lanka,2,Pallekele International Cricket Stadium,2012,10,Sri Lanka_New Zealand_2012-10-30,no result,Sri Lanka,New Zealand,,6
8,TM Dilshan,JDP Oram,EMDY Munaweera,0,0,0,4,70,1,6,0,3,1,0,0,field,Sri Lanka,2,Pallekele International Cricket Stadium,2012,10,Sri Lanka_New Zealand_2012-10-30,no result,Sri Lanka,New Zealand,,6
9,TM Dilshan,JDP Oram,EMDY Munaweera,0,0,0,4,70,1,7,0,4,1,0,0,field,Sri Lanka,2,Pallekele International Cricket Stadium,2012,10,Sri Lanka_New Zealand_2012-10-30,no result,Sri Lanka,New Zealand,,6
10,TM Dilshan,JDP Oram,EMDY Munaweera,1,0,1,5,69,2,8,0,5,1,0,0,field,Sri Lanka,2,Pallekele International Cricket Stadium,2012,10,Sri Lanka_New Zealand_2012-10-30,no result,Sri Lanka,New Zealand,,6
11,EMDY Munaweera,JDP Oram,TM Dilshan,1,0,1,6,68,4,4,0,6,1,0,0,field,Sri Lanka,2,Pallekele International Cricket Stadium,2012,10,Sri Lanka_New Zealand_2012-10-30,no result,Sri Lanka,New Zealand,,6
