,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,RG Sharma,SM Curran,Ishan Kishan,1,0,1,1,171,1,1,0,1,0,-,0,,,,bat,India,1,"The Rose Bowl, Southampton",2022,07,India_England_2022-07-07,India,India,England,198
1,Ishan Kishan,SM Curran,RG Sharma,1,0,1,2,170,1,1,0,2,0,-,0,,,,bat,India,1,"The Rose Bowl, Southampton",2022,07,India_England_2022-07-07,India,India,England,198
2,RG Sharma,SM Curran,Ishan Kishan,0,0,0,2,170,1,2,0,3,0,-,0,,,,bat,India,1,"The Rose Bowl, Southampton",2022,07,India_England_2022-07-07,India,India,England,198
3,RG Sharma,SM Curran,Ishan Kishan,4,0,4,6,166,5,3,0,4,0,-,0,,,,bat,India,1,"The Rose Bowl, Southampton",2022,07,India_England_2022-07-07,India,India,England,198
4,RG Sharma,SM Curran,Ishan Kishan,1,0,1,7,165,6,4,0,5,0,-,0,,,,bat,India,1,"The Rose Bowl, Southampton",2022,07,India_England_2022-07-07,India,India,England,198
5,Ishan Kishan,SM Curran,RG Sharma,2,0,2,9,163,3,2,0,6,0,-,0,,,,bat,India,1,"The Rose Bowl, Southampton",2022,07,India_England_2022-07-07,India,India,England,198
6,RG Sharma,RJW Topley,Ishan Kishan,0,1,1,10,162,6,5,0,1,1,wides,0,,,,bat,India,1,"The Rose Bowl, Southampton",2022,07,India_England_2022-07-07,India,India,England,198
7,RG Sharma,RJW Topley,Ishan Kishan,0,0,0,10,162,6,6,0,2,1,-,0,,,,bat,India,1,"The Rose Bowl, Southampton",2022,07,India_England_2022-07-07,India,India,England,198
8,RG Sharma,RJW Topley,Ishan Kishan,4,0,4,14,158,10,7,0,3,1,-,0,,,,bat,India,1,"The Rose Bowl, Southampton",2022,07,India_England_2022-07-07,India,India,England,198
9,RG Sharma,RJW Topley,Ishan Kishan,4,0,4,18,154,14,8,0,4,1,-,0,,,,bat,India,1,"The Rose Bowl, Southampton",2022,07,India_England_2022-07-07,India,India,England,198
