,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extras,extra_type,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Q de Kock,MA Starc,HE van der Dussen,1,0,1,1,1,1,1,0,,,1,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
1,HE van der Dussen,MA Starc,Q de Kock,1,0,1,2,1,1,2,0,,,1,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
2,Q de Kock,MA Starc,HE van der Dussen,4,0,4,6,5,2,3,0,,,1,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
3,Q de Kock,MA Starc,HE van der Dussen,0,0,0,6,5,3,4,bowled,Q de Kock,,1,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
4,F du Plessis,MA Starc,HE van der Dussen,0,0,0,6,0,1,5,0,,,1,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
5,F du Plessis,MA Starc,HE van der Dussen,1,0,1,7,1,2,6,0,,,1,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
6,F du Plessis,PJ Cummins,HE van der Dussen,2,0,2,9,3,3,1,0,,,2,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
7,F du Plessis,PJ Cummins,HE van der Dussen,0,0,0,9,3,4,2,0,,,2,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
8,F du Plessis,PJ Cummins,HE van der Dussen,1,0,1,10,4,5,3,0,,,2,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
9,HE van der Dussen,PJ Cummins,F du Plessis,1,0,1,11,2,2,4,0,,,2,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
10,F du Plessis,PJ Cummins,HE van der Dussen,1,0,1,12,5,6,5,0,,,2,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
11,HE van der Dussen,PJ Cummins,F du Plessis,1,0,1,13,3,3,6,0,,,2,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
12,HE van der Dussen,MA Starc,F du Plessis,0,0,0,13,3,4,1,0,,,3,,-,,field,South Africa,2,Newlands,2020-02-26,South Africa,Australia
