,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,J Charles,Mohammad Hafeez,CH Gayle,1,0,1,1,1,1,1,0,,,1,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
1,CH Gayle,Mohammad Hafeez,J Charles,1,0,1,2,1,1,2,0,,,1,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
2,J Charles,Mohammad Hafeez,CH Gayle,0,0,0,2,1,2,3,bowled,J Charles,,1,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
3,MN Samuels,Mohammad Hafeez,CH Gayle,0,0,0,2,0,1,4,0,,,1,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
4,MN Samuels,Mohammad Hafeez,CH Gayle,1,0,1,3,1,2,5,0,,,1,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
5,CH Gayle,Mohammad Hafeez,MN Samuels,0,0,0,3,1,2,6,0,,,1,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
6,MN Samuels,Mohammad Irfan,CH Gayle,0,0,0,3,1,3,1,0,,,2,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
7,MN Samuels,Mohammad Irfan,CH Gayle,4,0,4,7,5,4,2,0,,,2,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
8,MN Samuels,Mohammad Irfan,CH Gayle,1,0,1,8,6,5,3,0,,,2,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
9,CH Gayle,Mohammad Irfan,MN Samuels,4,0,4,12,5,3,4,0,,,2,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
10,CH Gayle,Mohammad Irfan,MN Samuels,0,0,0,12,5,4,5,0,,,2,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
11,CH Gayle,Mohammad Irfan,MN Samuels,0,0,0,12,5,5,6,0,,,2,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
12,MN Samuels,Mohammad Hafeez,CH Gayle,0,0,0,12,6,6,1,0,,,3,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
13,MN Samuels,Mohammad Hafeez,CH Gayle,0,0,0,12,6,7,2,0,,,3,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
14,MN Samuels,Mohammad Hafeez,CH Gayle,0,0,0,12,6,8,3,0,,,3,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
15,MN Samuels,Mohammad Hafeez,CH Gayle,1,0,1,13,7,9,4,0,,,3,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
16,CH Gayle,Mohammad Hafeez,MN Samuels,0,0,0,13,5,6,5,lbw,CH Gayle,,3,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
17,LMP Simmons,Mohammad Hafeez,MN Samuels,0,0,0,13,0,1,6,0,,,3,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
18,MN Samuels,Mohammad Irfan,LMP Simmons,0,0,0,13,7,10,1,0,,,4,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
19,MN Samuels,Mohammad Irfan,LMP Simmons,4,0,4,17,11,11,2,0,,,4,,-,bat,West Indies,1,"Arnos Vale Ground, Kingstown",2013-07-27,West Indies,Pakistan
