,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,RG Sharma,CH Morris,S Dhawan,2,1,3,3,185,2,1,0,1,noballs,1,0,,,,field,South Africa,1,Newlands,2018,02,India_South Africa_2018-02-24,India,India,South Africa,172
1,RG Sharma,CH Morris,S Dhawan,1,0,1,4,184,3,2,0,2,-,1,0,,,,field,South Africa,1,Newlands,2018,02,India_South Africa_2018-02-24,India,India,South Africa,172
2,S Dhawan,CH Morris,RG Sharma,1,0,1,5,183,1,1,0,3,-,1,0,,,,field,South Africa,1,Newlands,2018,02,India_South Africa_2018-02-24,India,India,South Africa,172
3,RG Sharma,CH Morris,S Dhawan,0,0,0,5,183,3,3,0,4,-,1,0,,,,field,South Africa,1,Newlands,2018,02,India_South Africa_2018-02-24,India,India,South Africa,172
4,RG Sharma,CH Morris,S Dhawan,0,0,0,5,183,3,4,0,5,-,1,0,,,,field,South Africa,1,Newlands,2018,02,India_South Africa_2018-02-24,India,India,South Africa,172
5,RG Sharma,CH Morris,S Dhawan,4,0,4,9,179,7,5,0,6,-,1,0,,,,field,South Africa,1,Newlands,2018,02,India_South Africa_2018-02-24,India,India,South Africa,172
6,RG Sharma,CH Morris,S Dhawan,4,0,4,13,175,11,6,0,7,-,1,0,,,,field,South Africa,1,Newlands,2018,02,India_South Africa_2018-02-24,India,India,South Africa,172
7,S Dhawan,CJ Dala,RG Sharma,1,0,1,14,174,2,2,0,1,-,2,0,,,,field,South Africa,1,Newlands,2018,02,India_South Africa_2018-02-24,India,India,South Africa,172
8,RG Sharma,CJ Dala,S Dhawan,0,0,0,14,174,11,7,0,2,-,2,0,,,,field,South Africa,1,Newlands,2018,02,India_South Africa_2018-02-24,India,India,South Africa,172
9,RG Sharma,CJ Dala,S Dhawan,0,0,0,14,174,11,8,1,3,-,2,lbw,RG Sharma,,,field,South Africa,1,Newlands,2018,02,India_South Africa_2018-02-24,India,India,South Africa,172
10,SK Raina,CJ Dala,S Dhawan,6,0,6,20,168,6,1,1,4,-,2,0,,,,field,South Africa,1,Newlands,2018,02,India_South Africa_2018-02-24,India,India,South Africa,172
11,SK Raina,CJ Dala,S Dhawan,2,0,2,22,166,8,2,1,5,-,2,0,,,,field,South Africa,1,Newlands,2018,02,India_South Africa_2018-02-24,India,India,South Africa,172
