,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extras,extra_type,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,AK Markram,SL Malinga,RR Hendricks,1,0,1,1,1,1,1,1,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
1,RR Hendricks,SL Malinga,AK Markram,4,0,4,5,4,1,2,1,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
2,RR Hendricks,SL Malinga,AK Markram,0,0,0,5,4,2,3,1,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
3,RR Hendricks,SL Malinga,AK Markram,0,0,0,5,4,3,4,1,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
4,RR Hendricks,SL Malinga,AK Markram,1,0,1,6,5,4,5,1,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
5,AK Markram,SL Malinga,RR Hendricks,1,0,1,7,2,2,6,1,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
6,AK Markram,I Udana,RR Hendricks,0,0,0,7,2,3,1,2,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
7,AK Markram,I Udana,RR Hendricks,1,0,1,8,3,4,2,2,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
8,RR Hendricks,I Udana,AK Markram,0,0,0,8,5,5,3,2,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
9,RR Hendricks,I Udana,AK Markram,1,0,1,9,6,6,4,2,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
10,AK Markram,I Udana,RR Hendricks,0,0,0,9,3,5,5,2,caught,AK Markram,SL Malinga,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
11,HE van der Dussen,I Udana,RR Hendricks,4,0,4,13,4,1,6,2,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
12,RR Hendricks,SL Malinga,HE van der Dussen,0,0,0,13,6,7,1,3,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
13,RR Hendricks,SL Malinga,HE van der Dussen,1,0,1,14,7,8,2,3,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
14,HE van der Dussen,SL Malinga,RR Hendricks,0,0,0,14,4,2,3,3,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
15,HE van der Dussen,SL Malinga,RR Hendricks,0,0,0,14,4,3,4,3,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
16,HE van der Dussen,SL Malinga,RR Hendricks,0,0,0,14,4,4,5,3,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
17,HE van der Dussen,SL Malinga,RR Hendricks,2,0,2,16,6,5,6,3,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
18,RR Hendricks,A Dananjaya,HE van der Dussen,0,0,0,16,7,9,1,4,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
19,RR Hendricks,A Dananjaya,HE van der Dussen,1,0,1,17,8,10,2,4,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
20,HE van der Dussen,A Dananjaya,RR Hendricks,1,0,1,18,7,6,3,4,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
21,RR Hendricks,A Dananjaya,HE van der Dussen,1,0,1,19,9,11,4,4,0,,,,-,,field,Sri Lanka,1,SuperSport Park,2019-03-22,South Africa,Sri Lanka
