,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,AJ Finch,TM Dilshan,DA Warner,1,0,1,1,1,1,1,1,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
1,DA Warner,TM Dilshan,AJ Finch,0,0,0,1,0,1,2,1,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
2,DA Warner,TM Dilshan,AJ Finch,1,0,1,2,1,2,3,1,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
3,AJ Finch,TM Dilshan,DA Warner,1,0,1,3,2,2,4,1,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
4,DA Warner,TM Dilshan,AJ Finch,4,0,4,7,5,3,5,1,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
5,DA Warner,TM Dilshan,AJ Finch,2,0,2,9,7,4,6,1,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
6,AJ Finch,KMDN Kulasekara,DA Warner,1,0,1,10,3,3,1,2,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
7,DA Warner,KMDN Kulasekara,AJ Finch,0,0,0,10,7,5,2,2,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
8,DA Warner,KMDN Kulasekara,AJ Finch,0,0,0,10,7,6,3,2,caught,DA Warner,NLTC Perera,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
9,SE Marsh,KMDN Kulasekara,AJ Finch,0,0,0,10,0,1,4,2,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
10,SE Marsh,KMDN Kulasekara,AJ Finch,1,0,1,11,1,2,5,2,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
11,AJ Finch,KMDN Kulasekara,SE Marsh,4,0,4,15,7,4,6,2,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
12,SE Marsh,TM Dilshan,AJ Finch,0,0,0,15,1,3,1,3,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
13,SE Marsh,TM Dilshan,AJ Finch,0,0,0,15,1,4,2,3,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
14,SE Marsh,TM Dilshan,AJ Finch,0,0,0,15,1,5,3,3,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
15,SE Marsh,TM Dilshan,AJ Finch,0,0,0,15,1,6,4,3,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
16,SE Marsh,TM Dilshan,AJ Finch,0,0,0,15,1,7,5,3,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
17,SE Marsh,TM Dilshan,AJ Finch,1,0,1,16,2,8,6,3,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
18,SE Marsh,KMDN Kulasekara,AJ Finch,0,0,0,16,2,9,1,4,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
19,SE Marsh,KMDN Kulasekara,AJ Finch,0,0,0,16,2,10,2,4,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
20,SE Marsh,KMDN Kulasekara,AJ Finch,1,0,1,17,3,11,3,4,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
21,AJ Finch,KMDN Kulasekara,SE Marsh,0,1,1,18,7,5,4,4,0,,,legbyes,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
22,SE Marsh,KMDN Kulasekara,AJ Finch,2,0,2,20,5,12,5,4,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
23,SE Marsh,KMDN Kulasekara,AJ Finch,0,0,0,20,5,13,6,4,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
24,AJ Finch,BAW Mendis,SE Marsh,0,0,0,20,7,6,1,5,lbw,AJ Finch,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
25,GJ Bailey,BAW Mendis,SE Marsh,2,0,2,22,2,1,2,5,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
26,GJ Bailey,BAW Mendis,SE Marsh,0,0,0,22,2,2,3,5,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
27,GJ Bailey,BAW Mendis,SE Marsh,1,0,1,23,3,3,4,5,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
28,SE Marsh,BAW Mendis,GJ Bailey,1,0,1,24,6,14,5,5,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
29,GJ Bailey,BAW Mendis,SE Marsh,0,0,0,24,3,4,6,5,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
30,SE Marsh,SL Malinga,GJ Bailey,1,0,1,25,7,15,1,6,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
31,GJ Bailey,SL Malinga,SE Marsh,1,0,1,26,4,5,2,6,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
32,GJ Bailey,SL Malinga,SE Marsh,2,0,2,28,6,6,3,6,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
33,GJ Bailey,SL Malinga,SE Marsh,0,0,0,28,6,7,4,6,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
34,GJ Bailey,SL Malinga,SE Marsh,0,0,0,28,6,8,5,6,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
35,GJ Bailey,SL Malinga,SE Marsh,0,0,0,28,6,9,6,6,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
36,SE Marsh,A Dananjaya,GJ Bailey,0,0,0,28,7,16,1,7,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
37,SE Marsh,A Dananjaya,GJ Bailey,1,0,1,29,8,17,2,7,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
38,GJ Bailey,A Dananjaya,SE Marsh,0,0,0,29,6,10,3,7,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
39,GJ Bailey,A Dananjaya,SE Marsh,1,0,1,30,7,11,4,7,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
40,SE Marsh,A Dananjaya,GJ Bailey,6,0,6,36,14,18,5,7,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
41,SE Marsh,A Dananjaya,GJ Bailey,4,0,4,40,18,19,6,7,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
42,GJ Bailey,NLTC Perera,SE Marsh,0,1,1,41,7,12,1,8,0,,,legbyes,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
43,SE Marsh,NLTC Perera,GJ Bailey,0,0,0,41,18,20,2,8,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
44,SE Marsh,NLTC Perera,GJ Bailey,1,0,1,42,19,21,3,8,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
45,GJ Bailey,NLTC Perera,SE Marsh,1,0,1,43,8,13,4,8,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
46,SE Marsh,NLTC Perera,GJ Bailey,1,0,1,44,20,22,5,8,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
47,GJ Bailey,NLTC Perera,SE Marsh,1,0,1,45,9,14,6,8,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
48,GJ Bailey,BAW Mendis,SE Marsh,4,0,4,49,13,15,1,9,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
49,GJ Bailey,BAW Mendis,SE Marsh,0,0,0,49,13,16,2,9,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
50,GJ Bailey,BAW Mendis,SE Marsh,2,0,2,51,15,17,3,9,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
51,GJ Bailey,BAW Mendis,SE Marsh,2,0,2,53,17,18,4,9,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
52,GJ Bailey,BAW Mendis,SE Marsh,1,0,1,54,18,19,5,9,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
53,SE Marsh,BAW Mendis,GJ Bailey,0,0,0,54,20,23,6,9,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
54,GJ Bailey,SL Malinga,SE Marsh,1,0,1,55,19,20,1,10,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
55,SE Marsh,SL Malinga,GJ Bailey,1,0,1,56,21,24,2,10,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
56,GJ Bailey,SL Malinga,SE Marsh,1,0,1,57,20,21,3,10,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
57,SE Marsh,SL Malinga,GJ Bailey,1,0,1,58,22,25,4,10,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
58,GJ Bailey,SL Malinga,SE Marsh,0,0,0,58,20,22,5,10,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
59,GJ Bailey,SL Malinga,SE Marsh,2,0,2,60,22,23,6,10,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
60,SE Marsh,BAW Mendis,GJ Bailey,2,0,2,62,24,26,1,11,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
61,SE Marsh,BAW Mendis,GJ Bailey,1,0,1,63,25,27,2,11,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
62,GJ Bailey,BAW Mendis,SE Marsh,1,0,1,64,23,24,3,11,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
63,SE Marsh,BAW Mendis,GJ Bailey,6,0,6,70,31,28,4,11,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
64,SE Marsh,BAW Mendis,GJ Bailey,2,0,2,72,33,29,5,11,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
65,SE Marsh,BAW Mendis,GJ Bailey,0,0,0,72,33,30,6,11,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
66,GJ Bailey,NLTC Perera,SE Marsh,1,0,1,73,24,25,1,12,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
67,SE Marsh,NLTC Perera,GJ Bailey,3,0,3,76,36,31,2,12,0,,,-,field,Australia,2,Melbourne Cricket Ground,2013-01-28,Australia,Sri Lanka
