,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,AJ Finch,M Theekshana,BR McDermott,0,0,0,0,0,1,1,1,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
1,AJ Finch,M Theekshana,BR McDermott,0,0,0,0,0,2,2,1,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
2,AJ Finch,M Theekshana,BR McDermott,0,0,0,0,0,3,3,1,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
3,AJ Finch,M Theekshana,BR McDermott,1,0,1,1,1,4,4,1,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
4,BR McDermott,M Theekshana,AJ Finch,1,0,1,2,1,1,5,1,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
5,AJ Finch,M Theekshana,BR McDermott,1,0,1,3,2,5,6,1,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
6,AJ Finch,CBRLS Kumara,BR McDermott,1,0,1,4,3,6,1,2,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
7,BR McDermott,CBRLS Kumara,AJ Finch,0,0,0,4,1,2,2,2,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
8,BR McDermott,CBRLS Kumara,AJ Finch,1,0,1,5,2,3,3,2,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
9,AJ Finch,CBRLS Kumara,BR McDermott,1,0,1,6,4,7,4,2,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
10,BR McDermott,CBRLS Kumara,AJ Finch,0,0,0,6,2,4,5,2,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
11,BR McDermott,CBRLS Kumara,AJ Finch,0,0,0,6,2,5,6,2,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
12,AJ Finch,M Theekshana,BR McDermott,1,0,1,7,5,8,1,3,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
13,BR McDermott,M Theekshana,AJ Finch,0,0,0,7,2,6,2,3,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
14,BR McDermott,M Theekshana,AJ Finch,0,0,0,7,2,7,3,3,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
15,BR McDermott,M Theekshana,AJ Finch,0,0,0,7,2,8,4,3,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
16,BR McDermott,M Theekshana,AJ Finch,0,0,0,7,2,9,5,3,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
17,BR McDermott,M Theekshana,AJ Finch,0,0,0,7,2,10,6,3,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
18,AJ Finch,PVD Chameera,BR McDermott,1,0,1,8,6,9,1,4,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
19,BR McDermott,PVD Chameera,AJ Finch,1,0,1,9,3,11,2,4,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
20,AJ Finch,PVD Chameera,BR McDermott,0,0,0,9,6,10,3,4,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
21,AJ Finch,PVD Chameera,BR McDermott,2,0,2,11,8,11,4,4,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
22,AJ Finch,PVD Chameera,BR McDermott,0,0,0,11,8,12,5,4,caught,AJ Finch,CBRLS Kumara,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
23,BR McDermott,PVD Chameera,JP Inglis,0,0,0,11,3,12,6,4,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
24,JP Inglis,P Jayawickrama,BR McDermott,0,0,0,11,0,1,1,5,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
25,JP Inglis,P Jayawickrama,BR McDermott,0,0,0,11,0,2,2,5,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
26,JP Inglis,P Jayawickrama,BR McDermott,0,0,0,11,0,3,3,5,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
27,JP Inglis,P Jayawickrama,BR McDermott,1,0,1,12,1,4,4,5,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
28,BR McDermott,P Jayawickrama,JP Inglis,0,0,0,12,3,13,5,5,caught,BR McDermott,P Nissanka,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
29,JP Inglis,P Jayawickrama,GJ Maxwell,1,0,1,13,2,5,6,5,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
30,JP Inglis,CBRLS Kumara,GJ Maxwell,0,0,0,13,2,6,1,6,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
31,JP Inglis,CBRLS Kumara,GJ Maxwell,0,0,0,13,2,7,2,6,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
32,JP Inglis,CBRLS Kumara,GJ Maxwell,1,0,1,14,3,8,3,6,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
33,GJ Maxwell,CBRLS Kumara,JP Inglis,0,0,0,14,0,1,4,6,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
34,GJ Maxwell,CBRLS Kumara,JP Inglis,4,0,4,18,4,2,5,6,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
35,GJ Maxwell,CBRLS Kumara,JP Inglis,4,0,4,22,8,3,6,6,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
36,JP Inglis,P Jayawickrama,GJ Maxwell,1,0,1,23,4,9,1,7,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
37,GJ Maxwell,P Jayawickrama,JP Inglis,2,0,2,25,10,4,2,7,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
38,GJ Maxwell,P Jayawickrama,JP Inglis,1,0,1,26,11,5,3,7,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
39,JP Inglis,P Jayawickrama,GJ Maxwell,4,0,4,30,8,10,4,7,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
40,JP Inglis,P Jayawickrama,GJ Maxwell,2,0,2,32,10,11,5,7,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
41,JP Inglis,P Jayawickrama,GJ Maxwell,4,0,4,36,14,12,6,7,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
42,GJ Maxwell,C Karunaratne,JP Inglis,1,0,1,37,12,6,1,8,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
43,JP Inglis,C Karunaratne,GJ Maxwell,1,0,1,38,15,13,2,8,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
44,GJ Maxwell,C Karunaratne,JP Inglis,0,0,0,38,12,7,3,8,0,,,,-,bat,Australia,1,Melbourne Cricket Ground,2022-02-20,Sri Lanka,Australia,Sri Lanka
