,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,JJ Roy,YS Chahal,SW Billings,0,0,0,0,144,0,1,0,1,1,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
1,JJ Roy,YS Chahal,SW Billings,0,0,0,0,144,0,2,0,2,1,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
2,JJ Roy,YS Chahal,SW Billings,1,0,1,1,143,1,3,0,3,1,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
3,SW Billings,YS Chahal,JJ Roy,0,0,0,1,143,0,1,0,4,1,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
4,SW Billings,YS Chahal,JJ Roy,1,0,1,2,142,1,2,0,5,1,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
5,JJ Roy,YS Chahal,SW Billings,0,0,0,2,142,1,4,0,6,1,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
6,SW Billings,A Nehra,JJ Roy,1,0,1,3,141,2,3,0,1,2,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
7,JJ Roy,A Nehra,SW Billings,0,0,0,3,141,1,5,0,2,2,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
8,JJ Roy,A Nehra,SW Billings,1,0,1,4,140,2,6,0,3,2,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
9,SW Billings,A Nehra,JJ Roy,1,0,1,5,139,3,4,0,4,2,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
10,JJ Roy,A Nehra,SW Billings,1,0,1,6,138,3,7,0,5,2,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
11,SW Billings,A Nehra,JJ Roy,1,0,1,7,137,4,5,0,6,2,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
12,SW Billings,YS Chahal,JJ Roy,6,0,6,13,131,10,6,0,1,3,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
13,SW Billings,YS Chahal,JJ Roy,1,0,1,14,130,11,7,0,2,3,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
14,JJ Roy,YS Chahal,SW Billings,6,0,6,20,124,9,8,0,3,3,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
15,JJ Roy,YS Chahal,SW Billings,0,0,0,20,124,9,9,0,4,3,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
16,JJ Roy,YS Chahal,SW Billings,1,0,1,21,123,10,10,0,5,3,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
17,SW Billings,YS Chahal,JJ Roy,1,0,1,22,122,12,8,0,6,3,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
18,SW Billings,A Nehra,JJ Roy,0,0,0,22,122,12,9,1,1,4,caught,SW Billings,JJ Bumrah,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
19,JJ Roy,A Nehra,JE Root,0,0,0,22,122,10,11,2,2,4,caught,JJ Roy,SK Raina,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
20,EJG Morgan,A Nehra,JE Root,0,0,0,22,122,0,1,2,3,4,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
21,EJG Morgan,A Nehra,JE Root,1,0,1,23,121,1,2,2,4,4,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
22,JE Root,A Nehra,EJG Morgan,1,0,1,24,120,1,1,2,5,4,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
23,EJG Morgan,A Nehra,JE Root,0,0,0,24,120,1,3,2,6,4,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
24,JE Root,YS Chahal,EJG Morgan,1,0,1,25,119,2,2,2,1,5,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
25,EJG Morgan,YS Chahal,JE Root,1,0,1,26,118,2,4,2,2,5,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
26,JE Root,YS Chahal,EJG Morgan,1,0,1,27,117,3,3,2,3,5,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
27,EJG Morgan,YS Chahal,JE Root,0,0,0,27,117,2,5,2,4,5,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
28,EJG Morgan,YS Chahal,JE Root,1,0,1,28,116,3,6,2,5,5,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
29,JE Root,YS Chahal,EJG Morgan,1,0,1,29,115,4,4,2,6,5,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
30,JE Root,JJ Bumrah,EJG Morgan,0,0,0,29,115,4,5,2,1,6,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
31,JE Root,JJ Bumrah,EJG Morgan,1,0,1,30,114,5,6,2,2,6,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
32,EJG Morgan,JJ Bumrah,JE Root,0,0,0,30,114,3,7,2,3,6,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
33,EJG Morgan,JJ Bumrah,JE Root,4,0,4,34,110,7,8,2,4,6,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
34,EJG Morgan,JJ Bumrah,JE Root,2,0,2,36,108,9,9,2,5,6,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
35,EJG Morgan,JJ Bumrah,JE Root,0,0,0,36,108,9,10,2,6,6,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
36,JE Root,A Mishra,EJG Morgan,1,0,1,37,107,6,7,2,1,7,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
37,EJG Morgan,A Mishra,JE Root,1,0,1,38,106,10,11,2,2,7,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
38,JE Root,A Mishra,EJG Morgan,1,0,1,39,105,7,8,2,3,7,0,,,-,field,England,2,"Vidarbha Cricket Association Stadium, Jamtha",2017,01,India_England_2017-01-29,India,England,India
