,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,AB de Villiers,Arafat Sunny,Q de Kock,0,0,0,0,0,1,1,0,,,1,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
1,AB de Villiers,Arafat Sunny,Q de Kock,0,0,0,0,0,2,2,0,,,1,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
2,AB de Villiers,Arafat Sunny,Q de Kock,0,0,0,0,0,3,3,0,,,1,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
3,AB de Villiers,Arafat Sunny,Q de Kock,0,0,0,0,0,4,4,0,,,1,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
4,AB de Villiers,Arafat Sunny,Q de Kock,2,0,2,2,2,5,5,0,,,1,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
5,AB de Villiers,Arafat Sunny,Q de Kock,0,0,0,2,2,6,6,caught,AB de Villiers,Mashrafe Mortaza,1,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
6,Q de Kock,Nasir Hossain,F du Plessis,1,0,1,3,1,1,1,0,,,2,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
7,F du Plessis,Nasir Hossain,Q de Kock,1,0,1,4,1,1,2,0,,,2,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
8,Q de Kock,Nasir Hossain,F du Plessis,1,0,1,5,2,2,3,0,,,2,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
9,F du Plessis,Nasir Hossain,Q de Kock,2,0,2,7,3,2,4,0,,,2,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
10,F du Plessis,Nasir Hossain,Q de Kock,0,0,0,7,3,3,5,0,,,2,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
11,F du Plessis,Nasir Hossain,Q de Kock,0,0,0,7,3,4,6,0,,,2,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
12,Q de Kock,Arafat Sunny,F du Plessis,0,0,0,7,2,3,1,0,,,3,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
13,Q de Kock,Arafat Sunny,F du Plessis,1,0,1,8,3,4,2,0,,,3,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
14,F du Plessis,Arafat Sunny,Q de Kock,0,0,0,8,3,5,3,0,,,3,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
15,F du Plessis,Arafat Sunny,Q de Kock,4,0,4,12,7,6,4,0,,,3,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
16,F du Plessis,Arafat Sunny,Q de Kock,0,0,0,12,7,7,5,0,,,3,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
17,F du Plessis,Arafat Sunny,Q de Kock,4,0,4,16,11,8,6,0,,,3,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
18,Q de Kock,Nasir Hossain,F du Plessis,2,0,2,18,5,5,1,0,,,4,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
19,Q de Kock,Nasir Hossain,F du Plessis,6,0,6,24,11,6,2,0,,,4,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
20,Q de Kock,Nasir Hossain,F du Plessis,0,1,1,25,11,7,3,0,,,4,{'wides': 1},wides,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
21,Q de Kock,Nasir Hossain,F du Plessis,1,0,1,26,12,8,4,0,,,4,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
22,F du Plessis,Nasir Hossain,Q de Kock,4,0,4,30,15,9,5,0,,,4,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
23,F du Plessis,Nasir Hossain,Q de Kock,1,0,1,31,16,10,6,0,,,4,,-,bat,South Africa,1,Shere Bangla National Stadium,2015-07-05,South Africa,Bangladesh
