,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,replacements,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
11,MR Marsh,FH Edwards,AJ Finch,1,0,1,13,9,6,5,-,0,,,2,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
12,AJ Finch,FH Edwards,MR Marsh,1,0,1,14,4,5,6,-,0,,,2,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
13,AJ Finch,SS Cottrell,MR Marsh,1,0,1,15,5,6,1,-,0,,,3,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
14,MR Marsh,SS Cottrell,AJ Finch,0,0,0,15,9,7,2,-,0,,,3,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
15,MR Marsh,SS Cottrell,AJ Finch,0,1,1,16,9,8,3,wides,0,,,3,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
16,MR Marsh,SS Cottrell,AJ Finch,0,1,1,17,9,9,4,wides,0,,,3,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
17,MR Marsh,SS Cottrell,AJ Finch,0,0,0,17,9,10,5,-,0,,,3,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
18,MR Marsh,SS Cottrell,AJ Finch,0,0,0,17,9,11,6,-,0,,,3,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
19,MR Marsh,SS Cottrell,AJ Finch,1,0,1,18,10,12,7,-,0,,,3,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
20,AJ Finch,SS Cottrell,MR Marsh,1,0,1,19,6,7,8,-,0,,,3,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
21,AJ Finch,FH Edwards,MR Marsh,0,0,0,19,6,8,1,-,bowled,AJ Finch,,4,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
22,JR Philippe,FH Edwards,MR Marsh,0,1,1,20,0,1,2,wides,0,,,4,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
23,JR Philippe,FH Edwards,MR Marsh,1,0,1,21,1,2,3,-,0,,,4,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
24,MR Marsh,FH Edwards,JR Philippe,0,0,0,21,10,13,4,-,0,,,4,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
25,MR Marsh,FH Edwards,JR Philippe,1,0,1,22,11,14,5,-,0,,,4,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
26,JR Philippe,FH Edwards,MR Marsh,0,0,0,22,1,3,6,-,0,,,4,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
27,JR Philippe,LMP Simmons,MR Marsh,1,0,1,23,2,4,7,-,0,,,4,"{'role': [{'in': 'LMP Simmons', 'out': 'FH Edwards', 'reason': 'injury', 'role': 'bowler'}]}",field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
28,JR Philippe,AD Russell,MR Marsh,1,0,1,24,3,5,1,-,0,,,5,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
29,MR Marsh,AD Russell,JR Philippe,6,0,6,30,17,15,2,-,0,,,5,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
30,MR Marsh,AD Russell,JR Philippe,0,0,0,30,17,16,3,-,0,,,5,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
31,MR Marsh,AD Russell,JR Philippe,0,0,0,30,17,17,4,-,0,,,5,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
32,MR Marsh,AD Russell,JR Philippe,1,0,1,31,18,18,5,-,0,,,5,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
33,JR Philippe,AD Russell,MR Marsh,1,0,1,32,4,6,6,-,0,,,5,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
34,JR Philippe,DJ Bravo,MR Marsh,1,0,1,33,5,7,1,-,0,,,6,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
35,MR Marsh,DJ Bravo,JR Philippe,4,0,4,37,22,19,2,-,0,,,6,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
36,MR Marsh,DJ Bravo,JR Philippe,1,0,1,38,23,20,3,-,0,,,6,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
37,JR Philippe,DJ Bravo,MR Marsh,1,0,1,39,6,8,4,-,0,,,6,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
38,MR Marsh,DJ Bravo,JR Philippe,2,0,2,41,25,21,5,-,0,,,6,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
39,MR Marsh,DJ Bravo,JR Philippe,1,0,1,42,26,22,6,-,0,,,6,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
40,MR Marsh,FA Allen,JR Philippe,1,0,1,43,27,23,1,-,0,,,7,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
41,JR Philippe,FA Allen,MR Marsh,0,0,0,43,6,9,2,-,0,,,7,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
42,JR Philippe,FA Allen,MR Marsh,1,0,1,44,7,10,3,-,0,,,7,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
43,MR Marsh,FA Allen,JR Philippe,1,0,1,45,28,24,4,-,0,,,7,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
44,JR Philippe,FA Allen,MR Marsh,2,0,2,47,9,11,5,-,0,,,7,,field,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021-07-10,Australia,West Indies
