,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,V Sibanda,B Lee,BRM Taylor,0,1,1,1,0,1,1,wides,1,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
1,V Sibanda,B Lee,BRM Taylor,0,1,1,2,0,2,2,wides,1,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
2,V Sibanda,B Lee,BRM Taylor,0,0,0,2,0,3,3,-,1,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
3,V Sibanda,B Lee,BRM Taylor,0,0,0,2,0,4,4,-,1,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
4,V Sibanda,B Lee,BRM Taylor,1,0,1,3,1,5,5,-,1,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
5,BRM Taylor,B Lee,V Sibanda,1,0,1,4,1,1,6,-,1,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
6,V Sibanda,B Lee,BRM Taylor,4,0,4,8,5,6,7,-,1,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
7,V Sibanda,B Lee,BRM Taylor,0,0,0,8,5,7,8,-,1,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
8,BRM Taylor,NW Bracken,V Sibanda,0,0,0,8,1,2,1,-,2,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
9,BRM Taylor,NW Bracken,V Sibanda,0,0,0,8,1,3,2,-,2,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
10,BRM Taylor,NW Bracken,V Sibanda,1,0,1,9,2,4,3,-,2,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
11,V Sibanda,NW Bracken,BRM Taylor,0,0,0,9,5,8,4,-,2,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
12,V Sibanda,NW Bracken,BRM Taylor,0,0,0,9,5,9,5,-,2,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
13,V Sibanda,NW Bracken,BRM Taylor,4,0,4,13,9,10,6,-,2,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
14,BRM Taylor,B Lee,V Sibanda,0,0,0,13,2,5,1,-,3,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
15,BRM Taylor,B Lee,V Sibanda,1,0,1,14,3,6,2,-,3,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
16,V Sibanda,B Lee,BRM Taylor,2,0,2,16,11,11,3,-,3,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
17,V Sibanda,B Lee,BRM Taylor,4,0,4,20,15,12,4,-,3,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
18,V Sibanda,B Lee,BRM Taylor,4,0,4,24,19,13,5,-,3,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
19,V Sibanda,B Lee,BRM Taylor,0,0,0,24,19,14,6,-,3,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
20,BRM Taylor,NW Bracken,V Sibanda,2,0,2,26,5,7,1,-,4,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
21,BRM Taylor,NW Bracken,V Sibanda,1,0,1,27,6,8,2,-,4,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
22,V Sibanda,NW Bracken,BRM Taylor,4,0,4,31,23,15,3,-,4,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
23,V Sibanda,NW Bracken,BRM Taylor,0,0,0,31,23,16,4,-,4,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
24,V Sibanda,NW Bracken,BRM Taylor,0,0,0,31,23,17,5,-,4,caught,V Sibanda,AC Gilchrist,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
25,CJ Chibhabha,NW Bracken,BRM Taylor,0,0,0,31,0,1,6,-,4,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
26,BRM Taylor,SR Clark,CJ Chibhabha,1,0,1,32,7,9,1,-,5,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
27,CJ Chibhabha,SR Clark,BRM Taylor,2,0,2,34,2,2,2,-,5,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
28,CJ Chibhabha,SR Clark,BRM Taylor,0,0,0,34,2,3,3,-,5,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
29,CJ Chibhabha,SR Clark,BRM Taylor,0,0,0,34,2,4,4,-,5,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
30,CJ Chibhabha,SR Clark,BRM Taylor,0,0,0,34,2,5,5,-,5,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
31,CJ Chibhabha,SR Clark,BRM Taylor,4,0,4,38,6,6,6,-,5,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
32,BRM Taylor,MG Johnson,CJ Chibhabha,1,0,1,39,8,10,1,-,6,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
33,CJ Chibhabha,MG Johnson,BRM Taylor,0,0,0,39,6,7,2,-,6,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
34,CJ Chibhabha,MG Johnson,BRM Taylor,4,0,4,43,10,8,3,-,6,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
35,CJ Chibhabha,MG Johnson,BRM Taylor,0,0,0,43,10,9,4,-,6,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
36,CJ Chibhabha,MG Johnson,BRM Taylor,4,0,4,47,14,10,5,-,6,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
37,CJ Chibhabha,MG Johnson,BRM Taylor,0,0,0,47,14,11,6,-,6,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
38,BRM Taylor,SR Clark,CJ Chibhabha,1,0,1,48,9,11,1,-,7,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
39,CJ Chibhabha,SR Clark,BRM Taylor,1,0,1,49,15,12,2,-,7,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
40,BRM Taylor,SR Clark,CJ Chibhabha,4,0,4,53,13,12,3,-,7,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
41,BRM Taylor,SR Clark,CJ Chibhabha,1,0,1,54,14,13,4,-,7,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
42,CJ Chibhabha,SR Clark,BRM Taylor,0,0,0,54,15,13,5,-,7,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
43,CJ Chibhabha,SR Clark,BRM Taylor,0,0,0,54,15,14,6,-,7,caught,CJ Chibhabha,AC Gilchrist,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
44,T Taibu,MG Johnson,BRM Taylor,0,0,0,54,0,1,1,-,8,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
45,T Taibu,MG Johnson,BRM Taylor,0,0,0,54,0,2,2,-,8,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
46,T Taibu,MG Johnson,BRM Taylor,0,0,0,54,0,3,3,-,8,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
47,T Taibu,MG Johnson,BRM Taylor,0,1,1,55,0,4,4,wides,8,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
48,T Taibu,MG Johnson,BRM Taylor,0,0,0,55,0,5,5,-,8,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
49,T Taibu,MG Johnson,BRM Taylor,0,0,0,55,0,6,6,-,8,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
50,T Taibu,MG Johnson,BRM Taylor,0,0,0,55,0,7,7,-,8,caught,T Taibu,AC Gilchrist,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
51,BRM Taylor,SR Clark,S Matsikenyeri,1,0,1,56,15,14,1,-,9,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
52,S Matsikenyeri,SR Clark,BRM Taylor,0,0,0,56,0,1,2,-,9,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
53,S Matsikenyeri,SR Clark,BRM Taylor,1,0,1,57,1,2,3,-,9,0,,,bat,Australia,2,Newlands,2007-09-12,Zimbabwe,Zimbabwe,Australia
