,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,RG Sharma,SS Cottrell,KL Rahul,0,0,0,0,0,1,1,1,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
1,RG Sharma,SS Cottrell,KL Rahul,1,0,1,1,1,2,2,1,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
2,KL Rahul,SS Cottrell,RG Sharma,0,0,0,1,0,1,3,1,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
3,KL Rahul,SS Cottrell,RG Sharma,1,0,1,2,1,2,4,1,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
4,RG Sharma,SS Cottrell,KL Rahul,0,0,0,2,1,3,5,1,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
5,RG Sharma,SS Cottrell,KL Rahul,2,0,2,4,3,4,6,1,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
6,KL Rahul,JO Holder,RG Sharma,4,0,4,8,5,3,1,2,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
7,KL Rahul,JO Holder,RG Sharma,0,0,0,8,5,4,2,2,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
8,KL Rahul,JO Holder,RG Sharma,4,0,4,12,9,5,3,2,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
9,KL Rahul,JO Holder,RG Sharma,4,0,4,16,13,6,4,2,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
10,KL Rahul,JO Holder,RG Sharma,0,0,0,16,13,7,5,2,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
11,KL Rahul,JO Holder,RG Sharma,1,0,1,17,14,8,6,2,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
12,KL Rahul,SS Cottrell,RG Sharma,1,0,1,18,15,9,1,3,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
13,RG Sharma,SS Cottrell,KL Rahul,0,0,0,18,3,5,2,3,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
14,RG Sharma,SS Cottrell,KL Rahul,1,0,1,19,4,6,3,3,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
15,KL Rahul,SS Cottrell,RG Sharma,1,0,1,20,16,10,4,3,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
16,RG Sharma,SS Cottrell,KL Rahul,0,4,4,24,4,7,5,3,byes,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
17,RG Sharma,SS Cottrell,KL Rahul,4,0,4,28,8,8,6,3,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
18,KL Rahul,K Pierre,RG Sharma,0,2,2,30,16,11,1,4,wides,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
19,RG Sharma,K Pierre,KL Rahul,0,0,0,30,8,9,2,4,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
20,RG Sharma,K Pierre,KL Rahul,0,0,0,30,8,10,3,4,-,caught,RG Sharma,SO Hetmyer,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
21,V Kohli,K Pierre,KL Rahul,0,2,2,32,0,1,4,4,wides,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
22,KL Rahul,K Pierre,V Kohli,0,0,0,32,16,12,5,4,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
23,KL Rahul,K Pierre,V Kohli,0,0,0,32,16,13,6,4,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
24,KL Rahul,K Pierre,V Kohli,1,0,1,33,17,14,7,4,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
25,V Kohli,K Pierre,KL Rahul,0,0,0,33,0,2,8,4,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
26,KL Rahul,SS Cottrell,V Kohli,1,0,1,34,18,15,1,5,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
27,V Kohli,SS Cottrell,KL Rahul,0,0,0,34,0,3,2,5,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
28,V Kohli,SS Cottrell,KL Rahul,0,0,0,34,0,4,3,5,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
29,V Kohli,SS Cottrell,KL Rahul,0,0,0,34,0,5,4,5,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
30,V Kohli,SS Cottrell,KL Rahul,1,0,1,35,1,6,5,5,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
31,KL Rahul,SS Cottrell,V Kohli,6,0,6,41,24,16,6,5,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
32,V Kohli,K Pierre,KL Rahul,1,0,1,42,2,7,1,6,-,0,,,,field,India,2,"Rajiv Gandhi International Stadium, Uppal",2019-12-06,India,India,West Indies
