,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,replacements,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
10,KS Williamson,Taskin Ahmed,JDS Neesham,1,0,1,12,2,6,5,2,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
11,JDS Neesham,Taskin Ahmed,KS Williamson,0,1,1,13,9,6,6,2,wides,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
12,JDS Neesham,Taskin Ahmed,KS Williamson,0,0,0,13,9,7,7,2,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
13,KS Williamson,Rubel Hossain,JDS Neesham,0,0,0,13,2,7,1,3,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
14,KS Williamson,Rubel Hossain,JDS Neesham,1,0,1,14,3,8,2,3,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
15,JDS Neesham,Rubel Hossain,KS Williamson,0,0,0,14,9,8,3,3,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
16,JDS Neesham,Rubel Hossain,KS Williamson,4,0,4,18,13,9,4,3,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
17,JDS Neesham,Rubel Hossain,KS Williamson,1,0,1,19,14,10,5,3,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
18,KS Williamson,Rubel Hossain,JDS Neesham,0,0,0,19,3,9,6,3,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
19,JDS Neesham,Shakib Al Hasan,KS Williamson,1,0,1,20,15,11,1,4,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
20,KS Williamson,Shakib Al Hasan,JDS Neesham,0,0,0,20,3,10,2,4,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
21,KS Williamson,Shakib Al Hasan,JDS Neesham,0,0,0,20,3,11,3,4,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
22,KS Williamson,Shakib Al Hasan,JDS Neesham,4,0,4,24,7,12,4,4,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
23,KS Williamson,Shakib Al Hasan,JDS Neesham,4,0,4,28,11,13,5,4,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
24,KS Williamson,Shakib Al Hasan,JDS Neesham,2,0,2,30,13,14,6,4,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
25,JDS Neesham,Rubel Hossain,KS Williamson,0,4,4,34,15,12,1,5,legbyes,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
26,JDS Neesham,Rubel Hossain,KS Williamson,0,0,0,34,15,13,2,5,-,lbw,JDS Neesham,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
27,C Munro,Rubel Hossain,KS Williamson,0,1,1,35,0,1,3,5,legbyes,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
28,KS Williamson,Rubel Hossain,C Munro,1,0,1,36,14,15,4,5,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
29,C Munro,Rubel Hossain,KS Williamson,0,0,0,36,0,2,5,5,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
30,C Munro,Rubel Hossain,KS Williamson,0,0,0,36,0,3,6,5,-,caught,C Munro,Soumya Sarkar,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
31,TC Bruce,Taskin Ahmed,KS Williamson,0,0,0,36,0,1,1,6,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
32,TC Bruce,Taskin Ahmed,KS Williamson,4,0,4,40,4,2,2,6,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
33,TC Bruce,Taskin Ahmed,KS Williamson,1,0,1,41,5,3,3,6,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
34,KS Williamson,Taskin Ahmed,TC Bruce,0,0,0,41,14,16,4,6,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
35,KS Williamson,Taskin Ahmed,TC Bruce,0,0,0,41,14,17,5,6,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
36,KS Williamson,Taskin Ahmed,TC Bruce,0,0,0,41,14,18,6,6,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
37,TC Bruce,Mosaddek Hossain,KS Williamson,0,0,0,41,5,4,1,7,-,caught,TC Bruce,Imrul Kayes,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
38,KS Williamson,Mosaddek Hossain,CJ Anderson,0,0,0,41,14,19,2,7,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
39,KS Williamson,Mosaddek Hossain,CJ Anderson,0,0,0,41,14,20,3,7,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
40,KS Williamson,Mosaddek Hossain,CJ Anderson,1,0,1,42,15,21,4,7,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
41,CJ Anderson,Mosaddek Hossain,KS Williamson,1,0,1,43,1,1,5,7,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
42,KS Williamson,Mosaddek Hossain,CJ Anderson,1,0,1,44,16,22,6,7,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
43,KS Williamson,Shakib Al Hasan,CJ Anderson,1,0,1,45,17,23,1,8,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
44,CJ Anderson,Shakib Al Hasan,KS Williamson,0,0,0,45,1,2,2,8,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
45,CJ Anderson,Shakib Al Hasan,KS Williamson,0,0,0,45,1,3,3,8,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
46,CJ Anderson,Shakib Al Hasan,KS Williamson,0,0,0,45,1,4,4,8,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
47,CJ Anderson,Shakib Al Hasan,KS Williamson,1,0,1,46,2,5,5,8,-,0,,,,field,Bangladesh,1,Bay Oval,2017-01-08,New Zealand,New Zealand,Bangladesh
