,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,ADS Fletcher,Abu Hider,E Lewis,0,0,0,0,171,0,1,0,1,1,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
1,ADS Fletcher,Abu Hider,E Lewis,0,0,0,0,171,0,2,0,2,1,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
2,ADS Fletcher,Abu Hider,E Lewis,0,0,0,0,171,0,3,0,3,1,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
3,ADS Fletcher,Abu Hider,E Lewis,0,0,0,0,171,0,4,0,4,1,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
4,ADS Fletcher,Abu Hider,E Lewis,1,0,1,1,170,1,5,0,5,1,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
5,E Lewis,Abu Hider,ADS Fletcher,1,0,1,2,169,1,1,0,6,1,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
6,E Lewis,Mustafizur Rahman,ADS Fletcher,0,1,1,3,168,1,2,0,1,2,,wides,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
7,E Lewis,Mustafizur Rahman,ADS Fletcher,0,1,1,4,167,1,3,0,2,2,,wides,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
8,E Lewis,Mustafizur Rahman,ADS Fletcher,0,1,1,5,166,1,4,0,3,2,,wides,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
9,E Lewis,Mustafizur Rahman,ADS Fletcher,0,0,0,5,166,1,5,0,4,2,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
10,E Lewis,Mustafizur Rahman,ADS Fletcher,0,0,0,5,166,1,6,1,5,2,"{'by': 'West Indies', 'batter': 'E Lewis', 'decision': 'struck down'}",-,lbw,E Lewis,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
11,AD Russell,Mustafizur Rahman,ADS Fletcher,0,1,1,6,165,0,1,1,6,2,,wides,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
12,AD Russell,Mustafizur Rahman,ADS Fletcher,0,0,0,6,165,0,2,1,7,2,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
13,AD Russell,Mustafizur Rahman,ADS Fletcher,0,0,0,6,165,0,3,1,8,2,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
14,AD Russell,Mustafizur Rahman,ADS Fletcher,0,0,0,6,165,0,4,1,9,2,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
15,AD Russell,Mustafizur Rahman,ADS Fletcher,0,0,0,6,165,0,5,1,10,2,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
16,ADS Fletcher,Rubel Hossain,AD Russell,0,0,0,6,165,1,6,1,1,3,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
17,ADS Fletcher,Rubel Hossain,AD Russell,4,0,4,10,161,5,7,1,2,3,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
18,ADS Fletcher,Rubel Hossain,AD Russell,1,0,1,11,160,6,8,1,3,3,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
19,AD Russell,Rubel Hossain,ADS Fletcher,6,0,6,17,154,6,6,1,4,3,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
20,AD Russell,Rubel Hossain,ADS Fletcher,1,0,1,18,153,7,7,1,5,3,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
21,ADS Fletcher,Rubel Hossain,AD Russell,4,0,4,22,149,10,9,1,6,3,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
22,AD Russell,Mustafizur Rahman,ADS Fletcher,6,0,6,28,143,13,8,1,1,4,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
23,AD Russell,Mustafizur Rahman,ADS Fletcher,0,0,0,28,143,13,9,1,2,4,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
24,AD Russell,Mustafizur Rahman,ADS Fletcher,0,1,1,29,142,13,10,1,3,4,,wides,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
25,AD Russell,Mustafizur Rahman,ADS Fletcher,4,0,4,33,138,17,11,1,4,4,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
26,AD Russell,Mustafizur Rahman,ADS Fletcher,0,0,0,33,138,17,12,2,5,4,,-,caught,AD Russell,Mushfiqur Rahim,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
27,MN Samuels,Mustafizur Rahman,ADS Fletcher,4,0,4,37,134,4,1,2,6,4,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
28,MN Samuels,Mustafizur Rahman,ADS Fletcher,6,0,6,43,128,10,2,2,7,4,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
29,ADS Fletcher,Shakib Al Hasan,MN Samuels,4,0,4,47,124,14,10,2,1,5,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
30,ADS Fletcher,Shakib Al Hasan,MN Samuels,0,0,0,47,124,14,11,2,2,5,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
31,ADS Fletcher,Shakib Al Hasan,MN Samuels,1,0,1,48,123,15,12,2,3,5,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
32,MN Samuels,Shakib Al Hasan,ADS Fletcher,0,0,0,48,123,10,3,3,4,5,,-,caught,MN Samuels,Liton Das,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
33,D Ramdin,Shakib Al Hasan,ADS Fletcher,0,0,0,48,123,0,1,3,5,5,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
34,D Ramdin,Shakib Al Hasan,ADS Fletcher,0,0,0,48,123,0,2,3,6,5,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
35,ADS Fletcher,Nazmul Islam,D Ramdin,1,0,1,49,122,16,13,3,1,6,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
36,D Ramdin,Nazmul Islam,ADS Fletcher,1,0,1,50,121,1,3,3,2,6,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
37,ADS Fletcher,Nazmul Islam,D Ramdin,1,0,1,51,120,17,14,3,3,6,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
38,D Ramdin,Nazmul Islam,ADS Fletcher,0,0,0,51,120,1,4,3,4,6,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
39,D Ramdin,Nazmul Islam,ADS Fletcher,0,0,0,51,120,1,5,3,5,6,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
40,D Ramdin,Nazmul Islam,ADS Fletcher,1,0,1,52,119,2,6,3,6,6,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
41,D Ramdin,Shakib Al Hasan,ADS Fletcher,1,0,1,53,118,3,7,3,1,7,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
42,ADS Fletcher,Shakib Al Hasan,D Ramdin,1,0,1,54,117,18,15,3,2,7,,-,0,,,field,West Indies,2,Central Broward Regional Park Stadium Turf Ground,2018,08,Bangladesh_West Indies_2018-08-04,Bangladesh,West Indies,Bangladesh,159
