,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Saim Ayub,TG Southee,Mohammad Rizwan,0,0,0,0,194,0,1,0,1,0,,,1,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
1,Saim Ayub,TG Southee,Mohammad Rizwan,1,0,1,1,193,1,2,0,2,0,,,1,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
2,Mohammad Rizwan,TG Southee,Saim Ayub,6,0,6,7,187,6,1,0,3,0,,,1,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
3,Mohammad Rizwan,TG Southee,Saim Ayub,1,0,1,8,186,7,2,0,4,0,,,1,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
4,Saim Ayub,TG Southee,Mohammad Rizwan,0,0,0,8,186,1,3,1,5,caught,Saim Ayub,FH Allen,1,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
5,Babar Azam,TG Southee,Mohammad Rizwan,2,0,2,10,184,2,1,1,6,0,,,1,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
6,Mohammad Rizwan,AF Milne,Babar Azam,0,0,0,10,184,7,3,1,1,0,,,2,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
7,Mohammad Rizwan,AF Milne,Babar Azam,0,0,0,10,184,7,4,1,2,0,,,2,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
8,Mohammad Rizwan,AF Milne,Babar Azam,0,0,0,10,184,7,5,2,3,caught,Mohammad Rizwan,DP Conway,2,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
9,Fakhar Zaman,AF Milne,Babar Azam,0,0,0,10,184,0,1,2,4,0,,,2,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
10,Fakhar Zaman,AF Milne,Babar Azam,0,1,1,11,183,0,2,2,5,0,,,2,wides,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
11,Fakhar Zaman,AF Milne,Babar Azam,0,0,0,11,183,0,3,2,6,0,,,2,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
12,Fakhar Zaman,AF Milne,Babar Azam,0,0,0,11,183,0,4,2,7,0,,,2,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
13,Babar Azam,TG Southee,Fakhar Zaman,4,0,4,15,179,6,2,2,1,0,,,3,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
14,Babar Azam,TG Southee,Fakhar Zaman,1,0,1,16,178,7,3,2,2,0,,,3,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
15,Fakhar Zaman,TG Southee,Babar Azam,1,0,1,17,177,1,5,2,3,0,,,3,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
16,Babar Azam,TG Southee,Fakhar Zaman,0,0,0,17,177,7,4,2,4,0,,,3,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
17,Babar Azam,TG Southee,Fakhar Zaman,4,0,4,21,173,11,5,2,5,0,,,3,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
18,Babar Azam,TG Southee,Fakhar Zaman,1,0,1,22,172,12,6,2,6,0,,,3,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
19,Babar Azam,AF Milne,Fakhar Zaman,0,0,0,22,172,12,7,2,1,0,,,4,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
20,Babar Azam,AF Milne,Fakhar Zaman,4,0,4,26,168,16,8,2,2,0,,,4,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
21,Babar Azam,AF Milne,Fakhar Zaman,4,0,4,30,164,20,9,2,3,0,,,4,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
22,Babar Azam,AF Milne,Fakhar Zaman,1,0,1,31,163,21,10,2,4,0,,,4,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
23,Fakhar Zaman,AF Milne,Babar Azam,0,0,0,31,163,1,6,2,5,0,,,4,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
24,Fakhar Zaman,AF Milne,Babar Azam,4,0,4,35,159,5,7,2,6,0,,,4,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
25,Babar Azam,MJ Santner,Fakhar Zaman,1,0,1,36,158,22,11,2,1,0,,,5,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
26,Fakhar Zaman,MJ Santner,Babar Azam,0,0,0,36,158,5,8,2,2,0,,,5,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
27,Fakhar Zaman,MJ Santner,Babar Azam,0,0,0,36,158,5,9,2,3,0,,,5,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
28,Fakhar Zaman,MJ Santner,Babar Azam,6,0,6,42,152,11,10,2,4,0,,,5,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
29,Fakhar Zaman,MJ Santner,Babar Azam,6,0,6,48,146,17,11,2,5,0,,,5,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
30,Fakhar Zaman,MJ Santner,Babar Azam,0,0,0,48,146,17,12,2,6,0,,,5,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
31,Babar Azam,BV Sears,Fakhar Zaman,1,0,1,49,145,23,12,2,1,0,,,6,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
32,Fakhar Zaman,BV Sears,Babar Azam,1,0,1,50,144,18,13,2,2,0,,,6,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
33,Babar Azam,BV Sears,Fakhar Zaman,4,0,4,54,140,27,13,2,3,0,,,6,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
34,Babar Azam,BV Sears,Fakhar Zaman,0,0,0,54,140,27,14,2,4,0,,,6,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
35,Babar Azam,BV Sears,Fakhar Zaman,1,0,1,55,139,28,15,2,5,0,,,6,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
36,Fakhar Zaman,BV Sears,Babar Azam,6,0,6,61,133,24,14,2,6,0,,,6,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
37,Babar Azam,IS Sodhi,Fakhar Zaman,1,0,1,62,132,29,16,2,1,0,,,7,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
38,Fakhar Zaman,IS Sodhi,Babar Azam,6,0,6,68,126,30,15,2,2,0,,,7,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
39,Fakhar Zaman,IS Sodhi,Babar Azam,6,0,6,74,120,36,16,2,3,0,,,7,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
40,Fakhar Zaman,IS Sodhi,Babar Azam,1,0,1,75,119,37,17,2,4,0,,,7,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
41,Babar Azam,IS Sodhi,Fakhar Zaman,4,0,4,79,115,33,17,2,5,0,,,7,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
42,Babar Azam,IS Sodhi,Fakhar Zaman,1,0,1,80,114,34,18,2,6,0,,,7,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
43,Babar Azam,BV Sears,Fakhar Zaman,0,0,0,80,114,34,19,2,1,0,,,8,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
44,Babar Azam,BV Sears,Fakhar Zaman,1,0,1,81,113,35,20,2,2,0,,,8,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
45,Fakhar Zaman,BV Sears,Babar Azam,1,0,1,82,112,38,18,2,3,0,,,8,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
46,Babar Azam,BV Sears,Fakhar Zaman,0,0,0,82,112,35,21,2,4,0,,,8,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
47,Babar Azam,BV Sears,Fakhar Zaman,1,0,1,83,111,36,22,2,5,0,,,8,-,field,Pakistan,2,"Seddon Park, Hamilton",2024,01,New Zealand_Pakistan_2024-01-14,New Zealand,Pakistan,New Zealand,173
