,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,Hazratullah,PR Stirling,Rahmanullah Gurbaz,0,0,0,0,0,1,1,1,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
1,Hazratullah,PR Stirling,Rahmanullah Gurbaz,1,0,1,1,1,2,2,1,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
2,Rahmanullah Gurbaz,PR Stirling,Hazratullah,1,0,1,2,1,1,3,1,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
3,Hazratullah,PR Stirling,Rahmanullah Gurbaz,0,0,0,2,1,3,4,1,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
4,Hazratullah,PR Stirling,Rahmanullah Gurbaz,1,0,1,3,2,4,5,1,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
5,Rahmanullah Gurbaz,PR Stirling,Hazratullah,0,0,0,3,1,2,6,1,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
6,Hazratullah,WB Rankin,Rahmanullah Gurbaz,0,1,1,4,2,5,1,2,legbyes,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
7,Rahmanullah Gurbaz,WB Rankin,Hazratullah,0,0,0,4,1,3,2,2,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
8,Rahmanullah Gurbaz,WB Rankin,Hazratullah,0,0,0,4,1,4,3,2,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
9,Rahmanullah Gurbaz,WB Rankin,Hazratullah,0,0,0,4,1,5,4,2,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
10,Rahmanullah Gurbaz,WB Rankin,Hazratullah,1,0,1,5,2,6,5,2,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
11,Hazratullah,WB Rankin,Rahmanullah Gurbaz,1,0,1,6,3,6,6,2,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
12,Hazratullah,Simi Singh,Rahmanullah Gurbaz,0,0,0,6,3,7,1,3,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
13,Hazratullah,Simi Singh,Rahmanullah Gurbaz,1,0,1,7,4,8,2,3,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
14,Rahmanullah Gurbaz,Simi Singh,Hazratullah,0,0,0,7,2,7,3,3,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
15,Rahmanullah Gurbaz,Simi Singh,Hazratullah,2,0,2,9,4,8,4,3,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
16,Rahmanullah Gurbaz,Simi Singh,Hazratullah,1,0,1,10,5,9,5,3,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
17,Hazratullah,Simi Singh,Rahmanullah Gurbaz,1,0,1,11,5,9,6,3,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
18,Hazratullah,J Little,Rahmanullah Gurbaz,0,0,0,11,5,10,1,4,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
19,Hazratullah,J Little,Rahmanullah Gurbaz,2,0,2,13,7,11,2,4,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
20,Hazratullah,J Little,Rahmanullah Gurbaz,0,0,0,13,7,12,3,4,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
21,Hazratullah,J Little,Rahmanullah Gurbaz,0,0,0,13,7,13,4,4,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
22,Hazratullah,J Little,Rahmanullah Gurbaz,4,0,4,17,11,14,5,4,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
23,Hazratullah,J Little,Rahmanullah Gurbaz,1,0,1,18,12,15,6,4,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
24,Hazratullah,Simi Singh,Rahmanullah Gurbaz,1,0,1,19,13,16,1,5,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
25,Rahmanullah Gurbaz,Simi Singh,Hazratullah,6,0,6,25,11,10,2,5,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
26,Rahmanullah Gurbaz,Simi Singh,Hazratullah,1,0,1,26,12,11,3,5,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
27,Hazratullah,Simi Singh,Rahmanullah Gurbaz,0,1,1,27,13,17,4,5,legbyes,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
28,Rahmanullah Gurbaz,Simi Singh,Hazratullah,1,0,1,28,13,12,5,5,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
29,Hazratullah,Simi Singh,Rahmanullah Gurbaz,1,0,1,29,14,18,6,5,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
30,Hazratullah,WB Rankin,Rahmanullah Gurbaz,2,0,2,31,16,19,1,6,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
31,Hazratullah,WB Rankin,Rahmanullah Gurbaz,2,0,2,33,18,20,2,6,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
32,Hazratullah,WB Rankin,Rahmanullah Gurbaz,0,0,0,33,18,21,3,6,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
33,Hazratullah,WB Rankin,Rahmanullah Gurbaz,0,0,0,33,18,22,4,6,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
34,Hazratullah,WB Rankin,Rahmanullah Gurbaz,0,0,0,33,18,23,5,6,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
35,Hazratullah,WB Rankin,Rahmanullah Gurbaz,1,0,1,34,19,24,6,6,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
36,Hazratullah,GH Dockrell,Rahmanullah Gurbaz,6,0,6,40,25,25,1,7,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
37,Hazratullah,GH Dockrell,Rahmanullah Gurbaz,1,0,1,41,26,26,2,7,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
38,Rahmanullah Gurbaz,GH Dockrell,Hazratullah,1,0,1,42,14,13,3,7,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
39,Hazratullah,GH Dockrell,Rahmanullah Gurbaz,0,1,1,43,26,27,4,7,wides,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
40,Hazratullah,GH Dockrell,Rahmanullah Gurbaz,0,0,0,43,26,28,5,7,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
41,Hazratullah,GH Dockrell,Rahmanullah Gurbaz,1,0,1,44,27,29,6,7,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
42,Rahmanullah Gurbaz,GH Dockrell,Hazratullah,2,0,2,46,16,14,7,7,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
43,Hazratullah,CA Young,Rahmanullah Gurbaz,1,0,1,47,28,30,1,8,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
44,Rahmanullah Gurbaz,CA Young,Hazratullah,0,0,0,47,16,15,2,8,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
45,Rahmanullah Gurbaz,CA Young,Hazratullah,0,1,1,48,16,16,3,8,legbyes,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
46,Hazratullah,CA Young,Rahmanullah Gurbaz,0,0,0,48,28,31,4,8,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
47,Hazratullah,CA Young,Rahmanullah Gurbaz,0,2,2,50,28,32,5,8,legbyes,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
48,Hazratullah,CA Young,Rahmanullah Gurbaz,0,0,0,50,28,33,6,8,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
49,Rahmanullah Gurbaz,GJ Delany,Hazratullah,0,0,0,50,16,17,1,9,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
50,Rahmanullah Gurbaz,GJ Delany,Hazratullah,6,0,6,56,22,18,2,9,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
51,Rahmanullah Gurbaz,GJ Delany,Hazratullah,1,0,1,57,23,19,3,9,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
52,Hazratullah,GJ Delany,Rahmanullah Gurbaz,0,0,0,57,28,34,4,9,-,caught and bowled,Hazratullah,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
53,Asghar Stanikzai,GJ Delany,Rahmanullah Gurbaz,0,0,0,57,0,1,5,9,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
54,Asghar Stanikzai,GJ Delany,Rahmanullah Gurbaz,1,0,1,58,1,2,6,9,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
55,Asghar Stanikzai,J Little,Rahmanullah Gurbaz,1,0,1,59,2,3,1,10,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
56,Rahmanullah Gurbaz,J Little,Asghar Stanikzai,1,0,1,60,24,20,2,10,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
57,Asghar Stanikzai,J Little,Rahmanullah Gurbaz,1,0,1,61,3,4,3,10,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
58,Rahmanullah Gurbaz,J Little,Asghar Stanikzai,1,0,1,62,25,21,4,10,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
59,Asghar Stanikzai,J Little,Rahmanullah Gurbaz,1,0,1,63,4,5,5,10,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
60,Rahmanullah Gurbaz,J Little,Asghar Stanikzai,1,0,1,64,26,22,6,10,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
61,Rahmanullah Gurbaz,GJ Delany,Asghar Stanikzai,0,0,0,64,26,23,1,11,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
62,Rahmanullah Gurbaz,GJ Delany,Asghar Stanikzai,6,0,6,70,32,24,2,11,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
63,Rahmanullah Gurbaz,GJ Delany,Asghar Stanikzai,1,0,1,71,33,25,3,11,-,0,,,bat,Afghanistan,1,Greater Noida Sports Complex Ground,2020-03-08,Afghanistan,Afghanistan,Ireland
