,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,replacements,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
23,KL Rahul,PVD Chameera,RG Sharma,0,0,0,26,16,16,6,4,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
24,RG Sharma,N Pradeep,KL Rahul,6,0,6,32,16,9,1,5,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
25,RG Sharma,N Pradeep,KL Rahul,0,0,0,32,16,10,2,5,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
26,RG Sharma,N Pradeep,KL Rahul,1,0,1,33,17,11,3,5,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
27,KL Rahul,N Pradeep,RG Sharma,4,0,4,37,20,17,4,5,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
28,KL Rahul,N Pradeep,RG Sharma,6,0,6,43,26,18,5,5,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
29,KL Rahul,N Pradeep,RG Sharma,0,0,0,43,26,19,6,5,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
30,RG Sharma,A Dananjaya,KL Rahul,4,0,4,47,21,12,1,6,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
31,RG Sharma,A Dananjaya,KL Rahul,0,0,0,47,21,13,2,6,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
32,RG Sharma,A Dananjaya,KL Rahul,4,0,4,51,25,14,3,6,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
33,RG Sharma,A Dananjaya,KL Rahul,6,0,6,57,31,15,4,6,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
34,RG Sharma,A Dananjaya,KL Rahul,1,0,1,58,32,16,5,6,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
35,KL Rahul,A Dananjaya,RG Sharma,1,0,1,59,27,20,6,6,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
36,KL Rahul,NLTC Perera,RG Sharma,1,0,1,60,28,21,1,7,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
37,RG Sharma,NLTC Perera,KL Rahul,1,0,1,61,33,17,2,7,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
38,KL Rahul,NLTC Perera,RG Sharma,1,0,1,62,29,22,3,7,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
39,RG Sharma,NLTC Perera,KL Rahul,4,0,4,66,37,18,4,7,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
40,RG Sharma,NLTC Perera,KL Rahul,1,0,1,67,38,19,5,7,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
41,KL Rahul,NLTC Perera,RG Sharma,4,0,4,71,33,23,6,7,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
42,RG Sharma,PC de Silva,KL Rahul,4,0,4,75,42,20,1,8,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
43,RG Sharma,PC de Silva,KL Rahul,4,0,4,79,46,21,2,8,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
44,RG Sharma,PC de Silva,KL Rahul,1,0,1,80,47,22,3,8,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
45,KL Rahul,PC de Silva,RG Sharma,0,0,0,80,33,24,4,8,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
46,KL Rahul,PC de Silva,RG Sharma,6,0,6,86,39,25,5,8,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
47,KL Rahul,PC de Silva,RG Sharma,1,0,1,87,40,26,6,8,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
48,KL Rahul,DAS Gunaratne,RG Sharma,0,0,0,87,40,27,1,9,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
49,KL Rahul,DAS Gunaratne,RG Sharma,1,0,1,88,41,28,2,9,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
50,RG Sharma,DAS Gunaratne,KL Rahul,6,0,6,94,53,23,3,9,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
51,RG Sharma,DAS Gunaratne,KL Rahul,6,0,6,100,59,24,4,9,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
52,RG Sharma,DAS Gunaratne,KL Rahul,4,0,4,104,63,25,5,9,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
53,RG Sharma,DAS Gunaratne,KL Rahul,4,0,4,108,67,26,6,9,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
54,KL Rahul,N Pradeep,RG Sharma,1,0,1,109,42,29,1,10,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
55,RG Sharma,N Pradeep,KL Rahul,1,0,1,110,68,27,2,10,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
56,KL Rahul,N Pradeep,RG Sharma,1,0,1,111,43,30,3,10,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
57,RG Sharma,N Pradeep,KL Rahul,1,0,1,112,69,28,4,10,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
58,KL Rahul,N Pradeep,RG Sharma,1,0,1,113,44,31,5,10,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
59,RG Sharma,N Pradeep,KL Rahul,4,0,4,117,73,29,6,10,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
60,KL Rahul,NLTC Perera,RG Sharma,1,0,1,118,45,32,1,11,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
61,RG Sharma,NLTC Perera,KL Rahul,0,0,0,118,73,30,2,11,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
62,RG Sharma,NLTC Perera,KL Rahul,6,0,6,124,79,31,3,11,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
63,RG Sharma,NLTC Perera,KL Rahul,0,1,1,125,79,32,4,11,wides,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
64,RG Sharma,NLTC Perera,KL Rahul,6,0,6,131,85,33,5,11,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
65,RG Sharma,NLTC Perera,KL Rahul,6,0,6,137,91,34,6,11,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
66,RG Sharma,NLTC Perera,KL Rahul,6,0,6,143,97,35,7,11,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
67,KL Rahul,AD Mathews,RG Sharma,1,0,1,144,46,33,1,12,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
68,RG Sharma,AD Mathews,KL Rahul,4,0,4,148,101,36,2,12,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
69,RG Sharma,A Dananjaya,KL Rahul,0,0,0,148,101,37,3,12,-,"{'role': [{'in': 'A Dananjaya', 'out': 'AD Mathews', 'reason': 'injury', 'role': 'bowler'}]}",0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
70,RG Sharma,A Dananjaya,KL Rahul,0,0,0,148,101,38,4,12,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
71,RG Sharma,A Dananjaya,KL Rahul,0,0,0,148,101,39,5,12,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
72,RG Sharma,A Dananjaya,KL Rahul,1,0,1,149,102,40,6,12,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
73,RG Sharma,PVD Chameera,KL Rahul,6,0,6,155,108,41,1,13,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
74,RG Sharma,PVD Chameera,KL Rahul,4,0,4,159,112,42,2,13,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
75,RG Sharma,PVD Chameera,KL Rahul,6,0,6,165,118,43,3,13,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
76,RG Sharma,PVD Chameera,KL Rahul,0,0,0,165,118,44,4,13,-,,caught,RG Sharma,A Dananjaya,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
77,MS Dhoni,PVD Chameera,KL Rahul,0,0,0,165,0,1,5,13,-,,0,,,,field,Sri Lanka,1,Holkar Cricket Stadium,2017-12-22,India,Sri Lanka
