,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
14,E Lewis,PVD Chameera,LMP Simmons,1,1,2,34,24,9,3,3,noballs,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
15,LMP Simmons,PVD Chameera,E Lewis,6,0,6,40,14,7,4,3,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
16,LMP Simmons,PVD Chameera,E Lewis,4,0,4,44,18,8,5,3,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
17,LMP Simmons,PVD Chameera,E Lewis,0,0,0,44,18,9,6,3,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
18,LMP Simmons,PVD Chameera,E Lewis,0,4,4,48,18,10,7,3,legbyes,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
19,LMP Simmons,PVD Chameera,E Lewis,0,0,0,48,18,11,8,3,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
20,E Lewis,A Dananjaya,LMP Simmons,4,0,4,52,28,10,1,4,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
21,E Lewis,A Dananjaya,LMP Simmons,0,0,0,52,28,11,2,4,-,,caught,E Lewis,MD Gunathilaka,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
22,CH Gayle,A Dananjaya,LMP Simmons,0,0,0,52,0,1,3,4,-,"{'by': 'Sri Lanka', 'umpire': 'N Duguid', 'batter': 'CH Gayle', 'decision': 'upheld'}",lbw,CH Gayle,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
23,N Pooran,A Dananjaya,LMP Simmons,0,0,0,52,0,1,4,4,-,,caught,N Pooran,N Dickwella,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
24,KA Pollard,A Dananjaya,LMP Simmons,1,0,1,53,1,1,5,4,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
25,LMP Simmons,A Dananjaya,KA Pollard,4,0,4,57,22,12,6,4,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
26,KA Pollard,PWH de Silva,LMP Simmons,0,0,0,57,1,2,1,5,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
27,KA Pollard,PWH de Silva,LMP Simmons,0,0,0,57,1,3,2,5,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
28,KA Pollard,PWH de Silva,LMP Simmons,1,0,1,58,2,4,3,5,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
29,LMP Simmons,PWH de Silva,KA Pollard,4,0,4,62,26,13,4,5,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
30,LMP Simmons,PWH de Silva,KA Pollard,0,0,0,62,26,14,5,5,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
31,LMP Simmons,PWH de Silva,KA Pollard,0,0,0,62,26,15,6,5,-,"{'by': 'West Indies', 'umpire': 'GO Brathwaite', 'batter': 'LMP Simmons', 'decision': 'struck down'}",lbw,LMP Simmons,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
32,KA Pollard,A Dananjaya,JO Holder,6,0,6,68,8,5,1,6,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
33,KA Pollard,A Dananjaya,JO Holder,6,0,6,74,14,6,2,6,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
34,KA Pollard,A Dananjaya,JO Holder,6,0,6,80,20,7,3,6,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
35,KA Pollard,A Dananjaya,JO Holder,6,0,6,86,26,8,4,6,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
36,KA Pollard,A Dananjaya,JO Holder,6,0,6,92,32,9,5,6,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
37,KA Pollard,A Dananjaya,JO Holder,6,0,6,98,38,10,6,6,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
38,JO Holder,PWH de Silva,KA Pollard,2,0,2,100,2,1,1,7,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
39,JO Holder,PWH de Silva,KA Pollard,0,0,0,100,2,2,2,7,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
40,JO Holder,PWH de Silva,KA Pollard,1,0,1,101,3,3,3,7,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
41,KA Pollard,PWH de Silva,JO Holder,0,0,0,101,38,11,4,7,-,"{'by': 'West Indies', 'umpire': 'GO Brathwaite', 'batter': 'KA Pollard', 'decision': 'struck down'}",lbw,KA Pollard,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
42,FA Allen,PWH de Silva,JO Holder,0,0,0,101,0,1,5,7,-,,lbw,FA Allen,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
43,DJ Bravo,PWH de Silva,JO Holder,0,0,0,101,0,1,6,7,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
44,JO Holder,A Dananjaya,DJ Bravo,6,0,6,107,9,4,1,8,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
45,JO Holder,A Dananjaya,DJ Bravo,1,0,1,108,10,5,2,8,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
46,DJ Bravo,A Dananjaya,JO Holder,0,0,0,108,0,2,3,8,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
47,DJ Bravo,A Dananjaya,JO Holder,1,0,1,109,1,3,4,8,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
48,JO Holder,A Dananjaya,DJ Bravo,0,0,0,109,10,6,5,8,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
49,JO Holder,A Dananjaya,DJ Bravo,1,0,1,110,11,7,6,8,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
50,JO Holder,PWH de Silva,DJ Bravo,0,0,0,110,11,8,1,9,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
51,JO Holder,PWH de Silva,DJ Bravo,0,0,0,110,11,9,2,9,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
52,JO Holder,PWH de Silva,DJ Bravo,1,0,1,111,12,10,3,9,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
53,DJ Bravo,PWH de Silva,JO Holder,0,0,0,111,1,4,4,9,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
54,DJ Bravo,PWH de Silva,JO Holder,0,0,0,111,1,5,5,9,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
55,DJ Bravo,PWH de Silva,JO Holder,0,0,0,111,1,6,6,9,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
56,JO Holder,PVD Chameera,DJ Bravo,2,0,2,113,14,11,1,10,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
57,JO Holder,PVD Chameera,DJ Bravo,0,0,0,113,14,12,2,10,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
58,JO Holder,PVD Chameera,DJ Bravo,1,0,1,114,15,13,3,10,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
59,DJ Bravo,PVD Chameera,JO Holder,0,0,0,114,1,7,4,10,-,"{'by': 'Sri Lanka', 'umpire': 'N Duguid', 'batter': 'DJ Bravo', 'decision': 'struck down'}",0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
60,DJ Bravo,PVD Chameera,JO Holder,0,0,0,114,1,8,5,10,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
61,DJ Bravo,PVD Chameera,JO Holder,0,1,1,115,1,9,6,10,wides,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
62,DJ Bravo,PVD Chameera,JO Holder,0,1,1,116,1,10,7,10,wides,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
63,DJ Bravo,PVD Chameera,JO Holder,0,0,0,116,1,11,8,10,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
64,JO Holder,PWH de Silva,DJ Bravo,1,0,1,117,16,14,1,11,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
65,DJ Bravo,PWH de Silva,JO Holder,0,0,0,117,1,12,2,11,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
66,DJ Bravo,PWH de Silva,JO Holder,0,0,0,117,1,13,3,11,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
67,DJ Bravo,PWH de Silva,JO Holder,0,0,0,117,1,14,4,11,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
68,DJ Bravo,PWH de Silva,JO Holder,1,0,1,118,2,15,5,11,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
69,JO Holder,PWH de Silva,DJ Bravo,1,0,1,119,17,15,6,11,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
70,JO Holder,PVD Chameera,DJ Bravo,0,0,0,119,17,16,1,12,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
71,JO Holder,PVD Chameera,DJ Bravo,1,0,1,120,18,17,2,12,-,,0,,,field,West Indies,2,"Coolidge Cricket Ground, Antigua",2021-03-03,West Indies,Sri Lanka
