,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,W Madhevere,CA Young,T Marumani,1,0,1,1,,1,1,0,1,0,,,0,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
1,T Marumani,CA Young,W Madhevere,0,0,0,1,,0,1,0,2,0,,,0,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
2,T Marumani,CA Young,W Madhevere,1,0,1,2,,1,2,0,3,0,,,0,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
3,W Madhevere,CA Young,T Marumani,0,0,0,2,,1,2,0,4,0,,,0,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
4,W Madhevere,CA Young,T Marumani,0,0,0,2,,1,3,0,5,0,,,0,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
5,W Madhevere,CA Young,T Marumani,0,0,0,2,,1,4,1,6,caught,W Madhevere,NA Rock,0,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
6,T Marumani,BJ McCarthy,RW Chakabva,0,0,0,2,,1,3,1,1,0,,,1,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
7,T Marumani,BJ McCarthy,RW Chakabva,0,0,0,2,,1,4,1,2,0,,,1,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
8,T Marumani,BJ McCarthy,RW Chakabva,0,0,0,2,,1,5,1,3,0,,,1,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
9,T Marumani,BJ McCarthy,RW Chakabva,0,0,0,2,,1,6,1,4,0,,,1,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
10,T Marumani,BJ McCarthy,RW Chakabva,0,0,0,2,,1,7,1,5,0,,,1,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
11,T Marumani,BJ McCarthy,RW Chakabva,0,0,0,2,,1,8,1,6,0,,,1,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
12,RW Chakabva,CA Young,T Marumani,0,0,0,2,,0,1,1,1,0,,,2,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
13,RW Chakabva,CA Young,T Marumani,1,0,1,3,,1,2,1,2,0,,,2,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
14,T Marumani,CA Young,RW Chakabva,0,1,1,4,,1,9,1,3,0,,,2,legbyes,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
15,RW Chakabva,CA Young,T Marumani,1,0,1,5,,2,3,1,4,0,,,2,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
16,T Marumani,CA Young,RW Chakabva,0,0,0,5,,1,10,2,5,caught,T Marumani,PR Stirling,2,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
17,D Myers,CA Young,RW Chakabva,1,0,1,6,,1,1,2,6,0,,,2,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
18,D Myers,BJ McCarthy,RW Chakabva,0,0,0,6,,1,2,2,1,0,,,3,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
19,D Myers,BJ McCarthy,RW Chakabva,4,0,4,10,,5,3,2,2,0,,,3,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
20,D Myers,BJ McCarthy,RW Chakabva,1,0,1,11,,6,4,2,3,0,,,3,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
21,RW Chakabva,BJ McCarthy,D Myers,4,0,4,15,,6,4,2,4,0,,,3,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
22,RW Chakabva,BJ McCarthy,D Myers,1,0,1,16,,7,5,2,5,0,,,3,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
23,D Myers,BJ McCarthy,RW Chakabva,0,0,0,16,,6,5,2,6,0,,,3,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
24,RW Chakabva,C Campher,D Myers,4,0,4,20,,11,6,2,1,0,,,4,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
25,RW Chakabva,C Campher,D Myers,2,0,2,22,,13,7,2,2,0,,,4,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
26,RW Chakabva,C Campher,D Myers,4,0,4,26,,17,8,2,3,0,,,4,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
27,RW Chakabva,C Campher,D Myers,4,0,4,30,,21,9,2,4,0,,,4,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
28,RW Chakabva,C Campher,D Myers,1,0,1,31,,22,10,2,5,0,,,4,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
29,D Myers,C Campher,RW Chakabva,1,0,1,32,,7,6,2,6,0,,,4,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
30,D Myers,Simi Singh,RW Chakabva,2,0,2,34,,9,7,2,1,0,,,5,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
31,D Myers,Simi Singh,RW Chakabva,0,0,0,34,,9,8,2,2,0,,,5,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
32,D Myers,Simi Singh,RW Chakabva,1,0,1,35,,10,9,2,3,0,,,5,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
33,RW Chakabva,Simi Singh,D Myers,2,0,2,37,,24,11,2,4,0,,,5,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
34,RW Chakabva,Simi Singh,D Myers,1,0,1,38,,25,12,2,5,0,,,5,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
35,D Myers,Simi Singh,RW Chakabva,0,0,0,38,,10,10,2,6,0,,,5,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
36,RW Chakabva,SC Getkate,D Myers,2,0,2,40,,27,13,2,1,0,,,6,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
37,RW Chakabva,SC Getkate,D Myers,3,0,3,43,,30,14,2,2,0,,,6,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
38,D Myers,SC Getkate,RW Chakabva,0,0,0,43,,10,11,2,3,0,,,6,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
39,D Myers,SC Getkate,RW Chakabva,0,0,0,43,,10,12,2,4,0,,,6,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
40,D Myers,SC Getkate,RW Chakabva,0,0,0,43,,10,13,2,5,0,,,6,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
41,D Myers,SC Getkate,RW Chakabva,0,0,0,43,,10,14,3,6,bowled,D Myers,,6,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
42,RW Chakabva,B White,CR Ervine,1,0,1,44,,31,15,3,1,0,,,7,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
43,CR Ervine,B White,RW Chakabva,2,0,2,46,,2,1,3,2,0,,,7,-,field,Ireland,1,"Castle Avenue, Dublin",2021,08,Zimbabwe_Ireland_2021-08-27,Zimbabwe,Zimbabwe,Ireland,True,117
