,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MJ Guptill,Shaheen Shah Afridi,TL Seifert,0,0,0,0,0,1,1,1,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
1,MJ Guptill,Shaheen Shah Afridi,TL Seifert,0,0,0,0,0,2,2,1,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
2,MJ Guptill,Shaheen Shah Afridi,TL Seifert,0,0,0,0,0,3,3,1,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
3,MJ Guptill,Shaheen Shah Afridi,TL Seifert,1,0,1,1,1,4,4,1,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
4,TL Seifert,Shaheen Shah Afridi,MJ Guptill,1,0,1,2,1,1,5,1,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
5,MJ Guptill,Shaheen Shah Afridi,TL Seifert,0,0,0,2,1,5,6,1,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
6,TL Seifert,Imad Wasim,MJ Guptill,1,0,1,3,2,2,1,2,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
7,MJ Guptill,Imad Wasim,TL Seifert,0,0,0,3,1,6,2,2,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
8,MJ Guptill,Imad Wasim,TL Seifert,0,0,0,3,1,7,3,2,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
9,MJ Guptill,Imad Wasim,TL Seifert,4,0,4,7,5,8,4,2,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
10,MJ Guptill,Imad Wasim,TL Seifert,1,0,1,8,6,9,5,2,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
11,TL Seifert,Imad Wasim,MJ Guptill,0,0,0,8,2,3,6,2,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
12,MJ Guptill,Shaheen Shah Afridi,TL Seifert,0,0,0,8,6,10,1,3,-,caught,MJ Guptill,Shadab Khan,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
13,TL Seifert,Shaheen Shah Afridi,DP Conway,2,0,2,10,4,4,2,3,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
14,TL Seifert,Shaheen Shah Afridi,DP Conway,0,0,0,10,4,5,3,3,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
15,TL Seifert,Shaheen Shah Afridi,DP Conway,0,1,1,11,4,6,4,3,wides,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
16,TL Seifert,Shaheen Shah Afridi,DP Conway,4,0,4,15,8,7,5,3,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
17,TL Seifert,Shaheen Shah Afridi,DP Conway,1,0,1,16,9,8,6,3,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
18,DP Conway,Shaheen Shah Afridi,TL Seifert,1,0,1,17,1,1,7,3,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
19,DP Conway,Haris Rauf,TL Seifert,4,0,4,21,5,2,1,4,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
20,DP Conway,Haris Rauf,TL Seifert,0,0,0,21,5,3,2,4,-,0,,,"{'by': 'Pakistan', 'umpire': 'SB Haig', 'batter': 'DP Conway', 'decision': 'struck down'}",bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
21,DP Conway,Haris Rauf,TL Seifert,0,0,0,21,5,4,3,4,-,caught and bowled,DP Conway,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
22,GD Phillips,Haris Rauf,TL Seifert,0,0,0,21,0,1,4,4,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
23,GD Phillips,Haris Rauf,TL Seifert,4,0,4,25,4,2,5,4,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
24,GD Phillips,Haris Rauf,TL Seifert,0,0,0,25,4,3,6,4,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
25,TL Seifert,Faheem Ashraf,GD Phillips,0,0,0,25,9,9,1,5,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
26,TL Seifert,Faheem Ashraf,GD Phillips,1,0,1,26,10,10,2,5,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
27,GD Phillips,Faheem Ashraf,TL Seifert,0,0,0,26,4,4,3,5,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
28,GD Phillips,Faheem Ashraf,TL Seifert,1,0,1,27,5,5,4,5,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
29,TL Seifert,Faheem Ashraf,GD Phillips,1,0,1,28,11,11,5,5,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
30,GD Phillips,Faheem Ashraf,TL Seifert,1,0,1,29,6,6,6,5,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
31,GD Phillips,Wahab Riaz,TL Seifert,4,0,4,33,10,7,1,6,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
32,GD Phillips,Wahab Riaz,TL Seifert,1,0,1,34,11,8,2,6,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
33,TL Seifert,Wahab Riaz,GD Phillips,0,0,0,34,11,12,3,6,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
34,TL Seifert,Wahab Riaz,GD Phillips,4,0,4,38,15,13,4,6,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
35,TL Seifert,Wahab Riaz,GD Phillips,0,0,0,38,15,14,5,6,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
36,TL Seifert,Wahab Riaz,GD Phillips,2,0,2,40,17,15,6,6,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
37,GD Phillips,Shadab Khan,TL Seifert,6,0,6,46,17,9,1,7,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
38,GD Phillips,Shadab Khan,TL Seifert,2,0,2,48,19,10,2,7,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
39,GD Phillips,Shadab Khan,TL Seifert,1,0,1,49,20,11,3,7,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
40,TL Seifert,Shadab Khan,GD Phillips,1,0,1,50,18,16,4,7,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
41,GD Phillips,Shadab Khan,TL Seifert,1,0,1,51,21,12,5,7,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
42,TL Seifert,Shadab Khan,GD Phillips,1,0,1,52,19,17,6,7,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
43,TL Seifert,Imad Wasim,GD Phillips,1,0,1,53,20,18,1,8,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
44,GD Phillips,Imad Wasim,TL Seifert,1,0,1,54,22,13,2,8,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
45,TL Seifert,Imad Wasim,GD Phillips,0,0,0,54,20,19,3,8,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
46,TL Seifert,Imad Wasim,GD Phillips,6,0,6,60,26,20,4,8,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
47,TL Seifert,Imad Wasim,GD Phillips,0,0,0,60,26,21,5,8,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
48,TL Seifert,Imad Wasim,GD Phillips,0,0,0,60,26,22,6,8,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
49,GD Phillips,Faheem Ashraf,TL Seifert,0,0,0,60,22,14,1,9,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
50,GD Phillips,Faheem Ashraf,TL Seifert,0,0,0,60,22,15,2,9,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
51,GD Phillips,Faheem Ashraf,TL Seifert,0,0,0,60,22,16,3,9,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
52,GD Phillips,Faheem Ashraf,TL Seifert,1,0,1,61,23,17,4,9,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
53,TL Seifert,Faheem Ashraf,GD Phillips,4,0,4,65,30,23,5,9,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
54,TL Seifert,Faheem Ashraf,GD Phillips,0,0,0,65,30,24,6,9,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
55,GD Phillips,Haris Rauf,TL Seifert,0,0,0,65,23,18,1,10,-,caught,GD Phillips,Khushdil Shah,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
56,TL Seifert,Haris Rauf,MS Chapman,1,0,1,66,31,25,2,10,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
57,MS Chapman,Haris Rauf,TL Seifert,1,0,1,67,1,1,3,10,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
58,TL Seifert,Haris Rauf,MS Chapman,0,0,0,67,31,26,4,10,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
59,TL Seifert,Haris Rauf,MS Chapman,4,0,4,71,35,27,5,10,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
60,TL Seifert,Haris Rauf,MS Chapman,1,0,1,72,36,28,6,10,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
61,TL Seifert,Faheem Ashraf,MS Chapman,1,0,1,73,37,29,1,11,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
62,MS Chapman,Faheem Ashraf,TL Seifert,1,0,1,74,2,2,2,11,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
63,TL Seifert,Faheem Ashraf,MS Chapman,2,0,2,76,39,30,3,11,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
64,TL Seifert,Faheem Ashraf,MS Chapman,4,0,4,80,43,31,4,11,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
65,TL Seifert,Faheem Ashraf,MS Chapman,0,0,0,80,43,32,5,11,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
66,TL Seifert,Faheem Ashraf,MS Chapman,1,0,1,81,44,33,6,11,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
67,TL Seifert,Wahab Riaz,MS Chapman,4,0,4,85,48,34,1,12,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
68,TL Seifert,Wahab Riaz,MS Chapman,1,0,1,86,49,35,2,12,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
69,MS Chapman,Wahab Riaz,TL Seifert,1,0,1,87,3,3,3,12,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
70,TL Seifert,Wahab Riaz,MS Chapman,2,0,2,89,51,36,4,12,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
71,TL Seifert,Wahab Riaz,MS Chapman,0,0,0,89,51,37,5,12,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
72,TL Seifert,Wahab Riaz,MS Chapman,2,0,2,91,53,38,6,12,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
73,MS Chapman,Shadab Khan,TL Seifert,1,0,1,92,4,4,1,13,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
74,TL Seifert,Shadab Khan,MS Chapman,1,0,1,93,54,39,2,13,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
75,MS Chapman,Shadab Khan,TL Seifert,1,0,1,94,5,5,3,13,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
76,TL Seifert,Shadab Khan,MS Chapman,1,0,1,95,55,40,4,13,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
77,MS Chapman,Shadab Khan,TL Seifert,4,0,4,99,9,6,5,13,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
78,MS Chapman,Shadab Khan,TL Seifert,2,0,2,101,11,7,6,13,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
79,TL Seifert,Haris Rauf,MS Chapman,0,0,0,101,55,41,1,14,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
80,TL Seifert,Haris Rauf,MS Chapman,1,0,1,102,56,42,2,14,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
81,MS Chapman,Haris Rauf,TL Seifert,1,0,1,103,12,8,3,14,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
82,TL Seifert,Haris Rauf,MS Chapman,1,0,1,104,57,43,4,14,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
83,MS Chapman,Haris Rauf,TL Seifert,4,0,4,108,16,9,5,14,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
84,MS Chapman,Haris Rauf,TL Seifert,1,0,1,109,17,10,6,14,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
85,MS Chapman,Shaheen Shah Afridi,TL Seifert,0,0,0,109,17,11,1,15,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
86,MS Chapman,Shaheen Shah Afridi,TL Seifert,0,0,0,109,17,12,2,15,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
87,MS Chapman,Shaheen Shah Afridi,TL Seifert,1,0,1,110,18,13,3,15,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
88,TL Seifert,Shaheen Shah Afridi,MS Chapman,0,0,0,110,57,44,4,15,-,caught,TL Seifert,Faheem Ashraf,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
89,MS Chapman,Shaheen Shah Afridi,JDS Neesham,1,0,1,111,19,14,5,15,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
90,JDS Neesham,Shaheen Shah Afridi,MS Chapman,0,0,0,111,0,1,6,15,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
91,MS Chapman,Wahab Riaz,JDS Neesham,1,0,1,112,20,15,1,16,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
92,JDS Neesham,Wahab Riaz,MS Chapman,1,0,1,113,1,2,2,16,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
93,MS Chapman,Wahab Riaz,JDS Neesham,6,0,6,119,26,16,3,16,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
94,MS Chapman,Wahab Riaz,JDS Neesham,4,0,4,123,30,17,4,16,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
95,MS Chapman,Wahab Riaz,JDS Neesham,0,0,0,123,30,18,5,16,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
96,MS Chapman,Wahab Riaz,JDS Neesham,4,0,4,127,34,19,6,16,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
97,JDS Neesham,Haris Rauf,MS Chapman,1,0,1,128,2,3,1,17,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
98,MS Chapman,Haris Rauf,JDS Neesham,0,1,1,129,34,20,2,17,wides,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
99,MS Chapman,Haris Rauf,JDS Neesham,0,0,0,129,34,21,3,17,-,lbw,MS Chapman,,"{'by': 'New Zealand', 'umpire': 'WR Knights', 'batter': 'MS Chapman', 'decision': 'struck down'}",bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
100,MJ Santner,Haris Rauf,JDS Neesham,1,0,1,130,1,1,4,17,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
101,JDS Neesham,Haris Rauf,MJ Santner,0,0,0,130,2,4,5,17,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
102,JDS Neesham,Haris Rauf,MJ Santner,1,0,1,131,3,5,6,17,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
103,MJ Santner,Haris Rauf,JDS Neesham,2,0,2,133,3,2,7,17,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
104,JDS Neesham,Shaheen Shah Afridi,MJ Santner,6,0,6,139,9,6,1,18,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
105,JDS Neesham,Shaheen Shah Afridi,MJ Santner,0,0,0,139,9,7,2,18,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
106,JDS Neesham,Shaheen Shah Afridi,MJ Santner,0,1,1,140,9,8,3,18,wides,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
107,JDS Neesham,Shaheen Shah Afridi,MJ Santner,0,0,0,140,9,9,4,18,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
108,JDS Neesham,Shaheen Shah Afridi,MJ Santner,6,0,6,146,15,10,5,18,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
109,JDS Neesham,Shaheen Shah Afridi,MJ Santner,0,1,1,147,15,11,6,18,legbyes,0,,,"{'by': 'Pakistan', 'umpire': 'SB Haig', 'batter': 'JDS Neesham', 'decision': 'struck down'}",bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
110,MJ Santner,Shaheen Shah Afridi,JDS Neesham,1,0,1,148,4,3,7,18,-,0,,,,bat,Pakistan,2,Eden Park,2020-12-18,New Zealand,Pakistan
