,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,P Nissanka,HH Pandya,BKG Mendis,0,0,0,0,,0,1,0,1,-,0,,0,,,field,India,1,"Maharashtra Cricket Association Stadium, Pune",2023,01,Sri Lanka_India_2023-01-05,Sri Lanka,Sri Lanka,India,True,206
1,P Nissanka,HH Pandya,BKG Mendis,0,0,0,0,,0,2,0,2,-,0,,0,,,field,India,1,"Maharashtra Cricket Association Stadium, Pune",2023,01,Sri Lanka_India_2023-01-05,Sri Lanka,Sri Lanka,India,True,206
2,P Nissanka,HH Pandya,BKG Mendis,0,1,1,1,,0,3,0,3,wides,0,,0,,,field,India,1,"Maharashtra Cricket Association Stadium, Pune",2023,01,Sri Lanka_India_2023-01-05,Sri Lanka,Sri Lanka,India,True,206
3,P Nissanka,HH Pandya,BKG Mendis,1,0,1,2,,1,4,0,4,-,0,,0,,,field,India,1,"Maharashtra Cricket Association Stadium, Pune",2023,01,Sri Lanka_India_2023-01-05,Sri Lanka,Sri Lanka,India,True,206
4,BKG Mendis,HH Pandya,P Nissanka,0,0,0,2,,0,1,0,5,-,0,,0,,,field,India,1,"Maharashtra Cricket Association Stadium, Pune",2023,01,Sri Lanka_India_2023-01-05,Sri Lanka,Sri Lanka,India,True,206
5,BKG Mendis,HH Pandya,P Nissanka,0,0,0,2,,0,2,0,6,-,0,,0,,,field,India,1,"Maharashtra Cricket Association Stadium, Pune",2023,01,Sri Lanka_India_2023-01-05,Sri Lanka,Sri Lanka,India,True,206
6,BKG Mendis,HH Pandya,P Nissanka,0,0,0,2,,0,3,0,7,-,0,,0,,,field,India,1,"Maharashtra Cricket Association Stadium, Pune",2023,01,Sri Lanka_India_2023-01-05,Sri Lanka,Sri Lanka,India,True,206
7,P Nissanka,Arshdeep Singh,BKG Mendis,4,0,4,6,,5,5,0,1,-,1,,0,,,field,India,1,"Maharashtra Cricket Association Stadium, Pune",2023,01,Sri Lanka_India_2023-01-05,Sri Lanka,Sri Lanka,India,True,206
8,P Nissanka,Arshdeep Singh,BKG Mendis,0,0,0,6,,5,6,0,2,-,1,,0,,,field,India,1,"Maharashtra Cricket Association Stadium, Pune",2023,01,Sri Lanka_India_2023-01-05,Sri Lanka,Sri Lanka,India,True,206
9,P Nissanka,Arshdeep Singh,BKG Mendis,0,0,0,6,,5,7,0,3,-,1,,0,,,field,India,1,"Maharashtra Cricket Association Stadium, Pune",2023,01,Sri Lanka_India_2023-01-05,Sri Lanka,Sri Lanka,India,True,206
10,P Nissanka,Arshdeep Singh,BKG Mendis,1,0,1,7,,6,8,0,4,-,1,,0,,,field,India,1,"Maharashtra Cricket Association Stadium, Pune",2023,01,Sri Lanka_India_2023-01-05,Sri Lanka,Sri Lanka,India,True,206
11,BKG Mendis,Arshdeep Singh,P Nissanka,0,0,0,7,,0,4,0,5,-,1,,0,,,field,India,1,"Maharashtra Cricket Association Stadium, Pune",2023,01,Sri Lanka_India_2023-01-05,Sri Lanka,Sri Lanka,India,True,206
12,BKG Mendis,Arshdeep Singh,P Nissanka,0,1,1,8,,0,5,0,6,noballs,1,,0,,,field,India,1,"Maharashtra Cricket Association Stadium, Pune",2023,01,Sri Lanka_India_2023-01-05,Sri Lanka,Sri Lanka,India,True,206
