,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,Mohammad Hafeez,ST Finn,Awais Zia,0,0,0,0,0,1,1,0,,,1,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
1,Mohammad Hafeez,ST Finn,Awais Zia,0,0,0,0,0,2,2,caught,Mohammad Hafeez,KP Pietersen,1,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
2,Asad Shafiq,ST Finn,Awais Zia,0,0,0,0,0,1,3,0,,,1,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
3,Asad Shafiq,ST Finn,Awais Zia,0,0,0,0,0,2,4,0,,,1,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
4,Asad Shafiq,ST Finn,Awais Zia,1,0,1,1,1,3,5,0,,,1,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
5,Awais Zia,ST Finn,Asad Shafiq,0,0,0,1,0,1,6,0,,,1,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
6,Asad Shafiq,JW Dernbach,Awais Zia,0,0,0,1,1,4,1,0,,,2,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
7,Asad Shafiq,JW Dernbach,Awais Zia,0,1,1,2,1,5,2,0,,,2,wides,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
8,Asad Shafiq,JW Dernbach,Awais Zia,0,0,0,2,1,6,3,caught and bowled,Asad Shafiq,,2,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
9,Umar Akmal,JW Dernbach,Awais Zia,2,0,2,4,2,1,4,0,,,2,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
10,Umar Akmal,JW Dernbach,Awais Zia,0,0,0,4,2,2,5,0,,,2,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
11,Umar Akmal,JW Dernbach,Awais Zia,1,0,1,5,3,3,6,0,,,2,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
12,Awais Zia,JW Dernbach,Umar Akmal,0,1,1,6,0,2,7,0,,,2,wides,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
13,Awais Zia,JW Dernbach,Umar Akmal,0,1,1,7,0,3,8,0,,,2,wides,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
14,Awais Zia,JW Dernbach,Umar Akmal,0,0,0,7,0,4,9,0,,,2,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
15,Umar Akmal,ST Finn,Awais Zia,0,0,0,7,3,4,1,0,,,3,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
16,Umar Akmal,ST Finn,Awais Zia,4,0,4,11,7,5,2,0,,,3,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
17,Umar Akmal,ST Finn,Awais Zia,1,0,1,12,8,6,3,0,,,3,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
18,Awais Zia,ST Finn,Umar Akmal,0,0,0,12,0,5,4,0,,,3,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
19,Awais Zia,ST Finn,Umar Akmal,0,0,0,12,0,6,5,0,,,3,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
20,Awais Zia,ST Finn,Umar Akmal,6,0,6,18,6,7,6,0,,,3,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
21,Umar Akmal,JW Dernbach,Awais Zia,0,0,0,18,8,7,1,0,,,4,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
22,Umar Akmal,JW Dernbach,Awais Zia,0,0,0,18,8,8,2,0,,,4,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
23,Umar Akmal,JW Dernbach,Awais Zia,4,0,4,22,12,9,3,0,,,4,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
24,Umar Akmal,JW Dernbach,Awais Zia,1,0,1,23,13,10,4,0,,,4,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
25,Awais Zia,JW Dernbach,Umar Akmal,0,0,0,23,6,8,5,0,,,4,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
26,Awais Zia,JW Dernbach,Umar Akmal,0,1,1,24,6,9,6,0,,,4,wides,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
27,Awais Zia,JW Dernbach,Umar Akmal,0,0,0,24,6,10,7,0,,,4,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
28,Umar Akmal,ST Finn,Awais Zia,6,0,6,30,19,11,1,0,,,5,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
29,Umar Akmal,ST Finn,Awais Zia,0,0,0,30,19,12,2,caught,Umar Akmal,EJG Morgan,5,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
30,Shoaib Malik,ST Finn,Awais Zia,0,0,0,30,0,1,3,0,,,5,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
31,Shoaib Malik,ST Finn,Awais Zia,0,0,0,30,0,2,4,0,,,5,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
32,Shoaib Malik,ST Finn,Awais Zia,1,0,1,31,1,3,5,0,,,5,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
33,Awais Zia,ST Finn,Shoaib Malik,0,0,0,31,6,11,6,0,,,5,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
34,Shoaib Malik,SCJ Broad,Awais Zia,1,0,1,32,2,4,1,0,,,6,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
35,Awais Zia,SCJ Broad,Shoaib Malik,0,0,0,32,6,12,2,0,,,6,-,bat,England,2,Dubai International Cricket Stadium,2012-02-25,England,Pakistan,England
