,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,RW Chakabva,J Little,CR Ervine,0,0,0,0,,0,1,0,1,-,0,,,0,field,Ireland,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Zimbabwe,Ireland,True,174
1,RW Chakabva,J Little,CR Ervine,0,0,0,0,,0,2,1,2,-,caught,RW Chakabva,L Tucker,0,field,Ireland,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Zimbabwe,Ireland,True,174
2,W Madhevere,J Little,CR Ervine,0,0,0,0,,0,1,1,3,-,0,,,0,field,Ireland,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Zimbabwe,Ireland,True,174
3,W Madhevere,J Little,CR Ervine,0,4,4,4,,0,2,1,4,legbyes,0,,,0,field,Ireland,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Zimbabwe,Ireland,True,174
4,W Madhevere,J Little,CR Ervine,4,0,4,8,,4,3,1,5,-,0,,,0,field,Ireland,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Zimbabwe,Ireland,True,174
5,W Madhevere,J Little,CR Ervine,0,0,0,8,,4,4,1,6,-,0,,,0,field,Ireland,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Zimbabwe,Ireland,True,174
6,CR Ervine,MR Adair,W Madhevere,1,0,1,9,,1,1,1,1,-,0,,,1,field,Ireland,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Zimbabwe,Ireland,True,174
7,W Madhevere,MR Adair,CR Ervine,1,0,1,10,,5,5,1,2,-,0,,,1,field,Ireland,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Zimbabwe,Ireland,True,174
8,CR Ervine,MR Adair,W Madhevere,0,1,1,11,,1,2,1,3,legbyes,0,,,1,field,Ireland,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Zimbabwe,Ireland,True,174
9,W Madhevere,MR Adair,CR Ervine,0,0,0,11,,5,6,1,4,-,0,,,1,field,Ireland,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Zimbabwe,Ireland,True,174
10,W Madhevere,MR Adair,CR Ervine,4,0,4,15,,9,7,1,5,-,0,,,1,field,Ireland,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Zimbabwe,Ireland,True,174
11,W Madhevere,MR Adair,CR Ervine,0,1,1,16,,9,8,1,6,wides,0,,,1,field,Ireland,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Zimbabwe,Ireland,True,174
12,W Madhevere,MR Adair,CR Ervine,1,0,1,17,,10,9,1,7,-,0,,,1,field,Ireland,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Zimbabwe,Ireland,True,174
13,W Madhevere,BJ McCarthy,CR Ervine,0,0,0,17,,10,10,1,1,-,0,,,2,field,Ireland,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Zimbabwe,Ireland,True,174
14,W Madhevere,BJ McCarthy,CR Ervine,1,0,1,18,,11,11,1,2,-,0,,,2,field,Ireland,1,"Bellerive Oval, Hobart",2022,10,Zimbabwe_Ireland_2022-10-17,Zimbabwe,Zimbabwe,Ireland,True,174
