,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,Mohammad Rizwan,DJ Willey,Babar Azam,0,0,0,0,200,0,1,0,1,-,1,0,,,,bat,Pakistan,1,"Old Trafford, Manchester",2021,07,Pakistan_England_2021-07-20,England,Pakistan,England,154
1,Mohammad Rizwan,DJ Willey,Babar Azam,1,0,1,1,199,1,2,0,2,-,1,0,,,,bat,Pakistan,1,"Old Trafford, Manchester",2021,07,Pakistan_England_2021-07-20,England,Pakistan,England,154
2,Babar Azam,DJ Willey,Mohammad Rizwan,0,0,0,1,199,0,1,0,3,-,1,0,,,,bat,Pakistan,1,"Old Trafford, Manchester",2021,07,Pakistan_England_2021-07-20,England,Pakistan,England,154
3,Babar Azam,DJ Willey,Mohammad Rizwan,0,0,0,1,199,0,2,0,4,-,1,0,,,,bat,Pakistan,1,"Old Trafford, Manchester",2021,07,Pakistan_England_2021-07-20,England,Pakistan,England,154
4,Babar Azam,DJ Willey,Mohammad Rizwan,1,0,1,2,198,1,3,0,5,-,1,0,,,,bat,Pakistan,1,"Old Trafford, Manchester",2021,07,Pakistan_England_2021-07-20,England,Pakistan,England,154
5,Mohammad Rizwan,DJ Willey,Babar Azam,0,1,1,3,197,1,3,0,6,legbyes,1,0,,,,bat,Pakistan,1,"Old Trafford, Manchester",2021,07,Pakistan_England_2021-07-20,England,Pakistan,England,154
6,Mohammad Rizwan,S Mahmood,Babar Azam,0,0,0,3,197,1,4,0,1,-,2,0,,,,bat,Pakistan,1,"Old Trafford, Manchester",2021,07,Pakistan_England_2021-07-20,England,Pakistan,England,154
7,Mohammad Rizwan,S Mahmood,Babar Azam,0,0,0,3,197,1,5,0,2,-,2,0,,,,bat,Pakistan,1,"Old Trafford, Manchester",2021,07,Pakistan_England_2021-07-20,England,Pakistan,England,154
8,Mohammad Rizwan,S Mahmood,Babar Azam,0,0,0,3,197,1,6,0,3,-,2,0,,,,bat,Pakistan,1,"Old Trafford, Manchester",2021,07,Pakistan_England_2021-07-20,England,Pakistan,England,154
9,Mohammad Rizwan,S Mahmood,Babar Azam,0,0,0,3,197,1,7,0,4,-,2,0,,,,bat,Pakistan,1,"Old Trafford, Manchester",2021,07,Pakistan_England_2021-07-20,England,Pakistan,England,154
10,Mohammad Rizwan,S Mahmood,Babar Azam,4,0,4,7,193,5,8,0,5,-,2,0,,,,bat,Pakistan,1,"Old Trafford, Manchester",2021,07,Pakistan_England_2021-07-20,England,Pakistan,England,154
11,Mohammad Rizwan,S Mahmood,Babar Azam,4,0,4,11,189,9,9,0,6,-,2,0,,,,bat,Pakistan,1,"Old Trafford, Manchester",2021,07,Pakistan_England_2021-07-20,England,Pakistan,England,154
12,Babar Azam,DJ Willey,Mohammad Rizwan,0,0,0,11,189,1,4,0,1,-,3,0,,,,bat,Pakistan,1,"Old Trafford, Manchester",2021,07,Pakistan_England_2021-07-20,England,Pakistan,England,154
