,batter,batter_runs,balls_faced,innings,wickets_fallen,bowling_team,first_ball,strike_rate,last_ball,expected_wickets,expected_runs
0,AJ Finch,15,14,1,3,England,91,107.14,120,2.0423127401064347,41.557974120837535
1,AJ Finch,53,33,1,4,England,63,160.61,120,3.7311441867996327,44.38070246275702
2,AJ Finch,52,31,1,0,England,1,167.74,64,9.334833349504203,36.93239580097174
3,AJ Finch,10,11,2,0,England,1,90.91,31,7.45686385724614,36.50801666916016
4,AJ Finch,30,21,1,0,England,1,142.86,40,7.657928886137109,41.362611837961225
5,AJ Finch,40,33,1,0,England,1,121.21,72,9.007842226636,34.040280933573975
6,AJ Finch,44,49,1,0,England,1,89.8,109,7.610001580257292,35.83846430565118
7,AJ Finch,36,23,1,0,India,1,156.52,42,10.289679435274,30.880550944154734
8,AJ Finch,6,11,2,0,India,1,54.55,20,8.047425121812415,40.39573964085373
9,AJ Finch,44,33,2,0,India,1,133.33,56,8.637596217670367,40.63691577547129
10,AJ Finch,74,48,2,0,India,1,154.17,92,7.781483293842524,44.241229724468376
11,AJ Finch,42,30,1,0,India,1,140.0,59,7.815797960739207,22.18444500113474
12,AJ Finch,27,24,1,0,India,1,112.5,51,9.743954649400179,26.661305326989797
13,AJ Finch,0,1,1,0,India,1,0.0,2,6.1392515659596985,24.298846267701432
14,AJ Finch,28,23,1,0,India,1,121.74,51,11.083028164431125,29.860397816374835
15,AJ Finch,0,2,1,0,India,1,0.0,10,9.844258644291243,33.72588551323089
16,AJ Finch,31,15,1,0,India,1,206.67,30,3.9118636549975188,33.9614341696897
17,AJ Finch,7,6,1,0,India,1,116.67,21,9.561615282813381,33.72167677354281
18,AJ Finch,63,44,1,0,Ireland,1,143.18,101,9.312214522216332,35.95449924410815
19,AJ Finch,69,43,1,0,New Zealand,0,160.47,95,8.652212663833831,35.173199252496396
20,AJ Finch,79,55,1,0,New Zealand,1,143.64,120,9.444431828615308,33.48736543809324
21,AJ Finch,36,32,1,0,New Zealand,1,112.5,60,8.787958505945662,33.727832214895614
22,AJ Finch,65,54,2,0,Pakistan,1,120.37,106,9.909387769256456,31.817459094514536
23,AJ Finch,5,9,2,0,Pakistan,1,55.56,15,8.34090746381058,33.28643690205374
24,AJ Finch,15,16,1,0,Pakistan,1,93.75,44,9.031699060862712,35.8209632340315
25,AJ Finch,47,27,1,0,Pakistan,1,174.07,59,8.231801174617217,39.47323958721704
26,AJ Finch,37,15,2,0,Pakistan,1,246.67,19,3.9894363809494293,36.187512774835255
27,AJ Finch,17,14,2,0,Pakistan,1,121.43,35,9.020164698766756,35.18758809840743
28,AJ Finch,52,36,2,0,Pakistan,1,144.44,71,6.167413076020284,41.99612654567524
29,AJ Finch,14,11,1,0,South Africa,1,127.27,25,9.065818287188542,36.134018973546986
