batting_team,batter,won,innings,wickets_fallen,bowling_team,venue,net_run_rate,first_ball
Australia,AJ Finch,0.0,1,3,England,Adelaide Oval,-0.0500000000000007,91
Australia,AJ Finch,1.0,1,4,England,Melbourne Cricket Ground,0.1999999999999993,63
Australia,AJ Finch,1.0,1,0,England,Bellerive Oval,0.6500000000000004,1
Australia,AJ Finch,1.0,2,0,England,Melbourne Cricket Ground,2.3314606741573023,1
Australia,AJ Finch,1.0,1,0,England,Stadium Australia,4.2,1
Australia,AJ Finch,0.0,1,0,England,The Rose Bowl,-0.5393805309734514,1
Australia,AJ Finch,0.0,1,0,England,Dubai International Cricket Stadium,-4.550000000000001,1
Australia,AJ Finch,0.0,1,0,India,Melbourne Cricket Ground,-0.3144067796610166,1
Australia,AJ Finch,0.0,2,0,India,Shere Bangla National Stadium,-3.65,1
Australia,AJ Finch,0.0,2,0,India,Adelaide Oval,-1.8500000000000003,1
Australia,AJ Finch,0.0,2,0,India,Melbourne Cricket Ground,-1.3499999999999996,1
Australia,AJ Finch,0.0,1,0,India,JSCA International Stadium Complex,-2.587662337662337,1
Australia,AJ Finch,1.0,1,0,India,"Brisbane Cricket Ground, Woolloongabba",-0.6470588235294112,1
Australia,AJ Finch,0.0,1,0,India,Sydney Cricket Ground,-0.3423728813559332,1
Australia,AJ Finch,1.0,1,0,India,Sydney Cricket Ground,0.6000000000000014,1
Australia,AJ Finch,0.0,1,0,India,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",-1.2954545454545467,1
Australia,AJ Finch,0.0,1,0,India,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",-0.1285714285714281,1
Australia,AJ Finch,1.0,1,0,Ireland,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2.1,1
Australia,AJ Finch,1.0,1,0,New Zealand,Westpac Stadium,3.2,0
Australia,AJ Finch,1.0,1,0,New Zealand,Westpac Stadium,2.5,1
Australia,AJ Finch,0.0,1,0,New Zealand,Sky Stadium,-2.1258064516129043,1
Australia,AJ Finch,0.0,2,0,Pakistan,Shere Bangla National Stadium,-0.8000000000000007,1
Australia,AJ Finch,1.0,2,0,Pakistan,Dubai International Cricket Stadium,2.128571428571429,1
