,venue,total_mean,total_std,first_bat_won_ratio,number_of_matches,host
0,AMI Stadium,186.33333333333334,26.159765544311238,0.5,3,New Zealand
1,Adelaide Oval,180.1818181818182,34.06704619369922,0.6363636363636364,11,Australia
2,Arnos Vale Ground,143.5,12.020815280171307,0.5,2,St Vincent and the Grenadines
3,Arun Jaitley Stadium,167.5,34.47172754591797,0.3333333333333333,6,India
4,Barabati Stadium,140.0,44.54211490264017,0.3333333333333333,3,India
5,Barsapara Cricket Stadium,192.33333333333334,64.80997865555375,0.3333333333333333,3,India
6,Bay Oval,188.55555555555554,39.38626382100462,0.8888888888888888,9,New Zealand
7,Bellerive Oval,170.125,30.819462774589134,0.625,8,Australia
8,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,160.0,36.518488468171846,0.8333333333333334,6,India
9,Boland Park,146.0,,0.0,1,South Africa
10,Brabourne Stadium,166.0,,0.0,1,India
11,Bready Cricket Club,157.0,21.047565179849187,0.7142857142857143,7,Ireland
12,Brian Lara Stadium,184.5,60.1470420441992,0.75,4,Trinidad and Tobago
13,Brisbane Cricket Ground,166.2,26.334599125696045,0.7,10,Australia
14,Buffalo Park,167.33333333333334,8.736894948054108,0.6666666666666666,3,South Africa
15,Carrara Oval,126.5,26.16295090390226,0.5,2,Australia
16,Castle Avenue,134.5,24.748737341529164,0.5,2,Ireland
17,Central Broward Regional Park Stadium,167.0,44.892464104049054,0.6923076923076923,13,USA
18,Civil Service Cricket Club,160.9090909090909,31.33194710021881,0.6363636363636364,11,Northern Ireland
19,Coolidge Cricket Ground,140.66666666666666,16.743157806499145,0.3333333333333333,3,Antigua and Barbuda
20,County Ground,182.71428571428572,35.16965683518624,0.5714285714285714,7,England
21,Daren Sammy National Cricket Stadium,162.52941176470588,26.692971095072068,0.5294117647058824,17,St Lucia
22,De Beers Diamond Oval,194.0,,1.0,1,South Africa
23,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,148.75,55.97246346791131,0.25,4,India
24,Dubai International Cricket Stadium,144.2093023255814,32.69670009528039,0.38095238095238093,43,UAE
25,Eden Gardens,155.9,32.6001022493284,0.5,10,India
26,Eden Park,170.07142857142858,32.93419766232929,0.5416666666666666,28,New Zealand
27,Edgbaston,174.28571428571428,32.59199434275379,1.0,7,England
28,GMHBA Stadium,173.0,,0.0,1,Australia
