identifier,all_names,key_cricinfo
b4a23876,['AAA Amsterdam'],772407.0
482762af,['AA Adeoye'],380588.0
4b0e3049,['A Alleyne' 'AA Alleyne' 'Alleyne'],661441.0
fd3c5c00,['AAA Patel'],1163136.0
bc005f0d,['AAA White'],474307.0
5c67c7a6,['AA Baig'],524897.0
6a58e069,['A A Bamal' 'AA Bamal' 'Arun Bamal'],1123075.0
02d11602,['AA Banner'],590021.0
b690f34a,['A A Barot' 'AA Barot' 'Avi Barot'],398519.0
c7a9ffbf,['AA Bevilaqua'],959617.0
bff458c6,['AA Bilakhia'],26946.0
44e58b5b,['A A Chakraborty' 'AA Chakraborty' 'Abhijit Chakraborty'],680363.0
29d72eb2,['A Chavan' 'AA Chavan'],337913.0
b2c38dce,['AA Choudhury'],1339014.0
d37fd2c3,['A Adams'],464322.0
1b0ce76e,['A Adekunle'],1365288.0
cfa56623,['AA Deshpande'],220679.0
4c931d56,['AA Donald' 'Allan Donald'],44716.0
9dbc77b3,['Aaftab Alam Khan'],1269467.0
a768a762,['AA Gajic'],1323426.0
fa0d3636,['AA Gordon'],909119.0
797f52cc,['AAhan Achar' 'AG Achar'],973793.0
4ed49d3d,['A Herwadkar' 'AA Herwadkar'],532851.0
55a5cffb,['A Ahmadhel'],1203910.0
60ef3ddb,['AA Hussein'],1280685.0
007f121f,['A Aikenhead'],1378740.0
81782f5b,['AAIP Bastari'],1181807.0
25c73eb6,['A Aitken'],306201.0
88626ed2,['AA Jangoo'],820681.0
1fb04d31,['AA Jasani'],637296.0
2815fe50,['A Jhunjhunwala' 'AA Jhunjhunwala'],29702.0
d912dd58,['AA Kargave'],1273948.0
02f4b99c,['Aakarshit Gomel'],474782.0
279c51f0,['Aakash Chand'],1185557.0
24f5e41a,['Aakash Verma'],482293.0
16605a1b,['AA Kazi' 'Abrar Kazi'],422106.0
14ea3348,['A Amado'],1321182.0
8fa8c6e2,['AA Mailey' 'Arthur Mailey'],6465.0
edb3df84,['AA Mallett' 'Ashley Mallett'],6472.0
ecc4562b,['AAM Eliane'],1276644.0
935678ee,['Aamer Azmat'],1248374.0
161641cd,['Aamer Ikram'],1204633.0
a8e54ef4,['Aamer Jamal'],793441.0
97ef55d6,['Aamer Malik'],38965.0
7f8a923e,['Aamer Nazir' 'Aamir Nazir'],38966.0
f49079b8,['Aamer Sohail' 'Aamir Sohail'],38967.0
907d6e58,['A Yamim' 'Aamer Yamin'],434429.0
f49989eb,['Aamir Aziz'],589136.0
2c3afa34,['A Gani' 'Aamir' 'Aamir Gani'],642543.0
66f9ecc2,['Aamir Javed'],530197.0
7ecb9a14,['A Kaleem' 'Aamer Kaleem' 'Aamir Kaleem'],455463.0
2472ad2c,['Aamir Lal'],1338631.0
80190078,['AA Moiane'],1326685.0
82c528b2,['AA Mulla'],23899.0
528a37ce,['Aanand Pandey'],1263721.0
5c805a60,['AA Navicha'],1155511.0
38a36999,['A Andrew' 'Annica Andrew'],530131.0
1d45c01a,['A Andrews'],1135751.0
e697d88c,['A Andriani'],1116777.0
b69e69ed,['AA Noffke'],6938.0
71ee052e,['Aanshul Gupta'],536792.0
7081491e,['A Obanda' 'AA Obanda'],291844.0
409ce380,['AA Onikoyi'],403321.0
96f5b685,['AA Paradkar'],1276396.0
7c1ba524,['A Patil' 'AA Patil'],578451.0
70d57519,['A Atkinson' 'AAP Atkinson' 'Atkinson'],1039481.0
62479b4b,['AA Premji'],1089774.0
1911dcbc,['AAP Rivero' 'Perez Rivero Agustin'],1193275.0
a95a9620,['Aaqib Javed'],38970.0
d290c5b5,['Aaqib Khan'],1207680.0
b0b5d6ba,['Aaqib Sulehri'],937959.0
2327fdc7,['AA Rahayu'],1409303.0
21d38d47,['A Aravinddaraj' 'Aravind'],1175501.0
3f1bfd19,['A Argyropoulou'],1333937.0
cd4d7695,['A Sheikh' 'Aarif Sheikh'],701217.0
b66201dd,['Aarnav Patel'],1425319.0
eab74985,['A Beard' 'AP Beard' 'Aaron Beard' 'Beard'],894103.0
de8341fd,['Aaron Campbell'],1269257.0
17aa4f1d,['A Jones' 'Aaron Jones'],957645.0
67b99b43,['A Arroz'],1158412.0
8053c798,['Aarya Desai'],1353014.0
88be2a27,['AA Sanguelkar'],1213644.0
90a5e58a,['A A Sanklecha' 'AA Sanklecha' 'Anupam Sanklecha'],35292.0
8996a9a0,['AA Sarwate'],719717.0
ef7a904e,['AA Shafique'],513005.0
1c2a64cd,['A Ashish Reddy' 'AA Reddy' 'Ashish Reddy'],389605.0
321be7e3,['A Ashok'],1193546.0
9244df4b,['A Ashokan' 'Ashokan'],1156472.0
42c41e1a,['Aasif Iqbal'],1141874.0
dcbea954,['Aasif Sheikh'],1058514.0
72448ed4,['A Askari'],1414169.0
94aa1697,['AAS Silva'],229060.0
58c2fac4,['A Athanaze'],1078692.0
fa62a463,['A Awasthi'],1403178.0
d2d15439,['Aayan Afzal Khan'],1241265.0
a09eb585,['A Ayre'],333639.0
1cca37c8,['A Bacher' 'Ali Bacher'],44026.0
872b03f7,['A Badoni' 'Ayush Badoni'],1151270.0
112959b2,['A Bagai'],23797.0
fa463154,['A Agarkar' 'AB Agarkar' 'Ajit Agarkar'],26184.0
6ef13460,['A Balbirnie' 'Andy Balbirnie'],303423.0
f9607922,['A Barnes'],44049.0
4f62e07f,['A Barty'],942629.0
d3a3e82d,['A Barath' 'AB Barath' 'Adrian Barath'],274926.0
2cec2a92,['Abbas Afridi'],1158538.0
41ce15da,['AA Baig' 'Abbas Ali Baig' 'Abbas Baig'],26817.0
a8f91f78,['Abbas Ghani'],1390687.0
c3e77f52,['Abbas Saad'],362682.0
1760e2c7,['AB Bhadoriya'],1292716.0
57c81c1f,['ABB Sangma'],1403151.0
5f272b72,['AB Chawla'],23939.0
dfdd7b97,['Abdalah Lubega'],522222.0
c4487b84,['AB de Villiers'],44936.0
66b30f71,['A Dinda' 'AB Dinda' 'Ashoke Dinda'],227712.0
0251a22f,['Abdul Bangalzai'],1199393.0
b6af1647,['Abdul Bashir'],1380794.0
cc777ffa,['Abdul Basith'],1287067.0
8548e6ce,['Abdul Ela Al Quraishi'],1287055.0
705a05c8,['A Halim' 'Abdul Halim'],804055.0
10d94c90,['Abdul Haq'],447456.0
73b1db79,['Abdul Hashim'],1062588.0
dc9d2e3c,['Abdul Jabar'],633673.0
3f4b9ae5,['Abdul Jabbar'],313526.0
2c29b16e,['Abdul Jalali'],1101940.0
8f21593d,['Abdul Kadir'],38971.0
6ef9a32f,['Abdulla Bhoola'],1287102.0
5de198db,['Abdullah Akbarjan'],1198877.0
3731735d,['Abdullah Akhunzada'],437037.0
26ccdb37,['Abdullah Al Mamun'],56264.0
ea36b0ee,['Abdullah Al Mamun' 'Abdullah Al Mamun (2)'],1277007.0
8ab49ad2,['Abdullah Bayoumy'],1337353.0
7d42816e,['Abdullah Ghulam'],1093659.0
5a42db78,['Abdullah Jasat'],1159860.0
926c6d3c,['Abdullah Mahmood'],1112200.0
4846ef98,['Abdullah Mazari'],390752.0
508fbec9,['Abdullah Qureshi'],749497.0
c4ab9b94,['Abdullah Rana'],1386878.0
fc2fffb5,['A Shafique' 'Abdullah Shafiq' 'Abdullah Shafique'],922941.0
71686118,['Abdullah Shahid'],386982.0
336a85f6,['Abdullah Sheikh'],1156435.0
bc7d10b8,['Abdullah Syed'],1059782.0
384cebed,['Abdul Majid'],1217275.0
0cfb42b5,['Abdul Majid Abbasi'],1361960.0
b3218c80,['Abdul Malik'],1059030.0
e3fbe553,['Abdulmalik Jabarkhel'],1271987.0
353e92b3,['Abdul Manan'],1156247.0
61a1cead,['Abdul Mazid'],508442.0
e1ac7789,['Abdul Muqeet'],594394.0
37cb317b,['Abdul Muqeet' 'Abdul Muqeet (2)'],1060304.0
db07c3e8,['Abdul Nabi'],39370.0
6a88d66d,['Abdul Naser Baluch'],1318851.0
494a0503,['Abdul Nasir'],1216919.0
05c3780a,['Abdul Nasir' 'Abdul Nasir (2)'],39014.0
35824e03,['Abdul Qadir'],402205.0
0b1dadd2,['Abdul Qadir' 'Abdul Qadir Khan'],38973.0
12f53be7,['Abdul Rahman' 'Abdul Rahman Bhadelia'],1048915.0
5fd762d5,['Abdul Rahman' 'Abdul Rahman Rahmani'],819507.0
40431f63,['Abdul Rahman' 'Mohammad Abdul Rahman'],1269466.0
df2dde61,['Abdulrahman Dashti'],781107.0
a3379021,['Abdul Rashid'],402207.0
6eb2fb00,['Abdul Rashid Karim'],1156424.0
390ff45b,['A Razzaq' 'Abdul Razzaq' 'Abdur Razzaq'],39836.0
505371c8,['Abdul Rehman' 'Abdul Rehman (2)'],25580.0
365df3f9,['Abdul Sadiq'],913865.0
ff2dd5e4,['Abdul Salam'],1213774.0
8e514b4c,['A Samad' 'Abdul Samad'],1175485.0
7b9b9aef,['Abdul Shakoor'],585100.0
d52b13a6,['Abdul Shakoor' 'Abdul Shakoor (2)'],1198937.0
