File,City,Date,Temperature,Humidity,Wind_Speed
1001351.json,Victoria,2017-02-19,27.120000000000005,85,4.92
1004729.json,Londonderry,2016-09-05,11.850000000000023,82,5.66
1019979.json,Napier,2017-01-03,10.710000000000036,79,2.24
1019981.json,Mount Maunganui,2017-01-06,12.960000000000036,94,2.66
1019983.json,Mount Maunganui,2017-01-08,12.960000000000036,94,2.66
1020029.json,Auckland,2017-02-17,11.350000000000023,74,1.03
1031431.json,Southampton,2017-06-21,13.54000000000002,90,3.09
1031433.json,Taunton,2017-06-23,16.760000000000048,75,4.36
1031435.json,Cardiff,2017-06-25,15.890000000000043,81,5.14
1031665.json,Chester-le-Street,2017-09-16,14.160000000000025,88,3.57
1034825.json,Kanpur,2017-01-26,36.98000000000002,12,1.27
1034827.json,Nagpur,2017-01-29,38.01000000000005,32,1.03
1034829.json,Bangalore,2017-02-01,31.689999999999998,48,2.57
1040485.json,Greater Noida,2017-03-08,36.120000000000005,13,2.42
1040487.json,Greater Noida,2017-03-10,36.120000000000005,13,2.42
1040489.json,Greater Noida,2017-03-12,36.120000000000005,13,2.42
1041615.json,Lauderhill,2016-08-27,28.860000000000014,61,6.69
1041617.json,Lauderhill,2016-08-28,28.860000000000014,61,6.69
1050221.json,Abu Dhabi,2016-09-27,32.19,43,5.71
1072206.json,Dubai,2016-12-14,30.010000000000048,46,3.68
1072208.json,Dubai,2016-12-18,30.010000000000048,46,3.68
1072317.json,Hobart,2018-02-07,10.950000000000045,81,3.09
1072319.json,Wellington,2018-02-13,9.600000000000023,64,10.29
1072320.json,Auckland,2018-02-16,11.350000000000023,74,1.03
1072321.json,Hamilton,2018-02-18,19.340000000000032,91,3.6
1072322.json,Auckland,2018-02-21,11.350000000000023,74,1.03
1074957.json,Abu Dhabi,2017-01-14,32.19,43,5.71
1074958.json,Abu Dhabi,2017-01-14,32.19,43,5.71
1074959.json,Abu Dhabi,2017-01-15,32.19,43,5.71
1074961.json,Abu Dhabi,2017-01-16,32.19,43,5.71
1074962.json,Abu Dhabi,2017-01-16,32.19,43,5.71
1074964.json,Abu Dhabi,2017-01-17,32.19,43,5.71
1075507.json,Bloemfontein,2017-10-26,24.710000000000036,23,2.06
1075508.json,Potchefstroom,2017-10-29,24.180000000000007,16,1.54
1077947.json,Barbados,2017-03-26,29.730000000000018,70,8.23
1077948.json,Trinidad,2017-03-30,30.860000000000014,64,3.13
1083449.json,Colombo,2017-04-04,28.910000000000025,83,3.57
1083450.json,Colombo,2017-04-06,28.910000000000025,83,3.57
1085495.json,Trinidad,2017-04-01,30.860000000000014,64,3.13
1085496.json,Trinidad,2017-04-02,30.860000000000014,64,3.13
1089202.json,Abu Dhabi,2017-04-12,32.19,43,5.71
1089203.json,Abu Dhabi,2017-04-14,32.19,43,5.71
1089243.json,Abu Dhabi,2017-04-14,32.19,43,5.71
1098211.json,Jamaica,2017-07-09,29.610000000000014,53,5.43
1109610.json,Colombo,2017-09-06,28.910000000000025,83,3.57
1115798.json,Nelson,2017-12-29,7.25,88,2.56
1115799.json,Mount Maunganui,2018-01-01,12.960000000000036,94,2.66
1115800.json,Mount Maunganui,2018-01-03,12.960000000000036,94,2.66
1115807.json,Wellington,2018-01-22,9.600000000000023,64,10.29
1115808.json,Auckland,2018-01-25,11.350000000000023,74,1.03
1115809.json,Mount Maunganui,2018-01-28,12.960000000000036,94,2.66
1117821.json,Lahore,2017-09-12,34.99000000000001,21,0
1117822.json,Lahore,2017-09-13,34.99000000000001,21,0
1117824.json,Lahore,2017-09-15,34.99000000000001,21,0
1119501.json,Ranchi,2017-10-07,28.060000000000002,54,1.54
1119502.json,Guwahati,2017-10-10,22.950000000000045,88,3.09
